target,selected_dist,distractor_level,image1,image2,correct,category,background_0,background_1,background_2,background_3,target_index,background_4,background_5
highway_294.jpg,highway_368.jpg,1,highway_368.jpg,highway_294.jpg,right,highway,badlands_54.jpg,highway_294.jpg,bridge_80.jpg,golf_course_337.jpg,1,golf_course_337.jpg,golf_course_337.jpg
bridge_256.jpg,bridge_54.jpg,0,bridge_256.jpg,bridge_54.jpg,left,bridge,mountain_104.jpg,bridge_256.jpg,badlands_218.jpg,playground_3.jpg,1,playground_3.jpg,playground_3.jpg
highway_156.jpg,highway_160.jpg,0,highway_160.jpg,highway_156.jpg,right,highway,highway_156.jpg,playground_52.jpg,badlands_166.jpg,mountain_224.jpg,0,mountain_224.jpg,mountain_224.jpg
highway_245.jpg,highway_134.jpg,0,highway_245.jpg,highway_134.jpg,left,highway,playground_30.jpg,highway_245.jpg,bridge_34.jpg,golf_course_88.jpg,1,golf_course_88.jpg,golf_course_88.jpg
golf_course_214.jpg,golf_course_317.jpg,1,golf_course_214.jpg,golf_course_317.jpg,left,golf,playground_193.jpg,golf_course_214.jpg,bridge_158.jpg,highway_249.jpg,1,highway_249.jpg,highway_249.jpg
mountain_110.jpg,mountain_157.jpg,0,mountain_157.jpg,mountain_110.jpg,right,mountain,playground_5.jpg,highway_23.jpg,mountain_110.jpg,golf_course_198.jpg,2,golf_course_198.jpg,golf_course_198.jpg
mountain_57.jpg,mountain_193.jpg,0,mountain_57.jpg,mountain_193.jpg,left,mountain,bridge_64.jpg,playground_6.jpg,mountain_57.jpg,badlands_153.jpg,2,badlands_153.jpg,badlands_153.jpg
highway_359.jpg,highway_389.jpg,0,highway_359.jpg,highway_389.jpg,left,highway,highway_359.jpg,playground_200.jpg,badlands_45.jpg,bridge_257.jpg,0,bridge_257.jpg,bridge_257.jpg
bridge_202.jpg,bridge_38.jpg,1,bridge_202.jpg,bridge_38.jpg,left,bridge,mountain_179.jpg,playground_46.jpg,bridge_202.jpg,golf_course_260.jpg,2,golf_course_260.jpg,golf_course_260.jpg
golf_course_188.jpg,golf_course_157.jpg,0,golf_course_188.jpg,golf_course_157.jpg,left,golf,golf_course_188.jpg,bridge_48.jpg,highway_12.jpg,mountain_160.jpg,0,mountain_160.jpg,mountain_160.jpg
golf_course_78.jpg,golf_course_101.jpg,1,golf_course_78.jpg,golf_course_101.jpg,left,golf,bridge_263.jpg,mountain_84.jpg,golf_course_78.jpg,highway_159.jpg,2,highway_159.jpg,highway_159.jpg
playground_145.jpg,playground_242.jpg,1,playground_242.jpg,playground_145.jpg,right,playground,playground_145.jpg,golf_course_27.jpg,mountain_228.jpg,bridge_179.jpg,0,bridge_179.jpg,bridge_179.jpg
mountain_293.jpg,mountain_47.jpg,1,mountain_47.jpg,mountain_293.jpg,right,mountain,highway_402.jpg,mountain_293.jpg,bridge_123.jpg,playground_191.jpg,1,playground_191.jpg,playground_191.jpg
bridge_250.jpg,bridge_134.jpg,0,bridge_134.jpg,bridge_250.jpg,right,bridge,highway_342.jpg,bridge_250.jpg,badlands_58.jpg,mountain_161.jpg,1,mountain_161.jpg,mountain_161.jpg
playground_60.jpg,playground_244.jpg,1,playground_60.jpg,playground_244.jpg,left,playground,golf_course_52.jpg,playground_60.jpg,badlands_35.jpg,mountain_105.jpg,1,mountain_105.jpg,mountain_105.jpg
bridge_128.jpg,bridge_244.jpg,1,bridge_244.jpg,bridge_128.jpg,right,bridge,golf_course_325.jpg,badlands_104.jpg,bridge_128.jpg,highway_234.jpg,2,highway_234.jpg,highway_234.jpg
bridge_146.jpg,bridge_121.jpg,1,bridge_121.jpg,bridge_146.jpg,right,bridge,badlands_31.jpg,playground_90.jpg,bridge_146.jpg,mountain_12.jpg,2,mountain_12.jpg,mountain_12.jpg
mountain_154.jpg,mountain_95.jpg,1,mountain_154.jpg,mountain_95.jpg,left,mountain,mountain_154.jpg,bridge_182.jpg,badlands_95.jpg,highway_144.jpg,0,highway_144.jpg,highway_144.jpg
golf_course_87.jpg,golf_course_161.jpg,1,golf_course_87.jpg,golf_course_161.jpg,left,golf,golf_course_87.jpg,badlands_149.jpg,highway_325.jpg,bridge_26.jpg,0,bridge_26.jpg,bridge_26.jpg
playground_144.jpg,playground_65.jpg,1,playground_144.jpg,playground_65.jpg,left,playground,badlands_64.jpg,playground_144.jpg,bridge_52.jpg,golf_course_166.jpg,1,golf_course_166.jpg,golf_course_166.jpg
bridge_91.jpg,bridge_253.jpg,0,bridge_91.jpg,bridge_253.jpg,left,bridge,golf_course_33.jpg,bridge_91.jpg,mountain_253.jpg,badlands_100.jpg,1,badlands_100.jpg,badlands_100.jpg
highway_273.jpg,highway_384.jpg,0,highway_273.jpg,highway_384.jpg,left,highway,highway_273.jpg,playground_116.jpg,bridge_103.jpg,badlands_216.jpg,0,badlands_216.jpg,badlands_216.jpg
mountain_222.jpg,mountain_244.jpg,0,mountain_222.jpg,mountain_244.jpg,left,mountain,badlands_99.jpg,bridge_230.jpg,mountain_222.jpg,golf_course_159.jpg,2,golf_course_159.jpg,golf_course_159.jpg
badlands_222.jpg,badlands_34.jpg,0,badlands_34.jpg,badlands_222.jpg,right,badlands,badlands_222.jpg,playground_7.jpg,bridge_218.jpg,highway_261.jpg,0,highway_261.jpg,highway_261.jpg
badlands_184.jpg,badlands_228.jpg,0,badlands_184.jpg,badlands_228.jpg,left,badlands,golf_course_290.jpg,badlands_184.jpg,highway_166.jpg,bridge_130.jpg,1,bridge_130.jpg,bridge_130.jpg
playground_10.jpg,playground_122.jpg,0,playground_10.jpg,playground_122.jpg,left,playground,mountain_292.jpg,badlands_142.jpg,playground_10.jpg,highway_333.jpg,2,highway_333.jpg,highway_333.jpg
badlands_113.jpg,badlands_203.jpg,1,badlands_203.jpg,badlands_113.jpg,right,badlands,badlands_113.jpg,playground_13.jpg,mountain_166.jpg,golf_course_204.jpg,0,golf_course_204.jpg,golf_course_204.jpg
golf_course_217.jpg,golf_course_262.jpg,1,golf_course_217.jpg,golf_course_262.jpg,left,golf,bridge_238.jpg,golf_course_217.jpg,highway_219.jpg,playground_181.jpg,1,playground_181.jpg,playground_181.jpg
playground_257.jpg,playground_214.jpg,0,playground_214.jpg,playground_257.jpg,right,playground,playground_257.jpg,golf_course_156.jpg,mountain_26.jpg,highway_18.jpg,0,highway_18.jpg,highway_18.jpg
highway_415.jpg,highway_174.jpg,1,highway_415.jpg,highway_174.jpg,left,highway,highway_415.jpg,badlands_200.jpg,bridge_47.jpg,mountain_233.jpg,0,mountain_233.jpg,mountain_233.jpg
badlands_137.jpg,badlands_194.jpg,0,badlands_194.jpg,badlands_137.jpg,right,badlands,badlands_137.jpg,playground_123.jpg,highway_112.jpg,bridge_106.jpg,0,bridge_106.jpg,bridge_106.jpg
mountain_123.jpg,mountain_94.jpg,0,mountain_123.jpg,mountain_94.jpg,left,mountain,playground_249.jpg,mountain_123.jpg,golf_course_329.jpg,highway_357.jpg,1,highway_357.jpg,highway_357.jpg
mountain_101.jpg,mountain_221.jpg,1,mountain_101.jpg,mountain_221.jpg,left,mountain,bridge_239.jpg,playground_70.jpg,mountain_101.jpg,badlands_89.jpg,2,badlands_89.jpg,badlands_89.jpg
playground_219.jpg,playground_21.jpg,0,playground_219.jpg,playground_21.jpg,left,playground,bridge_259.jpg,highway_196.jpg,playground_219.jpg,mountain_44.jpg,2,mountain_44.jpg,mountain_44.jpg
highway_93.jpg,highway_85.jpg,0,highway_85.jpg,highway_93.jpg,right,highway,badlands_27.jpg,highway_93.jpg,golf_course_83.jpg,mountain_71.jpg,1,mountain_71.jpg,mountain_71.jpg
golf_course_195.jpg,golf_course_25.jpg,0,golf_course_25.jpg,golf_course_195.jpg,right,golf,bridge_21.jpg,golf_course_195.jpg,mountain_107.jpg,playground_178.jpg,1,playground_178.jpg,playground_178.jpg
highway_177.jpg,highway_278.jpg,1,highway_278.jpg,highway_177.jpg,right,highway,mountain_126.jpg,highway_177.jpg,golf_course_102.jpg,badlands_186.jpg,1,badlands_186.jpg,badlands_186.jpg
bridge_108.jpg,bridge_116.jpg,0,bridge_116.jpg,bridge_108.jpg,right,bridge,mountain_15.jpg,highway_248.jpg,bridge_108.jpg,playground_124.jpg,2,playground_124.jpg,playground_124.jpg
mountain_230.jpg,mountain_184.jpg,0,mountain_230.jpg,mountain_184.jpg,left,mountain,mountain_230.jpg,badlands_173.jpg,highway_263.jpg,playground_41.jpg,0,playground_41.jpg,playground_41.jpg
bridge_65.jpg,bridge_60.jpg,1,bridge_65.jpg,bridge_60.jpg,left,bridge,mountain_66.jpg,golf_course_122.jpg,bridge_65.jpg,badlands_59.jpg,2,badlands_59.jpg,badlands_59.jpg
highway_394.jpg,highway_204.jpg,0,highway_394.jpg,highway_204.jpg,left,highway,highway_394.jpg,bridge_206.jpg,mountain_24.jpg,badlands_176.jpg,0,badlands_176.jpg,badlands_176.jpg
playground_240.jpg,playground_40.jpg,1,playground_240.jpg,playground_40.jpg,left,playground,bridge_251.jpg,golf_course_58.jpg,playground_240.jpg,highway_319.jpg,2,highway_319.jpg,highway_319.jpg
playground_131.jpg,playground_164.jpg,1,playground_131.jpg,playground_164.jpg,left,playground,mountain_34.jpg,playground_131.jpg,bridge_9.jpg,badlands_130.jpg,1,badlands_130.jpg,badlands_130.jpg
