target,selected_dist,distractor_level,image1,image2,correct,category,background_0,background_1,background_2,background_3,target_index,background_4,background_5
golf_course_309.jpg,golf_course_209.jpg,1,golf_course_209.jpg,golf_course_309.jpg,right,golf,bridge_263.jpg,playground_124.jpg,golf_course_309.jpg,highway_112.jpg,2,highway_112.jpg,highway_112.jpg
golf_course_87.jpg,golf_course_161.jpg,1,golf_course_161.jpg,golf_course_87.jpg,right,golf,playground_172.jpg,golf_course_87.jpg,badlands_54.jpg,mountain_26.jpg,1,mountain_26.jpg,mountain_26.jpg
mountain_156.jpg,mountain_128.jpg,0,mountain_156.jpg,mountain_128.jpg,left,mountain,badlands_108.jpg,mountain_156.jpg,playground_90.jpg,highway_244.jpg,1,highway_244.jpg,highway_244.jpg
playground_144.jpg,playground_65.jpg,1,playground_144.jpg,playground_65.jpg,left,playground,highway_144.jpg,playground_144.jpg,badlands_152.jpg,mountain_296.jpg,1,mountain_296.jpg,mountain_296.jpg
highway_359.jpg,highway_379.jpg,1,highway_379.jpg,highway_359.jpg,right,highway,playground_70.jpg,highway_359.jpg,bridge_49.jpg,mountain_44.jpg,1,mountain_44.jpg,mountain_44.jpg
badlands_52.jpg,badlands_63.jpg,1,badlands_52.jpg,badlands_63.jpg,left,badlands,highway_333.jpg,badlands_52.jpg,playground_235.jpg,bridge_179.jpg,1,bridge_179.jpg,bridge_179.jpg
playground_131.jpg,playground_43.jpg,0,playground_43.jpg,playground_131.jpg,right,playground,bridge_251.jpg,playground_131.jpg,mountain_204.jpg,highway_12.jpg,1,highway_12.jpg,highway_12.jpg
golf_course_193.jpg,golf_course_123.jpg,1,golf_course_123.jpg,golf_course_193.jpg,right,golf,badlands_218.jpg,mountain_34.jpg,golf_course_193.jpg,playground_123.jpg,2,playground_123.jpg,playground_123.jpg
highway_177.jpg,highway_87.jpg,0,highway_177.jpg,highway_87.jpg,left,highway,badlands_186.jpg,bridge_64.jpg,highway_177.jpg,mountain_160.jpg,2,mountain_160.jpg,mountain_160.jpg
badlands_23.jpg,badlands_101.jpg,1,badlands_101.jpg,badlands_23.jpg,right,badlands,playground_200.jpg,badlands_23.jpg,golf_course_42.jpg,highway_357.jpg,1,highway_357.jpg,highway_357.jpg
playground_240.jpg,playground_40.jpg,1,playground_240.jpg,playground_40.jpg,left,playground,playground_240.jpg,golf_course_83.jpg,mountain_212.jpg,bridge_206.jpg,0,bridge_206.jpg,bridge_206.jpg
mountain_232.jpg,mountain_54.jpg,1,mountain_54.jpg,mountain_232.jpg,right,mountain,mountain_232.jpg,golf_course_122.jpg,highway_342.jpg,bridge_177.jpg,0,bridge_177.jpg,bridge_177.jpg
bridge_191.jpg,bridge_184.jpg,0,bridge_191.jpg,bridge_184.jpg,left,bridge,bridge_191.jpg,playground_209.jpg,golf_course_320.jpg,badlands_210.jpg,0,badlands_210.jpg,badlands_210.jpg
bridge_256.jpg,bridge_211.jpg,1,bridge_256.jpg,bridge_211.jpg,left,bridge,bridge_256.jpg,badlands_216.jpg,mountain_161.jpg,playground_36.jpg,0,playground_36.jpg,playground_36.jpg
golf_course_217.jpg,golf_course_35.jpg,0,golf_course_35.jpg,golf_course_217.jpg,right,golf,golf_course_217.jpg,bridge_204.jpg,badlands_180.jpg,playground_241.jpg,0,playground_241.jpg,playground_241.jpg
bridge_108.jpg,bridge_148.jpg,1,bridge_108.jpg,bridge_148.jpg,left,bridge,golf_course_229.jpg,bridge_108.jpg,badlands_177.jpg,mountain_71.jpg,1,mountain_71.jpg,mountain_71.jpg
bridge_146.jpg,bridge_27.jpg,0,bridge_146.jpg,bridge_27.jpg,left,bridge,mountain_199.jpg,bridge_146.jpg,badlands_153.jpg,playground_41.jpg,1,playground_41.jpg,playground_41.jpg
golf_course_331.jpg,golf_course_26.jpg,1,golf_course_331.jpg,golf_course_26.jpg,left,golf,badlands_99.jpg,golf_course_331.jpg,mountain_104.jpg,playground_95.jpg,1,playground_95.jpg,playground_95.jpg
badlands_222.jpg,badlands_34.jpg,0,badlands_34.jpg,badlands_222.jpg,right,badlands,bridge_103.jpg,golf_course_198.jpg,badlands_222.jpg,mountain_292.jpg,2,mountain_292.jpg,mountain_292.jpg
badlands_137.jpg,badlands_139.jpg,1,badlands_139.jpg,badlands_137.jpg,right,badlands,bridge_257.jpg,badlands_137.jpg,playground_181.jpg,golf_course_334.jpg,1,golf_course_334.jpg,golf_course_334.jpg
bridge_172.jpg,bridge_163.jpg,1,bridge_172.jpg,bridge_163.jpg,left,bridge,golf_course_58.jpg,highway_234.jpg,bridge_172.jpg,badlands_149.jpg,2,badlands_149.jpg,badlands_149.jpg
