target,selected_dist,distractor_level,image1,image2,correct,category,background_0,background_1,background_2,background_3,target_index,background_4,background_5
playground_60.jpg,playground_268.jpg,0,playground_60.jpg,playground_268.jpg,left,playground,highway_333.jpg,playground_60.jpg,bridge_49.jpg,golf_course_223.jpg,1,golf_course_223.jpg,golf_course_223.jpg
playground_144.jpg,playground_137.jpg,0,playground_137.jpg,playground_144.jpg,right,playground,bridge_120.jpg,playground_144.jpg,badlands_54.jpg,mountain_66.jpg,1,mountain_66.jpg,mountain_66.jpg
highway_209.jpg,highway_314.jpg,0,highway_314.jpg,highway_209.jpg,right,highway,bridge_251.jpg,highway_209.jpg,badlands_176.jpg,playground_241.jpg,1,playground_241.jpg,playground_241.jpg
highway_273.jpg,highway_171.jpg,1,highway_273.jpg,highway_171.jpg,left,highway,playground_193.jpg,badlands_58.jpg,highway_273.jpg,bridge_9.jpg,2,bridge_9.jpg,bridge_9.jpg
mountain_154.jpg,mountain_95.jpg,1,mountain_154.jpg,mountain_95.jpg,left,mountain,playground_46.jpg,mountain_154.jpg,highway_114.jpg,bridge_177.jpg,1,bridge_177.jpg,bridge_177.jpg
bridge_250.jpg,bridge_134.jpg,0,bridge_134.jpg,bridge_250.jpg,right,bridge,highway_99.jpg,badlands_200.jpg,bridge_250.jpg,golf_course_43.jpg,2,golf_course_43.jpg,golf_course_43.jpg
bridge_65.jpg,bridge_60.jpg,1,bridge_60.jpg,bridge_65.jpg,right,bridge,mountain_166.jpg,golf_course_198.jpg,bridge_65.jpg,highway_175.jpg,2,highway_175.jpg,highway_175.jpg
golf_course_331.jpg,golf_course_114.jpg,0,golf_course_114.jpg,golf_course_331.jpg,right,golf,golf_course_331.jpg,playground_158.jpg,highway_336.jpg,badlands_166.jpg,0,badlands_166.jpg,badlands_166.jpg
bridge_91.jpg,bridge_253.jpg,0,bridge_253.jpg,bridge_91.jpg,right,bridge,bridge_91.jpg,golf_course_42.jpg,playground_42.jpg,badlands_193.jpg,0,badlands_193.jpg,badlands_193.jpg
highway_294.jpg,highway_368.jpg,1,highway_294.jpg,highway_368.jpg,left,highway,playground_95.jpg,highway_294.jpg,mountain_15.jpg,golf_course_52.jpg,1,golf_course_52.jpg,golf_course_52.jpg
playground_145.jpg,playground_229.jpg,0,playground_145.jpg,playground_229.jpg,left,playground,golf_course_321.jpg,playground_145.jpg,bridge_78.jpg,badlands_142.jpg,1,badlands_142.jpg,badlands_142.jpg
