target,selected_dist,distractor_level,image1,image2,correct,category,background_0,background_1,background_2,background_3,target_index,background_4,background_5
bridge_172.jpg,bridge_163.jpg,1,bridge_172.jpg,bridge_163.jpg,left,bridge,highway_18.jpg,bridge_172.jpg,mountain_66.jpg,golf_course_122.jpg,1,golf_course_122.jpg,golf_course_122.jpg
bridge_202.jpg,bridge_31.jpg,0,bridge_202.jpg,bridge_31.jpg,left,bridge,highway_333.jpg,playground_42.jpg,bridge_202.jpg,mountain_179.jpg,2,mountain_179.jpg,mountain_179.jpg
highway_245.jpg,highway_134.jpg,0,highway_134.jpg,highway_245.jpg,right,highway,golf_course_260.jpg,highway_245.jpg,badlands_176.jpg,mountain_235.jpg,1,mountain_235.jpg,mountain_235.jpg
mountain_230.jpg,mountain_184.jpg,0,mountain_230.jpg,mountain_184.jpg,left,mountain,highway_23.jpg,mountain_230.jpg,bridge_182.jpg,badlands_180.jpg,1,badlands_180.jpg,badlands_180.jpg
mountain_232.jpg,mountain_54.jpg,1,mountain_232.jpg,mountain_54.jpg,left,mountain,playground_70.jpg,mountain_232.jpg,badlands_95.jpg,golf_course_128.jpg,1,golf_course_128.jpg,golf_course_128.jpg
badlands_24.jpg,badlands_53.jpg,1,badlands_53.jpg,badlands_24.jpg,right,badlands,bridge_158.jpg,golf_course_58.jpg,badlands_24.jpg,highway_179.jpg,2,highway_179.jpg,highway_179.jpg
playground_60.jpg,playground_244.jpg,1,playground_60.jpg,playground_244.jpg,left,playground,golf_course_302.jpg,mountain_4.jpg,playground_60.jpg,badlands_173.jpg,2,badlands_173.jpg,badlands_173.jpg
playground_117.jpg,playground_127.jpg,1,playground_127.jpg,playground_117.jpg,right,playground,bridge_130.jpg,mountain_166.jpg,playground_117.jpg,golf_course_325.jpg,2,golf_course_325.jpg,golf_course_325.jpg
golf_course_195.jpg,golf_course_25.jpg,0,golf_course_195.jpg,golf_course_25.jpg,left,golf,bridge_47.jpg,mountain_91.jpg,golf_course_195.jpg,badlands_75.jpg,2,badlands_75.jpg,badlands_75.jpg
playground_240.jpg,playground_40.jpg,1,playground_40.jpg,playground_240.jpg,right,playground,bridge_25.jpg,playground_240.jpg,mountain_105.jpg,golf_course_334.jpg,1,golf_course_334.jpg,golf_course_334.jpg
badlands_113.jpg,badlands_225.jpg,0,badlands_225.jpg,badlands_113.jpg,right,badlands,badlands_113.jpg,playground_108.jpg,mountain_296.jpg,golf_course_152.jpg,0,golf_course_152.jpg,golf_course_152.jpg
golf_course_214.jpg,golf_course_317.jpg,1,golf_course_214.jpg,golf_course_317.jpg,left,golf,playground_7.jpg,mountain_162.jpg,golf_course_214.jpg,bridge_10.jpg,2,bridge_10.jpg,bridge_10.jpg
badlands_137.jpg,badlands_139.jpg,1,badlands_137.jpg,badlands_139.jpg,left,badlands,playground_5.jpg,badlands_137.jpg,bridge_132.jpg,highway_402.jpg,1,highway_402.jpg,highway_402.jpg
golf_course_309.jpg,golf_course_209.jpg,1,golf_course_309.jpg,golf_course_209.jpg,left,golf,golf_course_309.jpg,playground_66.jpg,badlands_226.jpg,highway_261.jpg,0,highway_261.jpg,highway_261.jpg
mountain_156.jpg,mountain_128.jpg,0,mountain_156.jpg,mountain_128.jpg,left,mountain,bridge_169.jpg,highway_114.jpg,mountain_156.jpg,golf_course_43.jpg,2,golf_course_43.jpg,golf_course_43.jpg
playground_219.jpg,playground_205.jpg,1,playground_219.jpg,playground_205.jpg,left,playground,highway_25.jpg,playground_219.jpg,golf_course_88.jpg,bridge_2.jpg,1,bridge_2.jpg,bridge_2.jpg
bridge_65.jpg,bridge_60.jpg,1,bridge_65.jpg,bridge_60.jpg,left,bridge,playground_173.jpg,bridge_65.jpg,badlands_143.jpg,golf_course_21.jpg,1,golf_course_21.jpg,golf_course_21.jpg
golf_course_217.jpg,golf_course_262.jpg,1,golf_course_262.jpg,golf_course_217.jpg,right,golf,bridge_206.jpg,highway_144.jpg,golf_course_217.jpg,badlands_58.jpg,2,badlands_58.jpg,badlands_58.jpg
badlands_52.jpg,badlands_94.jpg,0,badlands_94.jpg,badlands_52.jpg,right,badlands,mountain_228.jpg,badlands_52.jpg,highway_219.jpg,golf_course_258.jpg,1,golf_course_258.jpg,golf_course_258.jpg
golf_course_78.jpg,golf_course_101.jpg,1,golf_course_78.jpg,golf_course_101.jpg,left,golf,badlands_177.jpg,mountain_115.jpg,golf_course_78.jpg,bridge_177.jpg,2,bridge_177.jpg,bridge_177.jpg
bridge_256.jpg,bridge_211.jpg,1,bridge_211.jpg,bridge_256.jpg,right,bridge,bridge_256.jpg,mountain_280.jpg,golf_course_206.jpg,playground_90.jpg,0,playground_90.jpg,playground_90.jpg
golf_course_193.jpg,golf_course_235.jpg,0,golf_course_235.jpg,golf_course_193.jpg,right,golf,playground_209.jpg,golf_course_193.jpg,mountain_26.jpg,highway_37.jpg,1,highway_37.jpg,highway_37.jpg
mountain_101.jpg,mountain_171.jpg,0,mountain_171.jpg,mountain_101.jpg,right,mountain,playground_3.jpg,mountain_101.jpg,badlands_54.jpg,highway_342.jpg,1,highway_342.jpg,highway_342.jpg
golf_course_188.jpg,golf_course_160.jpg,1,golf_course_188.jpg,golf_course_160.jpg,left,golf,golf_course_188.jpg,mountain_301.jpg,highway_234.jpg,badlands_166.jpg,0,badlands_166.jpg,badlands_166.jpg
playground_131.jpg,playground_164.jpg,1,playground_164.jpg,playground_131.jpg,right,playground,highway_146.jpg,playground_131.jpg,mountain_104.jpg,badlands_2.jpg,1,badlands_2.jpg,badlands_2.jpg
highway_359.jpg,highway_389.jpg,0,highway_389.jpg,highway_359.jpg,right,highway,badlands_210.jpg,golf_course_316.jpg,highway_359.jpg,playground_178.jpg,2,playground_178.jpg,playground_178.jpg
playground_257.jpg,playground_214.jpg,0,playground_257.jpg,playground_214.jpg,left,playground,playground_257.jpg,golf_course_102.jpg,mountain_71.jpg,badlands_218.jpg,0,badlands_218.jpg,badlands_218.jpg
highway_93.jpg,highway_85.jpg,0,highway_85.jpg,highway_93.jpg,right,highway,highway_93.jpg,badlands_153.jpg,playground_172.jpg,bridge_263.jpg,0,bridge_263.jpg,bridge_263.jpg
golf_course_87.jpg,golf_course_130.jpg,0,golf_course_87.jpg,golf_course_130.jpg,left,golf,mountain_15.jpg,playground_6.jpg,golf_course_87.jpg,highway_248.jpg,2,highway_248.jpg,highway_248.jpg
mountain_222.jpg,mountain_244.jpg,0,mountain_222.jpg,mountain_244.jpg,left,mountain,mountain_222.jpg,highway_12.jpg,playground_41.jpg,golf_course_42.jpg,0,golf_course_42.jpg,golf_course_42.jpg
mountain_154.jpg,mountain_95.jpg,1,mountain_154.jpg,mountain_95.jpg,left,mountain,bridge_264.jpg,badlands_45.jpg,mountain_154.jpg,golf_course_52.jpg,2,golf_course_52.jpg,golf_course_52.jpg
