,category name,epsilon,d1 mean,d2 mean,elapse time,p val,t stat
0,badlands,0.3,0.363904491,0.39381143642857147,0.8753811438878377,0.24225329703983736,-1.251639686018698
0,badlands,0.2,0.37029041685714287,0.38945787871428567,8.583395286401112,0.42210538826586164,-0.8410447201357777
0,bridge,0.3,0.27959226165714285,0.30892475628571425,139.70066982110342,0.20655886047735125,-1.3611821075476718
0,bridge,0.2,0.2889086273142857,0.30811768071428575,26.528503187497456,0.3125024242224872,-1.0699350828018175
0,golf_course,0.3,0.37728653342857144,0.4063770368571428,823.2265703757604,0.21432991017321723,-1.3360491352497768
0,golf_course,0.2,0.37584662399999996,0.3955236818571429,2.2879905581474302,0.43744075382963554,-0.8125498994072203
0,highway,0.3,0.327164222,0.3570611942857143,38.47210876146952,0.2786964322426327,-1.1527847747533266
0,highway,0.2,0.3248246145714285,0.34459697271428574,131.71264202594756,0.5544913996963128,-0.6138808645151177
0,mountain,0.3,0.4273546178571429,0.45676241100000003,2.335142636299133,0.6856218755378833,-0.41817301712369487
0,mountain,0.2,0.42378993085714284,0.4436445075714285,15.693531640370686,0.7736018362122441,-0.29646586890350907
0,playground,0.3,0.28725508414285716,0.3172032780714286,1.2231712977091471,0.21784171727891313,-1.3249436306429108
0,playground,0.2,0.29913298042857145,0.3185711117857143,1.511358114083608,0.41753543031704665,-0.8496731292705292
