image1,image2,level_0,level_1,level_2,level_3,level_4,level_5,level_6,model,category1,category2,mean_network_sim,numeric_image1,numeric_image2,distractor_level
highway_177.jpg,highway_87.jpg,0.4430712,0.3067348,0.21878648,0.19506034,0.14729178,0.27883062,0.21792336,VGG,highway,highway,0.25824265428571425,61,113,0
highway_177.jpg,highway_278.jpg,0.3154544,0.24986586,0.20883203,0.1945177,0.40280348,0.74632347,0.8309918,VGG,highway,highway,0.4212555342857143,61,177,1
highway_203.jpg,highway_294.jpg,0.53258485,0.35239494,0.2832024,0.2900594,0.27117252,0.34251302,0.3014776,VGG,highway,highway,0.33905781857142864,139,66,0
highway_294.jpg,highway_368.jpg,0.29726386,0.21633394,0.1600737,0.15116003,0.2428755,0.61632276,0.75461644,VGG,highway,highway,0.3483780328571428,66,148,1
highway_156.jpg,highway_160.jpg,0.49982318,0.36226764,0.2831422,0.2591198,0.20713879,0.34062448,0.30290347,VGG,highway,highway,0.32214565142857143,82,77,0
highway_156.jpg,highway_293.jpg,0.2611906,0.18068743,0.13169755,0.10808442,0.06959363,0.45200413,0.6749444,VGG,highway,highway,0.26831459428571425,82,301,1
highway_85.jpg,highway_93.jpg,0.5492933,0.32390952,0.239497,0.20417976,0.24044366,0.34103322,0.3160155,VGG,highway,highway,0.3163388514285715,158,141,0
highway_369.jpg,highway_93.jpg,0.2907664,0.20562696,0.17009701,0.13511759,0.20104222,0.6355763,0.7753927,VGG,highway,highway,0.34480274000000005,325,141,1
highway_204.jpg,highway_394.jpg,0.6330371,0.37837622,0.27939838,0.2836119,0.32572985,0.5529256,0.48823845,VGG,highway,highway,0.42018821428571423,237,241,0
highway_394.jpg,highway_406.jpg,0.27082774,0.26801914,0.21233822,0.18793131,0.29265267,0.6124239,0.6920614,VGG,highway,highway,0.3623220542857143,241,135,1
highway_209.jpg,highway_314.jpg,0.41372195,0.32928216,0.2565734,0.21861777,0.204074,0.31620744,0.23214854,VGG,highway,highway,0.2815178942857143,266,172,0
highway_122.jpg,highway_209.jpg,0.27097228,0.17822555,0.12523077,0.09561488,0.15732731,0.5903455,0.71234214,VGG,highway,highway,0.30429406142857146,72,266,1
highway_273.jpg,highway_384.jpg,0.6130529,0.39240938,0.30493802,0.32872877,0.35153234,0.5833153,0.5422901,VGG,highway,highway,0.44518097285714286,292,383,0
highway_171.jpg,highway_273.jpg,0.29885578,0.24033299,0.19178447,0.18446213,0.17175853,0.6318047,0.79852456,VGG,highway,highway,0.3596461657142857,245,292,1
highway_359.jpg,highway_389.jpg,0.5051064,0.3427607,0.25775743,0.1963625,0.12926066,0.33435845,0.30935338,VGG,highway,highway,0.2964227885714286,373,149,0
highway_359.jpg,highway_379.jpg,0.29902548,0.22157085,0.17729513,0.16353792,0.19099174,0.6339567,0.78329104,VGG,highway,highway,0.35280983714285713,373,307,1
highway_415.jpg,highway_60.jpg,0.47422552,0.35630953,0.30057204,0.32076314,0.23560357,0.4038165,0.27697945,VGG,highway,highway,0.33832424999999994,387,191,0
highway_174.jpg,highway_415.jpg,0.28230417,0.23740536,0.19912721,0.16924305,0.21718535,0.575302,0.74048865,VGG,highway,highway,0.3458651128571429,73,387,1
highway_134.jpg,highway_245.jpg,0.51888865,0.33513343,0.26403782,0.2841775,0.28300393,0.4393938,0.4155572,VGG,highway,highway,0.36288461857142856,3,389,0
highway_206.jpg,highway_245.jpg,0.28642663,0.22368598,0.18061182,0.16916856,0.2712245,0.6611975,0.7950239,VGG,highway,highway,0.3696198414285714,38,389,1
