image1,image2,level_0,level_1,level_2,level_3,level_4,level_5,level_6,model,category1,category2,mean_network_sim,numeric_image1,numeric_image2,distractor_level
mountain_193.jpg,mountain_57.jpg,0.59067595,0.40531182,0.2773247,0.288993,0.35223252,0.49879164,0.48618668,VGG,mountain,mountain,0.41421661571428575,299,38,0
mountain_138.jpg,mountain_57.jpg,0.32050747,0.28381878,0.22135396,0.22846788,0.18865247,0.5196545,0.6776216,VGG,mountain,mountain,0.34858238,156,38,1
mountain_128.jpg,mountain_156.jpg,0.5776853,0.40390566,0.29884475,0.3129117,0.24244449,0.4315244,0.40535656,VGG,mountain,mountain,0.3818104085714285,281,51,0
mountain_156.jpg,mountain_295.jpg,0.3729463,0.35421595,0.27107418,0.27239627,0.48933348,0.76342845,0.8166013,VGG,mountain,mountain,0.4771422757142857,51,215,1
mountain_123.jpg,mountain_94.jpg,0.47839856,0.37133807,0.24314271,0.16750391,0.15821014,0.3059851,0.20791478,VGG,mountain,mountain,0.27607046714285716,116,17,0
mountain_123.jpg,mountain_189.jpg,0.41367152,0.32839236,0.24653864,0.27531007,0.2650634,0.6586839,0.7635592,VGG,mountain,mountain,0.4216027271428571,116,292,1
mountain_110.jpg,mountain_157.jpg,0.5669753,0.40151602,0.27760696,0.29231715,0.3169344,0.47738174,0.43649262,VGG,mountain,mountain,0.39560345571428573,163,234,0
mountain_110.jpg,mountain_223.jpg,0.38453987,0.31773788,0.21366288,0.20598602,0.2247437,0.62718225,0.75482965,VGG,mountain,mountain,0.38981174999999996,163,193,1
mountain_293.jpg,mountain_72.jpg,0.67056596,0.44540292,0.34054568,0.39158183,0.46549717,0.6543698,0.67723864,VGG,mountain,mountain,0.5207431428571428,186,144,0
mountain_293.jpg,mountain_47.jpg,0.2880901,0.2650945,0.22324824,0.22124538,0.2422824,0.6260314,0.7495597,VGG,mountain,mountain,0.37365024571428573,186,92,1
mountain_101.jpg,mountain_171.jpg,0.6636446,0.462708,0.31658506,0.36674833,0.29131004,0.5157272,0.4796912,VGG,mountain,mountain,0.4423449185714286,198,89,0
mountain_101.jpg,mountain_221.jpg,0.3346232,0.3300547,0.22753815,0.20920317,0.22351217,0.6669047,0.74319804,VGG,mountain,mountain,0.3907191614285714,198,277,1
mountain_184.jpg,mountain_230.jpg,0.43333822,0.38332355,0.2768056,0.2668118,0.23595683,0.40921843,0.35821688,VGG,mountain,mountain,0.33766733,65,236,0
mountain_230.jpg,mountain_97.jpg,0.3455603,0.2756914,0.18322569,0.20827124,0.1715097,0.66652834,0.81714594,VGG,mountain,mountain,0.38113323000000005,236,5,1
mountain_222.jpg,mountain_244.jpg,0.5115788,0.39087683,0.27191108,0.21826537,0.19646807,0.36590198,0.36977452,VGG,mountain,mountain,0.33211094999999996,258,263,0
mountain_222.jpg,mountain_93.jpg,0.26221803,0.25896353,0.2204325,0.16127944,0.14517413,0.4681359,0.6383742,VGG,mountain,mountain,0.3077968185714286,258,138,1
mountain_131.jpg,mountain_154.jpg,0.5148614,0.4013184,0.28704283,0.2907446,0.23330346,0.40915784,0.38467962,VGG,mountain,mountain,0.3601583071428571,298,264,0
mountain_154.jpg,mountain_95.jpg,0.34378266,0.32024077,0.22691369,0.17576575,0.2501581,0.66858506,0.78483415,VGG,mountain,mountain,0.3957543114285714,264,105,1
mountain_232.jpg,mountain_3.jpg,0.6560337,0.46318838,0.3560596,0.38222906,0.23777024,0.43464705,0.41901082,VGG,mountain,mountain,0.4212769785714286,270,233,0
mountain_232.jpg,mountain_54.jpg,0.36328027,0.28793395,0.24258348,0.30954665,0.4177531,0.6953152,0.75235236,VGG,mountain,mountain,0.4383950014285714,270,272,1
