category name,epsilon,d1 mean,d2 mean,elapse time,p val,t stat
badlands,0.05,0.376555841,0.38051581028571435,2.610508100191752,0.8950067187903132,-0.13575000753538538
bridge,0.05,0.2889086273142857,0.2936178029142857,4.408170886834463,0.8402072382387229,-0.20754129828455914
golf_course,0.05,0.3945841404285715,0.39942026799999997,46.09202144145966,0.8707198768600153,-0.16744770716108384
highway,0.05,0.332273076,0.3372067854857143,291.9867498834928,0.8327709353922597,-0.21736604094401854
mountain,0.05,0.4213274761428572,0.4253368222857143,42.8298562725385,0.9522388801001704,-0.061585520667354385
playground,0.05,0.29982140850000005,0.3047757217857142,23.548126256465913,0.7957368414265044,-0.26666431431260645
