,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,subject
44,6,2.0,left.jpg,left,1.8979,left,14.0,left,1.0,2.0315,2.0,flower3.jpg,flower3_pair.jpg,left,A1FJGB5JLZ81XB
45,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.4572,3.0,flower4.jpg,flower4_pair.jpg,left,A1FJGB5JLZ81XB
46,8,4.0,flower4.jpg,,,,16.0,right,1.0,3.3666,4.0,flower5_pair.jpg,flower5.jpg,right,A1FJGB5JLZ81XB
47,9,5.0,flower5.jpg,,,,17.0,right,0.0,1.5089,5.0,flower6.jpg,flower6_pair.jpg,left,A1FJGB5JLZ81XB
48,10,6.0,flower6.jpg,,,,,,,,,,,,A1FJGB5JLZ81XB
49,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.615,0.0,flower1.jpg,flower1_pair.jpg,left,A1O7XFRTZ46PN5
50,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.635,1.0,flower2_pair.jpg,flower2.jpg,right,A1O7XFRTZ46PN5
51,6,2.0,left.jpg,left,1.565,left,14.0,left,1.0,1.697,2.0,flower3.jpg,flower3_pair.jpg,left,A1O7XFRTZ46PN5
52,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.98,3.0,flower4.jpg,flower4_pair.jpg,left,A1O7XFRTZ46PN5
53,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.602,4.0,flower5_pair.jpg,flower5.jpg,right,A1O7XFRTZ46PN5
54,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.747,5.0,flower6.jpg,flower6_pair.jpg,left,A1O7XFRTZ46PN5
55,10,6.0,flower6.jpg,,,,,,,,,,,,A1O7XFRTZ46PN5
56,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.295,0.0,flower1.jpg,flower1_pair.jpg,left,A1OK06ZUFSY1C
57,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.62,1.0,flower2_pair.jpg,flower2.jpg,right,A1OK06ZUFSY1C
58,6,2.0,left.jpg,left,1.107,left,14.0,left,1.0,2.501,2.0,flower3.jpg,flower3_pair.jpg,left,A1OK06ZUFSY1C
59,7,3.0,flower3.jpg,,,,15.0,left,1.0,4.106,3.0,flower4.jpg,flower4_pair.jpg,left,A1OK06ZUFSY1C
60,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.73,4.0,flower5_pair.jpg,flower5.jpg,right,A1OK06ZUFSY1C
61,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.36,5.0,flower6.jpg,flower6_pair.jpg,left,A1OK06ZUFSY1C
62,10,6.0,flower6.jpg,,,,,,,,,,,,A1OK06ZUFSY1C
63,4,0.0,flower1.jpg,,,,12.0,left,1.0,3.6784,0.0,flower1.jpg,flower1_pair.jpg,left,A1OZPLHNIU1519
64,5,1.0,flower2.jpg,,,,13.0,right,1.0,3.0905,1.0,flower2_pair.jpg,flower2.jpg,right,A1OZPLHNIU1519
65,6,2.0,left.jpg,left,0.6512,left,14.0,left,1.0,1.4118,2.0,flower3.jpg,flower3_pair.jpg,left,A1OZPLHNIU1519
66,7,3.0,flower3.jpg,,,,15.0,left,1.0,4.091,3.0,flower4.jpg,flower4_pair.jpg,left,A1OZPLHNIU1519
67,8,4.0,flower4.jpg,,,,16.0,right,1.0,3.0187,4.0,flower5_pair.jpg,flower5.jpg,right,A1OZPLHNIU1519
68,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.8267,5.0,flower6.jpg,flower6_pair.jpg,left,A1OZPLHNIU1519
69,10,6.0,flower6.jpg,,,,,,,,,,,,A1OZPLHNIU1519
70,4,0.0,flower1.jpg,,,,12.0,left,1.0,3.6169,0.0,flower1.jpg,flower1_pair.jpg,left,A1Q1JSFKBUIYJD
71,5,1.0,flower2.jpg,,,,13.0,right,1.0,3.7158,1.0,flower2_pair.jpg,flower2.jpg,right,A1Q1JSFKBUIYJD
72,6,2.0,left.jpg,left,1.7456,left,14.0,left,1.0,1.2764,2.0,flower3.jpg,flower3_pair.jpg,left,A1Q1JSFKBUIYJD
73,7,3.0,flower3.jpg,,,,15.0,right,0.0,4.6378,3.0,flower4.jpg,flower4_pair.jpg,left,A1Q1JSFKBUIYJD
74,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.8626,4.0,flower5_pair.jpg,flower5.jpg,right,A1Q1JSFKBUIYJD
75,9,5.0,flower5.jpg,,,,17.0,right,0.0,1.7413,5.0,flower6.jpg,flower6_pair.jpg,left,A1Q1JSFKBUIYJD
76,10,6.0,flower6.jpg,,,,,,,,,,,,A1Q1JSFKBUIYJD
77,4,0.0,flower1.jpg,,,,12.0,left,1.0,11.211,0.0,flower1.jpg,flower1_pair.jpg,left,A1QSX79P1W1058
78,5,1.0,flower2.jpg,,,,13.0,right,1.0,5.012,1.0,flower2_pair.jpg,flower2.jpg,right,A1QSX79P1W1058
79,6,2.0,left.jpg,left,1.49,left,14.0,left,1.0,11.668,2.0,flower3.jpg,flower3_pair.jpg,left,A1QSX79P1W1058
80,7,3.0,flower3.jpg,,,,15.0,left,1.0,8.22,3.0,flower4.jpg,flower4_pair.jpg,left,A1QSX79P1W1058
81,8,4.0,flower4.jpg,,,,16.0,right,1.0,4.431,4.0,flower5_pair.jpg,flower5.jpg,right,A1QSX79P1W1058
82,9,5.0,flower5.jpg,,,,17.0,right,0.0,9.562,5.0,flower6.jpg,flower6_pair.jpg,left,A1QSX79P1W1058
83,10,6.0,flower6.jpg,,,,,,,,,,,,A1QSX79P1W1058
84,4,0.0,flower1.jpg,,,,12.0,left,1.0,3.9392,0.0,flower1.jpg,flower1_pair.jpg,left,A1TKQJUFNN40MJ
85,5,1.0,flower2.jpg,,,,13.0,right,1.0,3.669,1.0,flower2_pair.jpg,flower2.jpg,right,A1TKQJUFNN40MJ
86,6,2.0,left.jpg,left,2.6437,left,14.0,left,1.0,2.1908,2.0,flower3.jpg,flower3_pair.jpg,left,A1TKQJUFNN40MJ
87,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.4645,3.0,flower4.jpg,flower4_pair.jpg,left,A1TKQJUFNN40MJ
88,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.599,4.0,flower5_pair.jpg,flower5.jpg,right,A1TKQJUFNN40MJ
89,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.1992,5.0,flower6.jpg,flower6_pair.jpg,left,A1TKQJUFNN40MJ
90,10,6.0,flower6.jpg,,,,,,,,,,,,A1TKQJUFNN40MJ
91,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.7645,0.0,flower1.jpg,flower1_pair.jpg,left,A1UEMMSI1XUBSW
92,5,1.0,flower2.jpg,,,,13.0,left,0.0,2.018,1.0,flower2_pair.jpg,flower2.jpg,right,A1UEMMSI1XUBSW
93,6,2.0,left.jpg,left,0.5615,left,14.0,left,1.0,1.3956,2.0,flower3.jpg,flower3_pair.jpg,left,A1UEMMSI1XUBSW
94,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.793,3.0,flower4.jpg,flower4_pair.jpg,left,A1UEMMSI1XUBSW
95,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.9043,4.0,flower5_pair.jpg,flower5.jpg,right,A1UEMMSI1XUBSW
96,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.7084,5.0,flower6.jpg,flower6_pair.jpg,left,A1UEMMSI1XUBSW
97,10,6.0,flower6.jpg,,,,,,,,,,,,A1UEMMSI1XUBSW
98,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.0106,0.0,flower1.jpg,flower1_pair.jpg,left,A1XI05JJT3GPRG
99,5,1.0,flower2.jpg,,,,13.0,right,1.0,1.5386,1.0,flower2_pair.jpg,flower2.jpg,right,A1XI05JJT3GPRG
100,6,2.0,left.jpg,left,1.0086,left,14.0,right,0.0,2.8231,2.0,flower3.jpg,flower3_pair.jpg,left,A1XI05JJT3GPRG
101,7,3.0,flower3.jpg,,,,15.0,right,0.0,2.0082,3.0,flower4.jpg,flower4_pair.jpg,left,A1XI05JJT3GPRG
102,8,4.0,flower4.jpg,,,,16.0,left,0.0,1.3046,4.0,flower5_pair.jpg,flower5.jpg,right,A1XI05JJT3GPRG
103,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.8867,5.0,flower6.jpg,flower6_pair.jpg,left,A1XI05JJT3GPRG
104,10,6.0,flower6.jpg,,,,,,,,,,,,A1XI05JJT3GPRG
105,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.1309,0.0,flower1.jpg,flower1_pair.jpg,left,A2CXF9V4KEA8AW
106,5,1.0,flower2.jpg,,,,13.0,left,0.0,2.6005,1.0,flower2_pair.jpg,flower2.jpg,right,A2CXF9V4KEA8AW
107,6,2.0,left.jpg,left,1.4117,left,14.0,left,1.0,2.4872,2.0,flower3.jpg,flower3_pair.jpg,left,A2CXF9V4KEA8AW
