,demo_loops.thisTrialN,target,image1,image2,correct,demo_test_key_resp.rt,demo_test_key_resp.keys,subject
0,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,4.1367,right,A245B3Q3BILZCL
1,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,0.9552,right,A245B3Q3BILZCL
2,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,1.4596,right,A245B3Q3BILZCL
3,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,4.5824,left,A3KXQT51DR0ZS4
4,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,2.105,left,A3KXQT51DR0ZS4
5,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,5.2627,right,A3KXQT51DR0ZS4
6,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,6.8381,left,A2JGO9YCQFQ8CF
7,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,3.6782,left,A2JGO9YCQFQ8CF
8,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,6.097400001,right,A2JGO9YCQFQ8CF
9,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,15.6537,left,A12NDIK7C4TFPC
10,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,6.3516,left,A12NDIK7C4TFPC
11,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,5.8406,right,A12NDIK7C4TFPC
12,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,0.0149,left,A15QJT0CC8ADG
13,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,0.0225,right,A15QJT0CC8ADG
14,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,0.125,right,A15QJT0CC8ADG
15,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,11.8884,right,AM38L58BYJEO3
16,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,4.9684,left,AM38L58BYJEO3
17,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,6.3462,left,AM38L58BYJEO3
18,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,1.249,left,A1Y3JL53XAO7QV
19,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,2.686,right,A1Y3JL53XAO7QV
20,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,1.436,left,A1Y3JL53XAO7QV
21,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,0.2504,left,A3E8GACA13UD1X
22,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,0.5877,right,A3E8GACA13UD1X
23,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,0.0969,right,A3E8GACA13UD1X
24,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,3.9828,left,A34ZJFQ9UCP1CR
25,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,2.3321,left,A34ZJFQ9UCP1CR
26,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,1.669,left,A34ZJFQ9UCP1CR
27,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,10.6261,left,A2XMPKGRSG8E4F
28,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,9.3539,left,A2XMPKGRSG8E4F
29,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,1.438,right,A2XMPKGRSG8E4F
30,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,95.5676,right,A38L6MQP80Q4ZV
31,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,12.1065,right,A38L6MQP80Q4ZV
32,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,14.7736,right,A38L6MQP80Q4ZV
33,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,1.0614,right,A188F1RA867LVT
34,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,0.7529,left,A188F1RA867LVT
35,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,0.9967,right,A188F1RA867LVT
36,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,9.6372,left,A1822S4ELYI80E
37,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,3.9029,right,A1822S4ELYI80E
38,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,2.9533,left,A1822S4ELYI80E
39,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,7.7462,left,AOMYFDVVIRWN2
40,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,4.5044,left,AOMYFDVVIRWN2
41,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,3.725,left,AOMYFDVVIRWN2
42,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,3.9904,left,A2ZVNN5418E46A
43,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,2.6502,right,A2ZVNN5418E46A
44,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,1.9519,left,A2ZVNN5418E46A
45,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,2.0091,right,A2FQBH7RXRP168
46,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,0.2671,left,A2FQBH7RXRP168
47,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,5.5538,right,A2FQBH7RXRP168
48,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,26.3455,right,A1FDSYERTKDL02
49,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,11.4268,left,A1FDSYERTKDL02
50,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,5.621599999,left,A1FDSYERTKDL02
51,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,1.3623,left,A3V2XCDF45VN9X
52,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,2.4489,right,A3V2XCDF45VN9X
53,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,2.4849,left,A3V2XCDF45VN9X
54,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,7.7536,right,A3J2XFG2QZQJA
55,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,7.4798,right,A3J2XFG2QZQJA
56,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,10.159,left,A3J2XFG2QZQJA
