,index,test_encoding_response.keys,test_encoding_response.corr,trials.thisTrialN,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,subject
46,66,,1.0,46.0,WHITE_CHEEKED_TURACO_5.jpg,GREAT_POTOO_3.jpg,2.0,,,,A146QN6EU8LAEI
47,67,,1.0,47.0,SHOEBILL_3.jpg,BALD_EAGLE_5.jpg,3.0,,,,A146QN6EU8LAEI
48,68,,1.0,48.0,EASTERN_TOWEE_2.jpg,GOLDEN_CHLOROPHONIA_1.jpg,2.0,,,,A146QN6EU8LAEI
49,69,,1.0,49.0,BREWERS_BLACKBIRD_3.jpg,GUINEA_TURACO_3.jpg,1.0,,,,A146QN6EU8LAEI
50,70,,1.0,50.0,CASPIAN_TERN_1.jpg,COMMON_LOON_2.jpg,3.0,,,,A146QN6EU8LAEI
51,71,,1.0,51.0,RUBY_THROATED_HUMMINGBIRD_2.jpg,GOLDEN_CHLOROPHONIA_2.jpg,1.0,,,,A146QN6EU8LAEI
52,72,,1.0,52.0,PINK_ROBIN_4.jpg,ALBATROSS_4.jpg,2.0,,,,A146QN6EU8LAEI
53,73,,1.0,53.0,GYRFALCON_1.jpg,FAIRY_TERN_1.jpg,3.0,,,,A146QN6EU8LAEI
54,74,left,1.0,54.0,left.jpg,,,left,1.339,,A146QN6EU8LAEI
55,75,,1.0,55.0,RUBY_THROATED_HUMMINGBIRD_3.jpg,MALAGASY_WHITE_EYE_2.jpg,1.0,,,,A146QN6EU8LAEI
56,76,,1.0,56.0,LESSER_ADJUTANT_5.jpg,GREEN_BROADBILL_4.jpg,1.0,,,,A146QN6EU8LAEI
57,77,,1.0,57.0,GRAY_KINGBIRD_5.jpg,COCK_OF_THE__ROCK_4.jpg,2.0,,,,A146QN6EU8LAEI
58,78,,1.0,58.0,NORTHERN_JACANA_3.jpg,AMERICAN_GOLDFINCH_4.jpg,1.0,,,,A146QN6EU8LAEI
59,79,,1.0,59.0,TASMANIAN_HEN_5.jpg,COPPERY_TAILED_COUCAL_1.jpg,3.0,,,,A146QN6EU8LAEI
60,80,,1.0,60.0,ARARIPE_MANAKIN_4.jpg,BORNEAN_LEAFBIRD_3.jpg,3.0,,,,A146QN6EU8LAEI
61,81,,1.0,61.0,VERMILION_FLYCATHER_3.jpg,INDIAN_BUSTARD_1.jpg,1.0,,,,A146QN6EU8LAEI
62,82,,1.0,62.0,GOLDEN_CHLOROPHONIA_5.jpg,COMMON_HOUSE_MARTIN_4.jpg,2.0,,,,A146QN6EU8LAEI
63,83,,1.0,63.0,CRESTED_CARACARA_4.jpg,TOUCHAN_4.jpg,3.0,,,,A146QN6EU8LAEI
64,84,,1.0,64.0,LARK_BUNTING_2.jpg,KING_VULTURE_3.jpg,2.0,,,,A146QN6EU8LAEI
65,20,,1.0,0.0,DOUBLE_BRESTED_CORMARANT_5.jpg,CHINESE_POND_HERON_2.jpg,3.0,,,,A1AMGHYG5PT0L2
66,21,,1.0,1.0,OCELLATED_TURKEY_1.jpg,AMERICAN_PIPIT_1.jpg,2.0,,,,A1AMGHYG5PT0L2
67,22,,1.0,2.0,CHUKAR_PARTRIDGE_5.jpg,OSTRICH_5.jpg,1.0,,,,A1AMGHYG5PT0L2
68,23,,1.0,3.0,IVORY_GULL_1.jpg,FAIRY_TERN_4.jpg,3.0,,,,A1AMGHYG5PT0L2
69,24,,1.0,4.0,BREWERS_BLACKBIRD_3.jpg,CAPE_LONGCLAW_2.jpg,3.0,,,,A1AMGHYG5PT0L2
70,25,,1.0,5.0,RED_HEADED_WOODPECKER_5.jpg,CRIMSON_CHAT_3.jpg,2.0,,,,A1AMGHYG5PT0L2
71,26,,1.0,6.0,OVENBIRD_5.jpg,FAIRY_PENGUIN_1.jpg,2.0,,,,A1AMGHYG5PT0L2
72,27,right,1.0,7.0,right.jpg,,,right,1.2493,,A1AMGHYG5PT0L2
73,28,,1.0,8.0,NORTHERN_JACANA_3.jpg,SCARLET_IBIS_4.jpg,3.0,,,,A1AMGHYG5PT0L2
