target_image,target_match,option1,option2,option3,option1_layer,option2_layer,option3_layer,match_layer,correct_answer,trial_num
GOLDEN_CHLOROPHONIA_5.jpg,ROADRUNNER_2.jpg,VERMILION_FLYCATHER_5.jpg,WHIMBREL_1.jpg,COMMON_HOUSE_MARTIN_4.jpg,3,1,2,1,2,0
RUBY_THROATED_HUMMINGBIRD_1.jpg,FRIGATE_1.jpg,NORTHERN_CARDINAL_1.jpg,EURASIAN_GOLDEN_ORIOLE_5.jpg,VULTURINE_GUINEAFOWL_4.jpg,3,1,2,3,1,1
left.png,left.png,up.png,left.png,right.png,,,,,3,2
LESSER_ADJUTANT_5.jpg,RED_HEADED_WOODPECKER_1.jpg,CASPIAN_TERN_2.jpg,AMERICAN_GOLDFINCH_1.jpg,GAMBELS_QUAIL_1.jpg,3,1,2,3,1,3
OCELLATED_TURKEY_1.jpg,PURPLE_SWAMPHEN_4.jpg,GLOSSY_IBIS_2.jpg,CHIPPING_SPARROW_1.jpg,LARK_BUNTING_1.jpg,3,1,2,3,1,4
MCKAYS_BUNTING_3.jpg,IWI_2.jpg,PAINTED_BUNTING_1.jpg,EMU_4.jpg,AMERICAN_GOLDFINCH_4.jpg,2,1,3,2,1,5
GOLDEN_CHEEKED_WARBLER_2.jpg,WHITE_THROATED_BEE_EATER_1.jpg,SPOONBILL_1.jpg,DARJEELING_WOODPECKER_1.jpg,AMERICAN_FLAMINGO_3.jpg,1,3,2,3,2,6
MYNA_1.jpg,SANDHILL_CRANE_4.jpg,OSTRICH_2.jpg,PARADISE_TANAGER_3.jpg,GREY_PLOVER_4.jpg,1,3,2,1,1,7
OVENBIRD_5.jpg,FAIRY_PENGUIN_1.jpg,JABIRU_4.jpg,PURPLE_FINCH_5.jpg,ABBOTTS_BOOBY_2.jpg,1,3,2,2,3,8
NICOBAR_PIGEON_1.jpg,MYNA_4.jpg,EASTERN_BLUEBIRD_3.jpg,NORTHERN_MOCKINGBIRD_4.jpg,LITTLE_AUK_1.jpg,3,1,2,1,2,9
PARUS_MAJOR_1.jpg,COMMON_POORWILL_1.jpg,CALIFORNIA_GULL_2.jpg,OSTRICH_4.jpg,PINK_ROBIN_3.jpg,2,1,3,1,2,10
CRESTED_CARACARA_4.jpg,TOUCHAN_4.jpg,CREAM_COLORED_WOODPECKER_1.jpg,FAIRY_PENGUIN_5.jpg,BLUE_DACNIS_4.jpg,3,1,2,3,1,11
EASTERN_TOWEE_2.jpg,NORTHERN_BEARDLESS_TYRANNULET_5.jpg,GOLDEN_CHEEKED_WARBLER_1.jpg,SANDHILL_CRANE_2.jpg,HYACINTH_MACAW_4.jpg,3,1,2,3,1,12
RUBY_THROATED_HUMMINGBIRD_2.jpg,APAPANE_4.jpg,SCARLET_MACAW_3.jpg,GOLDEN_PARAKEET_2.jpg,DUSKY_ROBIN_5.jpg,2,1,3,2,1,13
BALI_STARLING_1.jpg,CAPE_LONGCLAW_5.jpg,PURPLE_FINCH_2.jpg,IBERIAN_MAGPIE_1.jpg,OSTRICH_5.jpg,2,3,1,1,3,14
IVORY_GULL_1.jpg,EASTERN_GOLDEN_WEAVER_5.jpg,FAIRY_TERN_4.jpg,WILSONS_BIRD_OF_PARADISE_4.jpg,RED_FODY_1.jpg,3,1,2,2,3,15
VERMILION_FLYCATHER_3.jpg,INDIAN_BUSTARD_1.jpg,RED_BEARDED_BEE_EATER_1.jpg,CROWNED_PIGEON_1.jpg,SATYR_TRAGOPAN_1.jpg,3,2,1,1,3,16
NORTHERN_JACANA_2.jpg,VULTURINE_GUINEAFOWL_5.jpg,CRAB_PLOVER_3.jpg,GREEN_BROADBILL_1.jpg,RED_FACED_CORMORANT_1.jpg,2,1,3,2,1,17
GREY_PLOVER_1.jpg,HYACINTH_MACAW_3.jpg,AMETHYST_WOODSTAR_4.jpg,TURKEY_VULTURE_1.jpg,GOULDIAN_FINCH_4.jpg,3,1,2,1,2,18
CRESTED_NUTHATCH_2.jpg,CANARY_1.jpg,AFRICAN_FIREFINCH_1.jpg,SCARLET_IBIS_3.jpg,VERMILION_FLYCATHER_4.jpg,2,1,3,3,3,19
WHITE_CHEEKED_TURACO_5.jpg,PYGMY_KINGFISHER_2.jpg,MALAGASY_WHITE_EYE_5.jpg,SNOWY_EGRET_1.jpg,CHINESE_POND_HERON_1.jpg,3,2,1,3,1,20
