target_image,target_match,option1,option2,option3,option1_layer,option2_layer,option3_layer,match_layer,correct_answer,trial_num
left.png,left.png,right.png,up.png,left.png,,,,,1,0
HAWAIIAN_GOOSE_4.jpg,HIMALAYAN_MONAL_2.jpg,RED_BEARDED_BEE_EATER_3.jpg,WATTLED_LAPWING_3.jpg,NORTHERN_GANNET_1.jpg,1,3,2,2,3,1
NICOBAR_PIGEON_1.jpg,MYNA_4.jpg,LITTLE_AUK_1.jpg,NORTHERN_MOCKINGBIRD_4.jpg,EASTERN_BLUEBIRD_3.jpg,2,1,3,1,2,2
RUBY_THROATED_HUMMINGBIRD_3.jpg,WHITE_CHEEKED_TURACO_4.jpg,MYNA_5.jpg,MALABAR_HORNBILL_5.jpg,NORTHERN_SHOVELER_1.jpg,2,1,3,1,2,3
ALPINE_CHOUGH_4.jpg,BOBOLINK_3.jpg,SNOWY_EGRET_2.jpg,UMBRELLA_BIRD_1.jpg,EUROPEAN_GOLDFINCH_3.jpg,1,3,2,3,2,4
ECUADORIAN_HILLSTAR_5.jpg,CRIMSON_SUNBIRD_5.jpg,BOBOLINK_5.jpg,GREEN_BROADBILL_4.jpg,SCARLET_IBIS_2.jpg,2,3,1,3,2,5
GOLDEN_CHLOROPHONIA_5.jpg,COMMON_HOUSE_MARTIN_4.jpg,INLAND_DOTTEREL_5.jpg,VERMILION_FLYCATHER_5.jpg,ROADRUNNER_2.jpg,2,3,1,2,1,6
NORTHERN_JACANA_3.jpg,BAR-TAILED_GODWIT_3.jpg,REGENT_BOWERBIRD_5.jpg,BANANAQUIT_3.jpg,SHORT_BILLED_DOWITCHER_5.jpg,2,1,3,3,3,7
KILLDEAR_2.jpg,AZURE_TIT_5.jpg,WHITE_TAILED_TROPIC_2.jpg,ALEXANDRINE_PARAKEET_5.jpg,CAATINGA_CACHOLOTE_4.jpg,3,1,2,3,1,8
right.png,right.png,left.png,up.png,right.png,,,,,1,9
PARUS_MAJOR_1.jpg,CALIFORNIA_GULL_2.jpg,BLACK_SWAN_4.jpg,COMMON_POORWILL_1.jpg,PINK_ROBIN_3.jpg,2,1,3,2,1,10
left.png,left.png,left.png,right.png,up.png,,,,,2,11
MALACHITE_KINGFISHER_2.jpg,SKUA_3.jpg,GREEN_BROADBILL_5.jpg,GANG_GANG_COCKATOO_4.jpg,INCA_TERN_2.jpg,3,1,2,1,2,12
