target_image,target_match,option1,option2,option3,option1_layer,option2_layer,option3_layer,match_layer,correct_answer,trial_num
PEACOCK_3.jpg,ANIANIAU_2.jpg,IBERIAN_MAGPIE_2.jpg,ANDEAN_SISKIN_5.jpg,STRAWBERRY_FINCH_4.jpg,3,1,2,1,2,0
EUROPEAN_TURTLE_DOVE_3.jpg,MALABAR_HORNBILL_2.jpg,PAINTED_BUNTING_3.jpg,TEAL_DUCK_2.jpg,BROWN_THRASHER_2.jpg,2,1,3,3,3,1
CRESTED_CARACARA_4.jpg,FAIRY_PENGUIN_5.jpg,BLUE_DACNIS_4.jpg,TOUCHAN_4.jpg,CRAB_PLOVER_5.jpg,2,3,1,1,3,2
SCARLET_TANAGER_2.jpg,LITTLE_AUK_3.jpg,CARMINE_BEE-EATER_1.jpg,CALIFORNIA_QUAIL_5.jpg,BORNEAN_LEAFBIRD_1.jpg,1,2,3,2,2,3
VERMILION_FLYCATHER_3.jpg,CROWNED_PIGEON_1.jpg,INDIAN_BUSTARD_1.jpg,LITTLE_AUK_4.jpg,RED_BEARDED_BEE_EATER_1.jpg,1,2,3,2,2,4
CHUKAR_PARTRIDGE_5.jpg,OSTRICH_3.jpg,BLACK_THROATED_BUSHTIT_1.jpg,RAZORBILL_1.jpg,EMU_1.jpg,3,2,1,1,3,5
ECUADORIAN_HILLSTAR_5.jpg,CRIMSON_SUNBIRD_5.jpg,GREEN_BROADBILL_4.jpg,BOBOLINK_5.jpg,SCARLET_IBIS_2.jpg,3,2,1,3,1,6
FLAME_BOWERBIRD_3.jpg,BROWN_THRASHER_4.jpg,BLACK_THROATED_WARBLER_4.jpg,QUETZAL_3.jpg,INDIAN_BUSTARD_2.jpg,2,3,1,2,1,7
left.png,left.png,left.png,right.png,up.png,,,,,2,8
AFRICAN_PIED_HORNBILL_5.jpg,CAPUCHINBIRD_2.jpg,ECUADORIAN_HILLSTAR_3.jpg,ALEXANDRINE_PARAKEET_1.jpg,KIWI_4.jpg,3,2,1,3,1,9
