target_image,target_match,option1,option2,option3,option1_layer,option2_layer,option3_layer,match_layer,correct_answer,trial_num
LITTLE_AUK_5.jpg,ORANGE_BRESTED_BUNTING_3.jpg,SANDHILL_CRANE_3.jpg,LILAC_ROLLER_5.jpg,BEARDED_BELLBIRD_1.jpg,1,2,3,2,2,0
MYNA_1.jpg,PARADISE_TANAGER_3.jpg,GREY_PLOVER_4.jpg,SANDHILL_CRANE_4.jpg,INDIGO_BUNTING_2.jpg,2,1,3,3,3,1
MCKAYS_BUNTING_3.jpg,IWI_2.jpg,AMERICAN_GOLDFINCH_4.jpg,PAINTED_BUNTING_1.jpg,EMU_4.jpg,3,2,1,2,2,2
OCELLATED_TURKEY_1.jpg,PURPLE_SWAMPHEN_4.jpg,LARK_BUNTING_1.jpg,CHIPPING_SPARROW_1.jpg,GLOSSY_IBIS_2.jpg,2,1,3,3,3,3
right.png,right.png,left.png,up.png,right.png,,,,,1,4
SCARLET_TANAGER_2.jpg,CARMINE_BEE-EATER_1.jpg,BIRD_OF_PARADISE_3.jpg,LITTLE_AUK_3.jpg,BORNEAN_LEAFBIRD_1.jpg,1,2,3,1,1,5
KAGU_5.jpg,EASTERN_MEADOWLARK_1.jpg,ASHY_STORM_PETREL_1.jpg,IMPERIAL_SHAQ_2.jpg,BANANAQUIT_2.jpg,2,3,1,1,3,6
INLAND_DOTTEREL_4.jpg,JANDAYA_PARAKEET_5.jpg,NICOBAR_PIGEON_4.jpg,CRESTED_KINGFISHER_1.jpg,CALIFORNIA_CONDOR_4.jpg,2,3,1,1,3,7
ECUADORIAN_HILLSTAR_5.jpg,BOBOLINK_5.jpg,CASSOWARY_2.jpg,CRIMSON_SUNBIRD_5.jpg,SCARLET_IBIS_2.jpg,2,3,1,2,1,8
PYGMY_KINGFISHER_5.jpg,NORTHERN_PARULA_5.jpg,GRANDALA_2.jpg,GREAT_POTOO_3.jpg,BLUE_THROATED_TOUCANET_3.jpg,1,2,3,3,3,9
