target_image,target_match,option1,option2,option3,option1_layer,option2_layer,option3_layer,match_layer,correct_answer,trial_num
MAGPIE_GOOSE_5.jpg,DOUBLE_EYED_FIG_PARROT_5.jpg,OYSTER_CATCHER_3.jpg,MALAGASY_WHITE_EYE_1.jpg,HAMERKOP_1.jpg,3,1,2,1,2,0
WHITE_CHEEKED_TURACO_5.jpg,PYGMY_KINGFISHER_2.jpg,CHINESE_POND_HERON_1.jpg,SNOWY_EGRET_1.jpg,MALAGASY_WHITE_EYE_5.jpg,1,2,3,3,3,1
GOLDEN_CHLOROPHONIA_5.jpg,COMMON_HOUSE_MARTIN_4.jpg,ROADRUNNER_2.jpg,INLAND_DOTTEREL_5.jpg,VERMILION_FLYCATHER_5.jpg,1,2,3,2,2,2
CASSOWARY_1.jpg,DEMOISELLE_CRANE_1.jpg,WHITE_NECKED_RAVEN_5.jpg,SCARLET_MACAW_1.jpg,ROSY_FACED_LOVEBIRD_4.jpg,3,2,1,3,1,3
RED_FACED_WARBLER_1.jpg,EMU_5.jpg,SPOONBILL_4.jpg,CAPE_GLOSSY_STARLING_2.jpg,BLACK_VENTED_SHEARWATER_4.jpg,1,3,2,1,1,4
right.png,right.png,left.png,right.png,up.png,,,,,1,5
left.png,left.png,up.png,left.png,right.png,,,,,3,6
AMERICAN_PIPIT_5.jpg,EMU_2.jpg,GREEN_MAGPIE_1.jpg,PEACOCK_2.jpg,HEPATIC_TANAGER_5.jpg,2,1,3,1,2,7
BREWERS_BLACKBIRD_3.jpg,GOLDEN_CHEEKED_WARBLER_3.jpg,CAPE_LONGCLAW_2.jpg,PEACOCK_4.jpg,AMERICAN_AVOCET_5.jpg,3,1,2,2,3,8
SKUA_4.jpg,ROADRUNNER_5.jpg,SNOWY_EGRET_5.jpg,PARUS_MAJOR_2.jpg,AMERICAN_WIGEON_2.jpg,1,2,3,3,3,9
EASTERN_TOWEE_2.jpg,SANDHILL_CRANE_2.jpg,NORTHERN_BEARDLESS_TYRANNULET_5.jpg,HYACINTH_MACAW_4.jpg,BLUE_HERON_3.jpg,3,2,1,1,3,10
PARUS_MAJOR_1.jpg,COMMON_POORWILL_1.jpg,PINK_ROBIN_3.jpg,OSTRICH_4.jpg,CALIFORNIA_GULL_2.jpg,3,1,2,1,2,11
NORTHERN_GANNET_2.jpg,PAINTED_BUNTING_5.jpg,MASKED_BOOBY_5.jpg,STRAWBERRY_FINCH_1.jpg,EASTERN_TOWEE_1.jpg,3,2,1,1,3,12
PINK_ROBIN_4.jpg,ALBATROSS_4.jpg,SPOONBILL_3.jpg,JACK_SNIPE_5.jpg,COMMON_IORA_4.jpg,1,2,3,2,2,13
left.png,left.png,up.png,left.png,right.png,,,,,3,14
