target_image,target_match,option1,option2,option3,option1_layer,option2_layer,option3_layer,match_layer,correct_answer,trial_num
RED_HEADED_WOODPECKER_5.jpg,COLLARED_ARACARI_1.jpg,CRIMSON_CHAT_3.jpg,GREAT_GRAY_OWL_5.jpg,BLACKBURNIAM_WARBLER_4.jpg,2,1,3,3,3,0
GREY_PLOVER_1.jpg,HYACINTH_MACAW_3.jpg,GOULDIAN_FINCH_4.jpg,TURKEY_VULTURE_1.jpg,AMETHYST_WOODSTAR_4.jpg,2,1,3,1,2,1
VERMILION_FLYCATHER_3.jpg,INDIAN_BUSTARD_1.jpg,SATYR_TRAGOPAN_1.jpg,RED_BEARDED_BEE_EATER_1.jpg,CROWNED_PIGEON_1.jpg,1,3,2,1,1,2
PEACOCK_3.jpg,IBERIAN_MAGPIE_2.jpg,CHATTERING_LORY_3.jpg,STRAWBERRY_FINCH_4.jpg,ANIANIAU_2.jpg,3,2,1,3,1,3
PINK_ROBIN_4.jpg,SPOONBILL_3.jpg,ALBATROSS_4.jpg,BEARDED_BARBET_2.jpg,COMMON_IORA_4.jpg,2,1,3,1,2,4
left.png,left.png,left.png,right.png,up.png,,,,,2,5
AFRICAN_PIED_HORNBILL_5.jpg,CAPUCHINBIRD_2.jpg,KIWI_4.jpg,ALEXANDRINE_PARAKEET_1.jpg,ECUADORIAN_HILLSTAR_3.jpg,1,2,3,3,3,6
FLAME_BOWERBIRD_3.jpg,BROWN_THRASHER_4.jpg,INDIAN_BUSTARD_2.jpg,BLACK_THROATED_WARBLER_4.jpg,QUETZAL_3.jpg,1,2,3,2,2,7
GILA_WOODPECKER_3.jpg,SNOWY_OWL_4.jpg,BLACK_VULTURE_3.jpg,ALEXANDRINE_PARAKEET_2.jpg,BLACK_SWAN_3.jpg,3,2,1,2,2,8
BROWN_THRASHER_3.jpg,OYSTER_CATCHER_4.jpg,DOUBLE_EYED_FIG_PARROT_3.jpg,BLACK_BAZA_4.jpg,RED_HEADED_WOODPECKER_2.jpg,1,3,2,2,3,9
