image1,image2,level_0,level_1,level_2,level_3,level_4,level_5,level_6,distractor_level
AFRICAN_PIED_HORNBILL_5.jpg,KIWI_4.jpg,0.36913478,0.29910013,0.20669276,0.13278688,0.10035901,0.19619532,0.1660152,0
AFRICAN_PIED_HORNBILL_5.jpg,ALEXANDRINE_PARAKEET_1.jpg,0.2540563,0.24384555,0.18026553,0.1822733,0.19179171,0.1670981,0.17480528,1
AFRICAN_PIED_HORNBILL_5.jpg,CAPUCHINBIRD_2.jpg,0.2095746,0.24947706,0.18388735,0.15552941,0.18413089,0.3389798,0.42399856,2
ALPINE_CHOUGH_4.jpg,SNOWY_EGRET_2.jpg,0.3576014,0.28374484,0.1947412,0.13559265,0.14316118,0.14234234,0.07719381,0
ALPINE_CHOUGH_4.jpg,EUROPEAN_GOLDFINCH_3.jpg,0.26935956,0.29158372,0.2542045,0.26636666,0.2709638,0.25007552,0.2143314,1
ALPINE_CHOUGH_4.jpg,BOBOLINK_3.jpg,0.26736212,0.25833672,0.20078567,0.14521441,0.12947434,0.40994018,0.47414377,2
AMERICAN_PIPIT_5.jpg,EMU_2.jpg,0.40745708,0.30596837,0.2161453,0.13791241,0.101841226,0.10963746,0.07728376,0
AMERICAN_PIPIT_5.jpg,GREEN_MAGPIE_1.jpg,0.30819008,0.31305265,0.24377683,0.26594347,0.19049758,0.17182289,0.12191379,1
AMERICAN_PIPIT_5.jpg,HEPATIC_TANAGER_5.jpg,0.2707105,0.27187318,0.18482158,0.14720969,0.27637905,0.42684558,0.4718565,2
ARARIPE_MANAKIN_4.jpg,KIWI_3.jpg,0.37169966,0.27673334,0.18639748,0.11603026,0.09285064,0.1451938,0.14326932,0
ARARIPE_MANAKIN_4.jpg,BLACK_VULTURE_1.jpg,0.2845315,0.2654267,0.20841517,0.19969402,0.2287591,0.1861388,0.17021777,1
ARARIPE_MANAKIN_4.jpg,BORNEAN_LEAFBIRD_3.jpg,0.23846029,0.24577671,0.1823959,0.14965054,0.15349492,0.44692504,0.4773267,2
ASIAN_CRESTED_IBIS_4.jpg,CANARY_2.jpg,0.59122396,0.35413384,0.21957049,0.1342885,0.13640891,0.18264744,0.123265184,0
ASIAN_CRESTED_IBIS_4.jpg,OYSTER_CATCHER_2.jpg,0.28759414,0.3045876,0.24252382,0.24490976,0.32077804,0.32538313,0.28658593,1
ASIAN_CRESTED_IBIS_4.jpg,IVORY_GULL_2.jpg,0.28689182,0.30364135,0.1826832,0.1434381,0.2691005,0.37857437,0.40811306,2
ALBATROSS_2.jpg,ASIAN_DOLLARD_BIRD_2.jpg,0.3846234,0.31494153,0.2056129,0.11297603,0.09501488,0.16672216,0.15619126,0
ASIAN_DOLLARD_BIRD_2.jpg,LOGGERHEAD_SHRIKE_4.jpg,0.31651318,0.32897136,0.2768264,0.26718158,0.36814824,0.33556607,0.26855153,1
ASIAN_DOLLARD_BIRD_2.jpg,VIOLET_GREEN_SWALLOW_4.jpg,0.25279716,0.26265398,0.1768237,0.14789169,0.29927397,0.4606972,0.47910267,2
