target_image,layer1,layer2,layer3
AFRICAN_PIED_HORNBILL_5.jpg,KIWI_4.jpg,ALEXANDRINE_PARAKEET_1.jpg,CAPUCHINBIRD_2.jpg
ALPINE_CHOUGH_4.jpg,SNOWY_EGRET_2.jpg,EUROPEAN_GOLDFINCH_3.jpg,BOBOLINK_3.jpg
AMERICAN_PIPIT_5.jpg,EMU_2.jpg,GREEN_MAGPIE_1.jpg,HEPATIC_TANAGER_5.jpg
ARARIPE_MANAKIN_4.jpg,KIWI_3.jpg,BLACK_VULTURE_1.jpg,BORNEAN_LEAFBIRD_3.jpg
ASIAN_CRESTED_IBIS_4.jpg,CANARY_2.jpg,OYSTER_CATCHER_2.jpg,IVORY_GULL_2.jpg
ASIAN_DOLLARD_BIRD_2.jpg,ALBATROSS_2.jpg,LOGGERHEAD_SHRIKE_4.jpg,VIOLET_GREEN_SWALLOW_4.jpg
BALI_STARLING_1.jpg,CAPE_LONGCLAW_5.jpg,PURPLE_FINCH_2.jpg,IBERIAN_MAGPIE_1.jpg
BREWERS_BLACKBIRD_3.jpg,GUINEA_TURACO_3.jpg,GOLDEN_CHEEKED_WARBLER_3.jpg,CAPE_LONGCLAW_2.jpg
BROWN_NOODY_3.jpg,PEACOCK_2.jpg,SPANGLED_COTINGA_4.jpg,GUINEA_TURACO_5.jpg
BROWN_THRASHER_3.jpg,DOUBLE_EYED_FIG_PARROT_3.jpg,OYSTER_CATCHER_4.jpg,BLACK_BAZA_4.jpg
CASPIAN_TERN_1.jpg,GREAT_GRAY_OWL_4.jpg,EUROPEAN_GOLDFINCH_4.jpg,COMMON_LOON_2.jpg
CASSOWARY_1.jpg,ROSY_FACED_LOVEBIRD_4.jpg,SCARLET_MACAW_1.jpg,AFRICAN_OYSTER_CATCHER_2.jpg
CERULEAN_WARBLER_1.jpg,AMERICAN_FLAMINGO_2.jpg,AMERICAN_FLAMINGO_5.jpg,BANANAQUIT_1.jpg
CHUKAR_PARTRIDGE_5.jpg,OSTRICH_5.jpg,RAZORBILL_1.jpg,BLACK_THROATED_BUSHTIT_1.jpg
CRESTED_CARACARA_4.jpg,FAIRY_PENGUIN_5.jpg,INDIAN_PITTA_2.jpg,TOUCHAN_4.jpg
CRESTED_NUTHATCH_2.jpg,SCARLET_IBIS_3.jpg,AFRICAN_FIREFINCH_1.jpg,CANARY_1.jpg
DOUBLE_BRESTED_CORMARANT_5.jpg,GILDED_FLICKER_2.jpg,EURASIAN_MAGPIE_4.jpg,CHINESE_POND_HERON_2.jpg
EASTERN_TOWEE_2.jpg,SANDHILL_CRANE_2.jpg,GOLDEN_CHLOROPHONIA_1.jpg,NORTHERN_BEARDLESS_TYRANNULET_5.jpg
ECUADORIAN_HILLSTAR_5.jpg,SCARLET_IBIS_2.jpg,BOBOLINK_5.jpg,CRIMSON_SUNBIRD_5.jpg
EUROPEAN_TURTLE_DOVE_3.jpg,TEAL_DUCK_2.jpg,PAINTED_BUNTING_3.jpg,MALABAR_HORNBILL_2.jpg
FLAME_BOWERBIRD_3.jpg,INDIAN_BUSTARD_2.jpg,BROWN_THRASHER_4.jpg,QUETZAL_3.jpg
