,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,demo_loop.thisRepN,demo_loop.thisTrialN,demo_loop.thisN,demo_loop.thisIndex,demo_loop.ran,target_image,target_match,option1,option2,option3,option1_layer,option2_layer,option3_layer,match_layer,correct_answer,trial_num,subject
0,1.0,1.0,7.9734,0.0,0.0,0.0,0.0,1.0,INCA_TERN_4.jpg,BORNEAN_BRISTLEHEAD_5.jpg,WHITE_NECKED_RAVEN_4.jpg,SMITHS_LONGSPUR_5.jpg,ELLIOTS__PHEASANT_4.jpg,3.0,2.0,1.0,3.0,1.0,0.0,A3QPVH0DRW0ZQV
1,1.0,1.0,3.3902,0.0,1.0,1.0,1.0,1.0,GILA_WOODPECKER_3.jpg,SNOWY_OWL_4.jpg,ALEXANDRINE_PARAKEET_2.jpg,BLACK_SWAN_3.jpg,BLACK_VULTURE_3.jpg,2.0,1.0,3.0,2.0,1.0,1.0,A3QPVH0DRW0ZQV
2,3.0,1.0,2.8329,0.0,2.0,2.0,2.0,1.0,STRIPPED_SWALLOW_1.jpg,GO_AWAY_BIRD_5.jpg,MAGPIE_GOOSE_4.jpg,EMPEROR_PENGUIN_5.jpg,WHITE_THROATED_BEE_EATER_5.jpg,2.0,1.0,3.0,3.0,3.0,2.0,A3QPVH0DRW0ZQV
3,2.0,1.0,2.096,0.0,3.0,3.0,3.0,1.0,ASIAN_CRESTED_IBIS_4.jpg,CANARY_2.jpg,OYSTER_CATCHER_2.jpg,GREAT_JACAMAR_4.jpg,IVORY_GULL_2.jpg,2.0,1.0,3.0,1.0,2.0,3.0,A3QPVH0DRW0ZQV
4,3.0,1.0,1.554,0.0,4.0,4.0,4.0,1.0,PYGMY_KINGFISHER_5.jpg,GREAT_POTOO_3.jpg,GRANDALA_2.jpg,NORTHERN_PARULA_5.jpg,OYSTER_CATCHER_5.jpg,1.0,3.0,2.0,2.0,3.0,4.0,A3QPVH0DRW0ZQV
5,2.0,1.0,3.6461,0.0,5.0,5.0,5.0,1.0,left.png,left.png,up.png,right.png,left.png,,,,,2.0,5.0,A3QPVH0DRW0ZQV
6,2.0,1.0,3.2595,0.0,6.0,6.0,6.0,1.0,LITTLE_AUK_5.jpg,SANDHILL_CRANE_3.jpg,BEARDED_BELLBIRD_1.jpg,SCARLET_IBIS_1.jpg,ORANGE_BRESTED_BUNTING_3.jpg,3.0,1.0,2.0,1.0,2.0,6.0,A3QPVH0DRW0ZQV
7,2.0,1.0,0.6199,0.0,7.0,7.0,7.0,1.0,MYNA_1.jpg,PARADISE_TANAGER_3.jpg,SANDHILL_CRANE_4.jpg,INDIGO_BUNTING_2.jpg,GREY_PLOVER_4.jpg,1.0,3.0,2.0,3.0,2.0,7.0,A3QPVH0DRW0ZQV
8,1.0,1.0,0.954,0.0,8.0,8.0,8.0,1.0,EASTERN_TOWEE_2.jpg,SANDHILL_CRANE_2.jpg,BLUE_HERON_3.jpg,NORTHERN_BEARDLESS_TYRANNULET_5.jpg,HYACINTH_MACAW_4.jpg,1.0,3.0,2.0,1.0,1.0,8.0,A3QPVH0DRW0ZQV
9,2.0,1.0,0.8886,0.0,9.0,9.0,9.0,1.0,RED_FACED_WARBLER_1.jpg,BLACK_VENTED_SHEARWATER_4.jpg,CAPE_GLOSSY_STARLING_2.jpg,COMMON_LOON_4.jpg,EMU_5.jpg,3.0,2.0,1.0,2.0,2.0,9.0,A3QPVH0DRW0ZQV
10,2.0,1.0,11.815,0.0,0.0,0.0,0.0,1.0,CHUKAR_PARTRIDGE_5.jpg,OSTRICH_3.jpg,BLACK_THROATED_BUSHTIT_1.jpg,EMU_1.jpg,RAZORBILL_1.jpg,3.0,1.0,2.0,1.0,2.0,0.0,AWWBF2RVU8HNM
11,3.0,0.0,11.464,0.0,1.0,1.0,1.0,1.0,OCELLATED_TURKEY_1.jpg,PURPLE_SWAMPHEN_4.jpg,GLOSSY_IBIS_2.jpg,CHIPPING_SPARROW_1.jpg,LARK_BUNTING_1.jpg,3.0,1.0,2.0,3.0,1.0,1.0,AWWBF2RVU8HNM
12,1.0,0.0,8.356,0.0,2.0,2.0,2.0,1.0,BALI_STARLING_1.jpg,IBERIAN_MAGPIE_1.jpg,PURPLE_FINCH_2.jpg,GRANDALA_5.jpg,CAPE_LONGCLAW_5.jpg,2.0,3.0,1.0,3.0,2.0,2.0,AWWBF2RVU8HNM
13,3.0,1.0,5.601,0.0,3.0,3.0,3.0,1.0,left.png,left.png,left.png,up.png,right.png,,,,,3.0,3.0,AWWBF2RVU8HNM
