target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,selected_dist,distractor_level,category,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,key_resp.keys,key_resp.started,key_resp.stopped,text_consent_form.started,text_consent_form.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_instructions_first_slide.started,text_instructions_first_slide.stopped,image_0_demo.started,image_0_demo.stopped,image_1_demo.started,image_1_demo.stopped,image_2_demo.started,image_2_demo.stopped,image_3_demo.started,image_3_demo.stopped,image_4_demo.started,image_4_demo.stopped,image_5_demo.started,image_5_demo.stopped,blank_screen_demo.started,blank_screen_demo.stopped,fixation_demo.started,fixation_demo.stopped,image_left_demo.started,image_left_demo.stopped,image_right_demo.started,image_right_demo.stopped,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_test_key_resp.started,demo_test_key_resp.stopped,text_4.started,text_4.stopped,key_resp_after_demo.keys,key_resp_after_demo.rt,key_resp_after_demo.started,key_resp_after_demo.stopped,text_after_demo_instr.started,text_after_demo_instr.stopped,image_0.started,image_0.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,blank_screen.started,blank_screen.stopped,fixation_encoding.started,fixation_encoding.stopped,image_left.started,image_left.stopped,image_right.started,image_right.stopped,test_key_resp.keys,test_key_resp.rt,test_key_resp.started,test_key_resp.stopped,text_6.started,text_6.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_left_part2.started,image_left_part2.stopped,image_right_part2.started,image_right_part2.stopped,slider_part2.response,slider_part2.rt,slider_part2.started,slider_part2.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,None,10.704540667000401,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eden,001,2023_Jun_14_1153,working,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.704540667000401,None,10.704540667000401,None,1,[5.760434874995553],[5.760439124998811],space,21.661240041001292,16.465045666998776,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eden,001,2023_Jun_14_1153,working,2021.2.3,None,
flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,16.465045666998776,None,38.71986041699711,38.91932874999475,38.907847624999704,39.10207387499395,39.107793541996216,39.29872912499559,39.3198343749973,39.508814999993774,39.508814999993774,39.70490974999848,39.712248833995545,39.90216999999393,39.90784591699776,None,38.241756416995486,38.73665916699974,40.86683641700074,None,40.86683641700074,None,right,2.012809332998586,40.86683641700074,None,40.86683641700074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eden,001,2023_Jun_14_1153,working,2021.2.3,None,
leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,43.41352512499725,43.60588941699825,43.61118495899427,43.80635999999504,43.81161370899645,44.00179558399395,44.0210208339995,44.216576499995426,44.216576499995426,44.404117083999154,44.41734887499479,44.61645766699803,44.62056408399803,None,42.95294479199947,43.4484199590006,45.620926333998796,None,45.620926333998796,None,left,1.230200625002908,45.620926333998796,None,45.620926333998796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eden,001,2023_Jun_14_1153,working,2021.2.3,None,
fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,47.38219545899483,47.580996999997296,47.58639558399591,47.787804333995155,47.787804333995155,47.987433374997636,47.987433374997636,48.18711795899435,48.18711795899435,48.38391216699529,48.38391216699529,48.58024812499934,48.58663808399433,None,46.90045537499827,47.39817233399663,49.581746208998084,None,49.581746208998084,None,left,0.8203495420020772,49.581746208998084,None,49.581746208998084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eden,001,2023_Jun_14_1153,working,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,14.8374773750038,50.429094249993796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eden,001,2023_Jun_14_1153,working,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.429094249993796,None,289.64921091699944,289.84513958399475,289.8504272919963,290.0508651669952,290.0508651669952,290.25141458399594,290.25141458399594,290.4474433340001,290.4534404169972,290.65257945899793,290.65257945899793,290.8544442919956,290.8544442919956,None,289.1709005839948,289.6681922919961,291.85089683399565,None,291.85089683399565,None,left,0.28575525000633206,291.85089683399565,None,291.85089683399565,None,292.1445139589996,None,space,66.02992566600005,292.1445139589996,None,,,,,,,,,,,,,,,,,eden,001,2023_Jun_14_1153,working,2021.2.3,None,
badlands_113.jpg,badlands_113.jpg,badlands_225.jpg,left,mountain_151.jpg,highway_76.jpg,badlands_113.jpg,golf_course_221.jpg,bridge_136.jpg,playground_153.jpg,2,badlands_225.jpg,0,badlands,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.2413722499987,None,358.2413722499987,None,5.032586558044806,1.299682249999023,358.2413722499987,None,358.2413722499987,None,,,,,,,eden,001,2023_Jun_14_1153,working,2021.2.3,None,
badlands_222.jpg,badlands_222.jpg,badlands_34.jpg,left,highway_247.jpg,badlands_222.jpg,mountain_43.jpg,golf_course_333.jpg,bridge_142.jpg,playground_126.jpg,1,badlands_34.jpg,0,badlands,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.5502367089939,None,359.5502367089939,None,5.032586558044806,0.48586858300404856,359.5502367089939,None,359.5502367089939,None,,,,,,,eden,001,2023_Jun_14_1153,working,2021.2.3,None,
highway_359.jpg,highway_359.jpg,highway_379.jpg,left,mountain_268.jpg,badlands_180.jpg,bridge_96.jpg,highway_359.jpg,playground_191.jpg,golf_course_67.jpg,3,highway_379.jpg,1,highway,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0565354999999,None,360.0565354999999,None,5.032586558044806,0.35435091700492194,360.0565354999999,None,360.0565354999999,None,,,,,,,eden,001,2023_Jun_14_1153,working,2021.2.3,None,
