target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,selected_dist,distractor_level,category,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,key_resp.keys,key_resp.started,key_resp.stopped,text_consent_form.started,text_consent_form.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_instructions_first_slide.started,text_instructions_first_slide.stopped,image_0_demo.started,image_0_demo.stopped,image_1_demo.started,image_1_demo.stopped,image_2_demo.started,image_2_demo.stopped,image_3_demo.started,image_3_demo.stopped,image_4_demo.started,image_4_demo.stopped,image_5_demo.started,image_5_demo.stopped,blank_screen_demo.started,blank_screen_demo.stopped,fixation_demo.started,fixation_demo.stopped,image_left_demo.started,image_left_demo.stopped,image_right_demo.started,image_right_demo.stopped,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_test_key_resp.started,demo_test_key_resp.stopped,text_4.started,text_4.stopped,key_resp_after_demo.keys,key_resp_after_demo.rt,key_resp_after_demo.started,key_resp_after_demo.stopped,text_after_demo_instr.started,text_after_demo_instr.stopped,image_0.started,image_0.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,blank_screen.started,blank_screen.stopped,fixation_encoding.started,fixation_encoding.stopped,image_left.started,image_left.stopped,image_right.started,image_right.stopped,test_key_resp.keys,test_key_resp.rt,test_key_resp.started,test_key_resp.stopped,text_6.started,text_6.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_left_part2.started,image_left_part2.stopped,image_right_part2.started,image_right_part2.stopped,slider_part2.response,slider_part2.rt,slider_part2.started,slider_part2.stopped,text_5.started,text_5.stopped,key_resp_last_slide.keys,key_resp_last_slide.rt,key_resp_last_slide.started,key_resp_last_slide.stopped,text_last_slide.started,text_last_slide.stopped,ID,date,expName,psychopyVersion,frameRate,
mountain_222.jpg,mountain_244.jpg,mountain_222.jpg,right,mountain_222.jpg,playground_181.jpg,bridge_266.jpg,golf_course_176.jpg,badlands_156.jpg,highway_268.jpg,0,mountain_244.jpg,0,mountain,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.625165999998,None,246.625165999998,None,5.953156822810591,0.1290947499946924,246.625165999998,None,246.625165999998,None,,,,,,,0,2023_Jun_18_1347,working_memory,2021.2.3,None,
bridge_172.jpg,bridge_172.jpg,bridge_17.jpg,left,golf_course_171.jpg,highway_404.jpg,bridge_172.jpg,playground_83.jpg,mountain_309.jpg,badlands_157.jpg,2,bridge_17.jpg,0,bridge,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.77687345800223,None,246.77687345800223,None,5.953156822810591,0.11109912500251085,246.77687345800223,None,246.77687345800223,None,,,,,,,0,2023_Jun_18_1347,working_memory,2021.2.3,None,
playground_145.jpg,playground_242.jpg,playground_145.jpg,right,playground_145.jpg,highway_9.jpg,bridge_39.jpg,mountain_212.jpg,badlands_79.jpg,golf_course_241.jpg,0,playground_242.jpg,1,playground,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.91018012500717,None,246.91018012500717,None,5.953156822810591,0.10217795899370685,246.91018012500717,None,246.91018012500717,None,,,,,,,0,2023_Jun_18_1347,working_memory,2021.2.3,None,
highway_245.jpg,highway_245.jpg,highway_134.jpg,left,bridge_1.jpg,golf_course_338.jpg,playground_256.jpg,highway_245.jpg,badlands_46.jpg,mountain_166.jpg,3,highway_134.jpg,0,highway,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.033703041001,None,247.033703041001,None,5.953156822810591,0.10598966600082349,247.033703041001,None,247.033703041001,None,,,,,,,0,2023_Jun_18_1347,working_memory,2021.2.3,None,
mountain_293.jpg,mountain_293.jpg,mountain_47.jpg,left,badlands_183.jpg,golf_course_181.jpg,mountain_293.jpg,playground_222.jpg,bridge_173.jpg,highway_83.jpg,2,mountain_47.jpg,1,mountain,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.1615749580087,None,247.1615749580087,None,5.953156822810591,0.11866858298890293,247.1615749580087,None,247.1615749580087,None,,,,,,,0,2023_Jun_18_1347,working_memory,2021.2.3,None,
bridge_146.jpg,bridge_27.jpg,bridge_146.jpg,right,highway_269.jpg,bridge_146.jpg,golf_course_291.jpg,mountain_35.jpg,badlands_55.jpg,playground_195.jpg,1,bridge_27.jpg,0,bridge,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.30171270799474,None,247.30171270799474,None,5.953156822810591,0.1088159170030849,247.30171270799474,None,247.30171270799474,None,,,,,,,0,2023_Jun_18_1347,working_memory,2021.2.3,None,
playground_257.jpg,playground_257.jpg,playground_215.jpg,left,mountain_198.jpg,highway_15.jpg,badlands_80.jpg,golf_course_282.jpg,playground_257.jpg,bridge_62.jpg,4,playground_215.jpg,1,playground,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.43300070799887,None,247.43300070799887,None,5.953156822810591,0.10444533299596515,247.43300070799887,None,247.43300070799887,None,,,,,,,0,2023_Jun_18_1347,working_memory,2021.2.3,None,
mountain_230.jpg,mountain_230.jpg,mountain_97.jpg,left,golf_course_253.jpg,mountain_230.jpg,highway_81.jpg,playground_47.jpg,badlands_9.jpg,bridge_4.jpg,1,mountain_97.jpg,1,mountain,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.55872645799536,None,247.55872645799536,None,5.953156822810591,0.10352504201000556,247.55872645799536,None,247.55872645799536,None,,,,,,,0,2023_Jun_18_1347,working_memory,2021.2.3,None,
playground_10.jpg,playground_10.jpg,playground_122.jpg,left,highway_226.jpg,golf_course_33.jpg,mountain_38.jpg,playground_10.jpg,bridge_102.jpg,badlands_10.jpg,3,playground_122.jpg,0,playground,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.68588266600273,None,247.68588266600273,None,4.918533604887983,0.6597841250040801,247.68588266600273,None,247.68588266600273,None,,,,,,,0,2023_Jun_18_1347,working_memory,2021.2.3,None,
highway_177.jpg,highway_177.jpg,highway_278.jpg,left,golf_course_202.jpg,playground_14.jpg,highway_177.jpg,bridge_152.jpg,badlands_227.jpg,mountain_192.jpg,2,highway_278.jpg,1,highway,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.36706054100068,None,248.36706054100068,None,4.918533604887983,0.11323724999965634,248.36706054100068,None,248.36706054100068,None,,,,,,,0,2023_Jun_18_1347,working_memory,2021.2.3,None,
