target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,selected_dist,distractor_level,category,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,key_resp.keys,key_resp.started,key_resp.stopped,text_consent_form.started,text_consent_form.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_instructions_first_slide.started,text_instructions_first_slide.stopped,image_0_demo.started,image_0_demo.stopped,image_1_demo.started,image_1_demo.stopped,image_2_demo.started,image_2_demo.stopped,image_3_demo.started,image_3_demo.stopped,image_4_demo.started,image_4_demo.stopped,image_5_demo.started,image_5_demo.stopped,blank_screen_demo.started,blank_screen_demo.stopped,fixation_demo.started,fixation_demo.stopped,image_left_demo.started,image_left_demo.stopped,image_right_demo.started,image_right_demo.stopped,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_test_key_resp.started,demo_test_key_resp.stopped,text_4.started,text_4.stopped,key_resp_after_demo.keys,key_resp_after_demo.rt,key_resp_after_demo.started,key_resp_after_demo.stopped,text_after_demo_instr.started,text_after_demo_instr.stopped,image_0.started,image_0.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,blank_screen.started,blank_screen.stopped,fixation_encoding.started,fixation_encoding.stopped,image_left.started,image_left.stopped,image_right.started,image_right.stopped,test_key_resp.keys,test_key_resp.rt,test_key_resp.started,test_key_resp.stopped,text_6.started,text_6.stopped,ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,None,13.332123708998552,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2023_Jun_18_1456,working_memory,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,13.332123708998552,None,13.332123708998552,None,1,[1.4941465000010794],[1.4941492499929154],space,0.6681505839951569,14.820201458991505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2023_Jun_18_1456,working_memory,2021.2.3,None,
flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,14.820201458991505,None,16.072339666992775,16.26375937499688,16.269773833992076,16.46102004199929,16.475637916999403,16.672926083992934,16.67836537498806,16.873342374994536,16.873342374994536,17.07222354199621,17.07222354199621,17.274316124996403,17.274316124996403,None,15.592268791995593,16.089003624991165,18.227587791989208,None,18.227587791989208,None,left,1.5196624579984928,18.227587791989208,None,18.227587791989208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2023_Jun_18_1456,working_memory,2021.2.3,None,
leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,20.27578895899933,20.46869829199568,20.46869829199568,20.655986708996352,20.673399541992694,20.8731227919925,20.878570583998226,21.078146124986233,21.078146124986233,21.264474583993433,21.278389833998517,21.464929833993665,21.47844645899022,None,19.813903624992236,20.30990816699341,22.478139041995746,None,22.478139041995746,None,left,1.2369427499943413,22.478139041995746,None,22.478139041995746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2023_Jun_18_1456,working_memory,2021.2.3,None,
fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,24.252474749999237,24.445975833994453,24.466361333994428,24.65171854199434,24.65171854199434,24.848976124994806,24.85416679199261,25.055760624993127,25.055760624993127,25.251217624987476,25.256919333987753,25.44303187499463,25.462681249991874,None,23.776476374987396,24.268829166991054,26.45497212499322,None,26.45497212499322,None,right,2.3954717080050614,26.45497212499322,None,26.45497212499322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2023_Jun_18_1456,working_memory,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.182392667004024,28.861525291998987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2023_Jun_18_1456,working_memory,2021.2.3,None,
badlands_113.jpg,badlands_113.jpg,badlands_225.jpg,left,mountain_151.jpg,highway_76.jpg,badlands_113.jpg,golf_course_221.jpg,bridge_136.jpg,playground_153.jpg,2,badlands_225.jpg,0,badlands,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.861525291998987,None,33.61503549999907,34.414215958997374,34.414215958997374,35.202298624994,35.21526733398787,36.01299795899831,36.01299795899831,36.81536112498725,36.81536112498725,37.613451833996805,37.707892416990944,38.50726762499835,38.51391899998998,None,33.13839008398645,33.63801849998708,39.48603466698842,None,39.48603466698842,None,left,3.0426271250034915,39.48603466698842,None,39.48603466698842,None,9,2023_Jun_18_1456,working_memory,2021.2.3,None,
badlands_222.jpg,badlands_222.jpg,badlands_34.jpg,left,highway_247.jpg,badlands_222.jpg,mountain_43.jpg,golf_course_333.jpg,bridge_142.jpg,playground_126.jpg,1,badlands_34.jpg,0,badlands,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.07538849998673,43.86601516699011,43.8799552499986,44.677178458994604,44.677178458994604,45.476356249986566,45.476356249986566,46.26720179199765,46.273107541986974,47.06501045898767,47.17854674998671,47.977678624985856,47.977678624985856,None,42.595818499990855,43.09210808399075,48.97087470898987,None,48.97087470898987,None,left,1.6801269169955049,48.97087470898987,None,48.97087470898987,None,9,2023_Jun_18_1456,working_memory,2021.2.3,None,
highway_359.jpg,highway_359.jpg,highway_379.jpg,left,mountain_268.jpg,badlands_180.jpg,bridge_96.jpg,highway_359.jpg,playground_191.jpg,golf_course_67.jpg,3,highway_379.jpg,1,highway,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.201691583992215,51.989290958998026,52.002480208990164,52.79276199999731,52.79276199999731,53.5924303339998,53.5924303339998,54.38431599999603,54.403853999989224,55.19124612498854,55.30454674999055,56.09463241699268,56.09463241699268,None,50.7170786249917,51.20606862498971,57.09585491698817,None,57.09585491698817,None,left,2.07492345799983,57.09585491698817,None,57.09585491698817,None,9,2023_Jun_18_1456,working_memory,2021.2.3,None,
mountain_222.jpg,mountain_244.jpg,mountain_222.jpg,right,mountain_222.jpg,playground_181.jpg,bridge_266.jpg,golf_course_176.jpg,badlands_156.jpg,highway_268.jpg,0,mountain_244.jpg,0,mountain,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.711859249990084,60.51118762498663,60.51118762498663,61.29790866699477,61.31673974999285,62.106398749994696,62.119371499997214,62.9070951249887,62.9070951249887,63.69813020899892,63.81164266698761,64.60088658399764,64.62226220899902,None,59.23493337498803,59.731642499988084,65.60620374999417,None,65.60620374999417,None,right,5.35587008400762,65.60620374999417,None,65.60620374999417,None,9,2023_Jun_18_1456,working_memory,2021.2.3,None,
