,index,test_encoding_response.keys,test_encoding_response.corr,trials.thisTrialN,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,subject
45,65,,1.0,45.0,BROWN_NOODY_3.jpg,SPANGLED_COTINGA_4.jpg,2.0,,,,A37R0JYAB3QEX9
46,66,,1.0,46.0,ALPINE_CHOUGH_4.jpg,EUROPEAN_GOLDFINCH_3.jpg,2.0,,,,A37R0JYAB3QEX9
47,67,,1.0,47.0,LESSER_ADJUTANT_5.jpg,RED_HEADED_WOODPECKER_1.jpg,3.0,,,,A37R0JYAB3QEX9
48,68,,1.0,48.0,RUBY_THROATED_HUMMINGBIRD_2.jpg,DUSKY_ROBIN_5.jpg,3.0,,,,A37R0JYAB3QEX9
49,69,,1.0,49.0,EASTERN_TOWEE_2.jpg,SANDHILL_CRANE_2.jpg,1.0,,,,A37R0JYAB3QEX9
50,70,right,1.0,50.0,right.jpg,,,right,0.8241,,A37R0JYAB3QEX9
51,71,,1.0,51.0,GOLDEN_CHLOROPHONIA_5.jpg,ROADRUNNER_2.jpg,1.0,,,,A37R0JYAB3QEX9
52,72,,1.0,52.0,GREY_PLOVER_1.jpg,GOULDIAN_FINCH_4.jpg,2.0,,,,A37R0JYAB3QEX9
53,73,,1.0,53.0,PINK_ROBIN_4.jpg,SPOONBILL_3.jpg,1.0,,,,A37R0JYAB3QEX9
54,74,,1.0,54.0,SPLENDID_WREN_1.jpg,CUBAN_TODY_4.jpg,3.0,,,,A37R0JYAB3QEX9
55,75,,1.0,55.0,KILLDEAR_2.jpg,PEACOCK_5.jpg,1.0,,,,A37R0JYAB3QEX9
56,76,,1.0,56.0,GRAY_KINGBIRD_5.jpg,AFRICAN_FIREFINCH_3.jpg,3.0,,,,A37R0JYAB3QEX9
57,77,,1.0,57.0,BROWN_THRASHER_3.jpg,BLACK_BAZA_4.jpg,3.0,,,,A37R0JYAB3QEX9
58,78,,1.0,58.0,INCA_TERN_4.jpg,SMITHS_LONGSPUR_5.jpg,2.0,,,,A37R0JYAB3QEX9
59,79,,1.0,59.0,KAGU_5.jpg,ASHY_STORM_PETREL_1.jpg,2.0,,,,A37R0JYAB3QEX9
60,80,,1.0,60.0,LARK_BUNTING_2.jpg,PEACOCK_1.jpg,1.0,,,,A37R0JYAB3QEX9
61,81,,1.0,61.0,RUBY_THROATED_HUMMINGBIRD_3.jpg,MALAGASY_WHITE_EYE_2.jpg,1.0,,,,A37R0JYAB3QEX9
62,82,,1.0,62.0,TASMANIAN_HEN_5.jpg,COPPERY_TAILED_COUCAL_1.jpg,3.0,,,,A37R0JYAB3QEX9
63,83,,1.0,63.0,CASSOWARY_1.jpg,SCARLET_MACAW_1.jpg,2.0,,,,A37R0JYAB3QEX9
64,84,,1.0,64.0,ARARIPE_MANAKIN_4.jpg,BLACK_VULTURE_1.jpg,2.0,,,,A37R0JYAB3QEX9
65,20,,1.0,0.0,LESSER_ADJUTANT_5.jpg,RED_HEADED_WOODPECKER_1.jpg,3.0,,,,A3TBG0S2IEBVHU
66,21,,1.0,1.0,SPLENDID_WREN_1.jpg,POMARINE_JAEGER_5.jpg,1.0,,,,A3TBG0S2IEBVHU
67,22,,1.0,2.0,BALI_STARLING_1.jpg,IBERIAN_MAGPIE_1.jpg,3.0,,,,A3TBG0S2IEBVHU
68,23,,1.0,3.0,AFRICAN_PIED_HORNBILL_5.jpg,ALEXANDRINE_PARAKEET_1.jpg,2.0,,,,A3TBG0S2IEBVHU
69,24,,1.0,4.0,PEACOCK_3.jpg,ANIANIAU_2.jpg,1.0,,,,A3TBG0S2IEBVHU
70,25,,1.0,5.0,KILLDEAR_2.jpg,AZURE_TIT_5.jpg,3.0,,,,A3TBG0S2IEBVHU
71,26,,1.0,6.0,CASSOWARY_1.jpg,AFRICAN_OYSTER_CATCHER_2.jpg,3.0,,,,A3TBG0S2IEBVHU
72,27,,1.0,7.0,TASMANIAN_HEN_5.jpg,GREEN_BROADBILL_1.jpg,1.0,,,,A3TBG0S2IEBVHU
73,28,,1.0,8.0,LESSER_ADJUTANT_4.jpg,RAINBOW_LORIKEET_5.jpg,2.0,,,,A3TBG0S2IEBVHU
74,29,,1.0,9.0,CASPIAN_TERN_1.jpg,EUROPEAN_GOLDFINCH_4.jpg,2.0,,,,A3TBG0S2IEBVHU
75,30,,1.0,10.0,HAWAIIAN_GOOSE_4.jpg,WATTLED_LAPWING_3.jpg,3.0,,,,A3TBG0S2IEBVHU
76,31,left,1.0,11.0,left.jpg,,,left,0.7468,,A3TBG0S2IEBVHU
77,32,,1.0,12.0,CHUKAR_PARTRIDGE_5.jpg,BLACK_THROATED_BUSHTIT_1.jpg,3.0,,,,A3TBG0S2IEBVHU
78,33,,1.0,13.0,FLAME_BOWERBIRD_3.jpg,QUETZAL_3.jpg,3.0,,,,A3TBG0S2IEBVHU
79,34,,1.0,14.0,SHOEBILL_3.jpg,GILDED_FLICKER_5.jpg,2.0,,,,A3TBG0S2IEBVHU
80,35,,1.0,15.0,PYGMY_KINGFISHER_5.jpg,GRANDALA_2.jpg,1.0,,,,A3TBG0S2IEBVHU
81,36,,1.0,16.0,RUBY_THROATED_HUMMINGBIRD_3.jpg,MALAGASY_WHITE_EYE_2.jpg,1.0,,,,A3TBG0S2IEBVHU
82,37,,1.0,17.0,RED_HEADED_WOODPECKER_5.jpg,COLLARED_ARACARI_1.jpg,3.0,,,,A3TBG0S2IEBVHU
83,38,,1.0,18.0,DOUBLE_BRESTED_CORMARANT_5.jpg,GILDED_FLICKER_2.jpg,1.0,,,,A3TBG0S2IEBVHU
84,39,,1.0,19.0,STRIPPED_SWALLOW_1.jpg,DOUBLE_BRESTED_CORMARANT_4.jpg,1.0,,,,A3TBG0S2IEBVHU
85,40,,1.0,20.0,AMERICAN_PIPIT_5.jpg,GREEN_MAGPIE_1.jpg,2.0,,,,A3TBG0S2IEBVHU
86,41,,1.0,21.0,INCA_TERN_4.jpg,BORNEAN_BRISTLEHEAD_5.jpg,3.0,,,,A3TBG0S2IEBVHU
87,42,,1.0,22.0,LITTLE_AUK_5.jpg,BEARDED_BELLBIRD_1.jpg,3.0,,,,A3TBG0S2IEBVHU
88,43,right,1.0,23.0,right.jpg,,,right,0.7862,,A3TBG0S2IEBVHU
89,44,,1.0,24.0,BROWN_THRASHER_3.jpg,BLACK_BAZA_4.jpg,3.0,,,,A3TBG0S2IEBVHU
90,45,,1.0,25.0,VERMILION_FLYCATHER_3.jpg,CALIFORNIA_GULL_1.jpg,2.0,,,,A3TBG0S2IEBVHU
91,46,,1.0,26.0,LARK_BUNTING_2.jpg,PEACOCK_1.jpg,1.0,,,,A3TBG0S2IEBVHU
92,47,,1.0,27.0,NORTHERN_JACANA_3.jpg,CRAB_PLOVER_3.jpg,2.0,,,,A3TBG0S2IEBVHU
93,48,,1.0,28.0,RUBY_THROATED_HUMMINGBIRD_2.jpg,APAPANE_4.jpg,2.0,,,,A3TBG0S2IEBVHU
94,49,,1.0,29.0,RUFOUS_KINGFISHER_1.jpg,SNOWY_OWL_5.jpg,1.0,,,,A3TBG0S2IEBVHU
95,50,,1.0,30.0,WHITE_CHEEKED_TURACO_5.jpg,NORTHERN_MOCKINGBIRD_4.jpg,1.0,,,,A3TBG0S2IEBVHU
96,51,,1.0,31.0,GYRFALCON_1.jpg,OSTRICH_1.jpg,1.0,,,,A3TBG0S2IEBVHU
97,52,right,1.0,32.0,right.jpg,,,right,0.6521,,A3TBG0S2IEBVHU
98,53,,1.0,33.0,KAGU_5.jpg,RED_BEARDED_BEE_EATER_3.jpg,1.0,,,,A3TBG0S2IEBVHU
99,54,,1.0,34.0,BROWN_NOODY_3.jpg,SPANGLED_COTINGA_4.jpg,2.0,,,,A3TBG0S2IEBVHU
100,55,,1.0,35.0,GOLDEN_CHEEKED_WARBLER_2.jpg,SPOONBILL_1.jpg,1.0,,,,A3TBG0S2IEBVHU
101,56,,1.0,36.0,IVORY_GULL_3.jpg,SNOWY_EGRET_4.jpg,3.0,,,,A3TBG0S2IEBVHU
102,57,,1.0,37.0,ASIAN_DOLLARD_BIRD_2.jpg,VIOLET_GREEN_SWALLOW_4.jpg,3.0,,,,A3TBG0S2IEBVHU
103,58,,1.0,38.0,ARARIPE_MANAKIN_4.jpg,BLACK_VULTURE_1.jpg,2.0,,,,A3TBG0S2IEBVHU
104,59,left,1.0,39.0,left.jpg,,,left,0.6514,,A3TBG0S2IEBVHU
105,60,,1.0,40.0,BREWERS_BLACKBIRD_3.jpg,GOLDEN_CHEEKED_WARBLER_3.jpg,2.0,,,,A3TBG0S2IEBVHU
106,61,,1.0,41.0,GREY_PLOVER_1.jpg,ECUADORIAN_HILLSTAR_3.jpg,3.0,,,,A3TBG0S2IEBVHU
107,62,,1.0,42.0,PARUS_MAJOR_1.jpg,PINK_ROBIN_3.jpg,3.0,,,,A3TBG0S2IEBVHU
108,63,,1.0,43.0,MAGPIE_GOOSE_5.jpg,HAMERKOP_1.jpg,2.0,,,,A3TBG0S2IEBVHU
109,64,,1.0,44.0,EUROPEAN_TURTLE_DOVE_3.jpg,TEAL_DUCK_2.jpg,1.0,,,,A3TBG0S2IEBVHU
110,65,,1.0,45.0,GOLDEN_CHLOROPHONIA_5.jpg,ROADRUNNER_2.jpg,1.0,,,,A3TBG0S2IEBVHU
111,66,,1.0,46.0,CERULEAN_WARBLER_1.jpg,AMERICAN_FLAMINGO_5.jpg,2.0,,,,A3TBG0S2IEBVHU
112,67,left,1.0,47.0,left.jpg,,,left,0.5581,,A3TBG0S2IEBVHU
113,68,,1.0,48.0,GRAY_KINGBIRD_5.jpg,BALD_EAGLE_2.jpg,1.0,,,,A3TBG0S2IEBVHU
114,69,,1.0,49.0,ALPINE_CHOUGH_4.jpg,BOBOLINK_3.jpg,3.0,,,,A3TBG0S2IEBVHU
115,70,,1.0,50.0,OVENBIRD_5.jpg,FAIRY_PENGUIN_1.jpg,2.0,,,,A3TBG0S2IEBVHU
116,71,,1.0,51.0,ECUADORIAN_HILLSTAR_5.jpg,BOBOLINK_5.jpg,2.0,,,,A3TBG0S2IEBVHU
117,72,,1.0,52.0,CRESTED_CARACARA_4.jpg,INDIAN_PITTA_2.jpg,2.0,,,,A3TBG0S2IEBVHU
118,73,,1.0,53.0,INLAND_DOTTEREL_4.jpg,CASSOWARY_2.jpg,1.0,,,,A3TBG0S2IEBVHU
119,74,,1.0,54.0,CRESTED_NUTHATCH_2.jpg,SCARLET_IBIS_3.jpg,1.0,,,,A3TBG0S2IEBVHU
120,75,,1.0,55.0,MYNA_1.jpg,OSTRICH_3.jpg,1.0,,,,A3TBG0S2IEBVHU
