,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,subject
44,6,2.0,left.jpg,left,0.6368,left,14.0,right,0.0,1.2349,2.0,flower3.jpg,flower3_pair.jpg,left,A3MXI2O3JZ0TZH
45,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.0569,3.0,flower4.jpg,flower4_pair.jpg,left,A3MXI2O3JZ0TZH
46,8,4.0,flower4.jpg,,,,16.0,left,0.0,1.0966,4.0,flower5_pair.jpg,flower5.jpg,right,A3MXI2O3JZ0TZH
47,9,5.0,flower5.jpg,,,,17.0,right,0.0,1.5336,5.0,flower6.jpg,flower6_pair.jpg,left,A3MXI2O3JZ0TZH
48,10,6.0,flower6.jpg,,,,,,,,,,,,A3MXI2O3JZ0TZH
49,4,0.0,flower1.jpg,,,,12.0,left,1.0,4.4718,0.0,flower1.jpg,flower1_pair.jpg,left,A3SSZZTJIJLD3Y
50,5,1.0,flower2.jpg,,,,13.0,right,1.0,1.3187,1.0,flower2_pair.jpg,flower2.jpg,right,A3SSZZTJIJLD3Y
51,6,2.0,left.jpg,left,1.1752,left,14.0,left,1.0,1.7539,2.0,flower3.jpg,flower3_pair.jpg,left,A3SSZZTJIJLD3Y
52,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.476,3.0,flower4.jpg,flower4_pair.jpg,left,A3SSZZTJIJLD3Y
53,8,4.0,flower4.jpg,,,,16.0,left,0.0,1.3864,4.0,flower5_pair.jpg,flower5.jpg,right,A3SSZZTJIJLD3Y
54,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.4009,5.0,flower6.jpg,flower6_pair.jpg,left,A3SSZZTJIJLD3Y
55,10,6.0,flower6.jpg,,,,,,,,,,,,A3SSZZTJIJLD3Y
56,4,0.0,flower1.jpg,,,,12.0,right,0.0,26.8142,0.0,flower1.jpg,flower1_pair.jpg,left,ABVBYS63BZWZ6
57,5,1.0,flower2.jpg,,,,13.0,right,1.0,10.3491,1.0,flower2_pair.jpg,flower2.jpg,right,ABVBYS63BZWZ6
58,6,2.0,left.jpg,left,2.1794,left,14.0,left,1.0,14.0031,2.0,flower3.jpg,flower3_pair.jpg,left,ABVBYS63BZWZ6
59,7,3.0,flower3.jpg,,,,15.0,left,1.0,5.4102,3.0,flower4.jpg,flower4_pair.jpg,left,ABVBYS63BZWZ6
60,8,4.0,flower4.jpg,,,,16.0,right,1.0,11.044,4.0,flower5_pair.jpg,flower5.jpg,right,ABVBYS63BZWZ6
61,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.083,5.0,flower6.jpg,flower6_pair.jpg,left,ABVBYS63BZWZ6
62,10,6.0,flower6.jpg,,,,,,,,,,,,ABVBYS63BZWZ6
63,4,0.0,flower1.jpg,,,,12.0,right,0.0,2.6944,0.0,flower1.jpg,flower1_pair.jpg,left,AL84FSIS4UM1Q
64,5,1.0,flower2.jpg,,,,13.0,left,0.0,1.3966,1.0,flower2_pair.jpg,flower2.jpg,right,AL84FSIS4UM1Q
65,6,2.0,left.jpg,left,1.098099999,left,14.0,left,1.0,1.8013,2.0,flower3.jpg,flower3_pair.jpg,left,AL84FSIS4UM1Q
66,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.5823,3.0,flower4.jpg,flower4_pair.jpg,left,AL84FSIS4UM1Q
67,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.493200001,4.0,flower5_pair.jpg,flower5.jpg,right,AL84FSIS4UM1Q
68,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.9735,5.0,flower6.jpg,flower6_pair.jpg,left,AL84FSIS4UM1Q
69,10,6.0,flower6.jpg,,,,,,,,,,,,AL84FSIS4UM1Q
70,4,0.0,flower1.jpg,,,,12.0,left,1.0,1.4431,0.0,flower1.jpg,flower1_pair.jpg,left,AN4P0SU1YSPF2
71,5,1.0,flower2.jpg,,,,13.0,right,1.0,1.438,1.0,flower2_pair.jpg,flower2.jpg,right,AN4P0SU1YSPF2
72,6,2.0,left.jpg,left,0.6202,left,14.0,left,1.0,1.0865,2.0,flower3.jpg,flower3_pair.jpg,left,AN4P0SU1YSPF2
73,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.9564,3.0,flower4.jpg,flower4_pair.jpg,left,AN4P0SU1YSPF2
74,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.3698,4.0,flower5_pair.jpg,flower5.jpg,right,AN4P0SU1YSPF2
75,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.4238,5.0,flower6.jpg,flower6_pair.jpg,left,AN4P0SU1YSPF2
76,10,6.0,flower6.jpg,,,,,,,,,,,,AN4P0SU1YSPF2
