button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,key_resp_end_2.keys,key_resp_end_2.rt
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,left,,,,right,0,1.706,0,32,32,32,1,OCELLATED_TURKEY_1.jpg,AMERICAN_PIPIT_1.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,right,,,,right,1,1.172,0,33,33,33,1,LOGGERHEAD_SHRIKE_4.jpg,ASIAN_DOLLARD_BIRD_2.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,left,,,,left,1,0.97,0,34,34,34,1,TASMANIAN_HEN_5.jpg,AFRICAN_EMERALD_CUCKOO_5.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,left,,,,right,0,0.961,0,35,35,35,1,EASTERN_TOWEE_2.jpg,SANDHILL_CRANE_2.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,right,,,,right,1,1.309,0,36,36,36,1,EASTERN_MEADOWLARK_1.jpg,SHOEBILL_3.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,right,,,,right,1,1.875,0,37,37,37,1,PYGMY_KINGFISHER_2.jpg,WHITE_CHEEKED_TURACO_5.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,right,,,,right,1,1.144,0,38,38,38,1,CAATINGA_CACHOLOTE_4.jpg,KILLDEAR_2.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,right,,,,right,1,0.841,0,39,39,39,1,CHINESE_POND_HERON_2.jpg,DOUBLE_BRESTED_CORMARANT_5.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,right,,,,right,1,1.149,0,40,40,40,1,CRIMSON_CHAT_3.jpg,RED_HEADED_WOODPECKER_5.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,right,,,,right,1,1.123,0,41,41,41,1,BORNEAN_BRISTLEHEAD_5.jpg,INCA_TERN_4.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,left,,,,right,0,1.058,0,42,42,42,1,PEACOCK_3.jpg,CHATTERING_LORY_2.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,left,,,,right,0,0.942,0,43,43,43,1,LESSER_ADJUTANT_5.jpg,GREEN_BROADBILL_4.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,right,,,,right,1,0.939,0,44,44,44,1,QUETZAL_3.jpg,FLAME_BOWERBIRD_3.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,right,,,,right,1,0.894,0,45,45,45,1,BANANAQUIT_1.jpg,CERULEAN_WARBLER_1.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,left,,,,right,0,1.121,0,46,46,46,1,LESSER_ADJUTANT_4.jpg,ALTAMIRA_YELLOWTHROAT_5.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,left,,,,right,0,1.435,0,47,47,47,1,CASSOWARY_1.jpg,AFRICAN_OYSTER_CATCHER_2.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,left,,,,right,0,1.221,0,48,48,48,1,GOLDEN_CHEEKED_WARBLER_2.jpg,WHITE_THROATED_BEE_EATER_1.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,right,,,,left,0,1.996,0,49,49,49,1,CRESTED_KINGFISHER_1.jpg,INLAND_DOTTEREL_4.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,right,,,,right,1,1.336,0,50,50,50,1,OYSTER_CATCHER_3.jpg,MAGPIE_GOOSE_5.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,left,,,,right,0,1.463,0,51,51,51,1,OVENBIRD_5.jpg,FAIRY_PENGUIN_1.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,left,,,,right,0,1.208,0,52,52,52,1,CHUKAR_PARTRIDGE_5.jpg,OSTRICH_5.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,left,,,,left,1,1.686,0,53,53,53,1,IVORY_GULL_1.jpg,EASTERN_GOLDEN_WEAVER_5.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,left,,,,right,0,0.868,0,54,54,54,1,MALACHITE_KINGFISHER_2.jpg,AMERICAN_FLAMINGO_1.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,left,,,,right,0,1.249,0,55,55,55,1,RUBY_THROATED_HUMMINGBIRD_3.jpg,MYNA_5.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,right,,,,right,1,2.009,0,56,56,56,1,PEACOCK_1.jpg,LARK_BUNTING_2.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,right,,,,right,1,1.702,0,57,57,57,1,GREAT_GRAY_OWL_4.jpg,CASPIAN_TERN_1.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,left,,,,right,0,0.964,0,58,58,58,1,GRAY_KINGBIRD_5.jpg,COCK_OF_THE__ROCK_4.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,left,,,,right,0,1.124,0,59,59,59,1,GYRFALCON_1.jpg,CINNAMON_ATTILA_2.jpg,,
,,,A166BS4L4QUBR9,43,male,8,2022-12-27_17h33.58.914,memory_pilot_most_recent,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,37.108
