,demo_loops.thisTrialN,target,image1,image2,correct,demo_test_key_resp.rt,demo_test_key_resp.keys,subject
0,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,1.9523,left,AAUE4IKTZSXNW
1,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,0.9744,right,AAUE4IKTZSXNW
2,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,1.1103,left,AAUE4IKTZSXNW
3,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,9.955,left,A3BJHUEY6OGLPA
4,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,1.6667,right,A3BJHUEY6OGLPA
5,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,4.0249,left,A3BJHUEY6OGLPA
6,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,7.314,right,A3G8JHYINIOP64
7,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,5.365,right,A3G8JHYINIOP64
8,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,4.425,left,A3G8JHYINIOP64
9,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,4.5988,right,A146QN6EU8LAEI
10,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,3.2214,left,A146QN6EU8LAEI
11,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,2.6874,left,A146QN6EU8LAEI
12,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,3.9448,right,A2VUGPK6EL1HD2
13,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,2.4749,right,A2VUGPK6EL1HD2
14,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,1.9159,left,A2VUGPK6EL1HD2
15,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,21.505,right,A1Z494GD5FXO5L
16,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,11.62,right,A1Z494GD5FXO5L
17,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,5.692,left,A1Z494GD5FXO5L
18,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,5.3057,right,A29PB3QJJ1YA6T
19,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,2.7887,left,A29PB3QJJ1YA6T
20,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,1.9247,right,A29PB3QJJ1YA6T
21,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,3.3851,right,ABV359QT1HYRO
22,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,1.8918,right,ABV359QT1HYRO
23,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,1.5166,right,ABV359QT1HYRO
24,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,6.888,left,A3HZOUKKBV7M9N
25,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,5.054,left,A3HZOUKKBV7M9N
26,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,2.989,left,A3HZOUKKBV7M9N
27,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,5.8221,left,AB8XECKH1JO8P
28,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,2.063,left,AB8XECKH1JO8P
29,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,4.6413,right,AB8XECKH1JO8P
30,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,2.145,left,A2ZDIE1PGK7088
31,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,1.409,left,A2ZDIE1PGK7088
32,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,3.128,left,A2ZDIE1PGK7088
33,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,3.935,left,AULTAU26PZJNY
34,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,0.364,right,AULTAU26PZJNY
35,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,0.198,left,AULTAU26PZJNY
36,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,81.6169,right,A35C2EW7OU8JXS
37,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,5.4937,right,A35C2EW7OU8JXS
38,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,1.5826,right,A35C2EW7OU8JXS
39,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,17.7651,left,A8GOBUKMAFES6
40,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,4.3977,right,A8GOBUKMAFES6
41,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,3.7532,left,A8GOBUKMAFES6
42,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,4.5997,left,A1D2JWRADNJ7B8
43,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,4.2154,left,A1D2JWRADNJ7B8
44,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,7.9633,left,A1D2JWRADNJ7B8
45,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,2.3493,left,AW5O1RK3W60FC
46,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,4.2374,left,AW5O1RK3W60FC
47,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,2.6361,left,AW5O1RK3W60FC
48,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,65.2232,left,A241UZ5RXUFV7X
49,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,1.223599998,left,A241UZ5RXUFV7X
50,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,1.6685,left,A241UZ5RXUFV7X
51,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,12.2029,left,A3VQ5JLC35TXZZ
52,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,2.7974,left,A3VQ5JLC35TXZZ
53,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,2.1043,left,A3VQ5JLC35TXZZ
54,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,2.569,left,A1QCFZJ4PFM9WI
55,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,1.925,left,A1QCFZJ4PFM9WI
56,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,1.529,left,A1QCFZJ4PFM9WI
57,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,2.406,left,A34Z9LMI089LMT
58,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,3.4572,right,A34Z9LMI089LMT
59,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,1.9517,right,A34Z9LMI089LMT
