target,selected_dist,distractor_level,image1,image2,correct,category,background_0,background_1,background_2,background_3,background_4,background_5,target_index
highway_156.jpg,highway_160.jpg,0,highway_160.jpg,highway_156.jpg,right,highway,playground_233.jpg,mountain_233.jpg,highway_156.jpg,bridge_76.jpg,golf_course_23.jpg,badlands_214.jpg,2
golf_course_309.jpg,golf_course_209.jpg,1,golf_course_309.jpg,golf_course_209.jpg,left,golf,mountain_19.jpg,golf_course_309.jpg,badlands_150.jpg,playground_49.jpg,highway_90.jpg,bridge_136.jpg,1
bridge_250.jpg,bridge_205.jpg,1,bridge_250.jpg,bridge_205.jpg,left,bridge,bridge_250.jpg,playground_132.jpg,golf_course_41.jpg,mountain_294.jpg,highway_33.jpg,badlands_44.jpg,0
golf_course_214.jpg,golf_course_317.jpg,1,golf_course_317.jpg,golf_course_214.jpg,right,golf,golf_course_214.jpg,highway_50.jpg,playground_196.jpg,mountain_22.jpg,bridge_204.jpg,badlands_33.jpg,0
playground_219.jpg,playground_205.jpg,1,playground_219.jpg,playground_205.jpg,left,playground,bridge_72.jpg,playground_219.jpg,mountain_38.jpg,golf_course_313.jpg,highway_247.jpg,badlands_122.jpg,1
bridge_128.jpg,bridge_61.jpg,0,bridge_128.jpg,bridge_61.jpg,left,bridge,highway_251.jpg,golf_course_133.jpg,bridge_128.jpg,playground_55.jpg,mountain_256.jpg,badlands_88.jpg,2
highway_209.jpg,highway_314.jpg,0,highway_314.jpg,highway_209.jpg,right,highway,badlands_227.jpg,mountain_202.jpg,bridge_180.jpg,highway_209.jpg,playground_26.jpg,golf_course_61.jpg,3
playground_144.jpg,playground_137.jpg,0,playground_137.jpg,playground_144.jpg,right,playground,golf_course_282.jpg,mountain_198.jpg,playground_144.jpg,badlands_9.jpg,highway_257.jpg,bridge_124.jpg,2
mountain_110.jpg,mountain_157.jpg,0,mountain_110.jpg,mountain_157.jpg,left,mountain,badlands_171.jpg,golf_course_162.jpg,mountain_110.jpg,bridge_238.jpg,highway_193.jpg,playground_195.jpg,2
highway_394.jpg,highway_406.jpg,1,highway_394.jpg,highway_406.jpg,left,highway,playground_64.jpg,bridge_164.jpg,highway_394.jpg,golf_course_138.jpg,badlands_55.jpg,mountain_91.jpg,2
golf_course_87.jpg,golf_course_161.jpg,1,golf_course_87.jpg,golf_course_161.jpg,left,golf,highway_178.jpg,mountain_62.jpg,bridge_52.jpg,golf_course_87.jpg,badlands_174.jpg,playground_237.jpg,3
mountain_156.jpg,mountain_295.jpg,1,mountain_156.jpg,mountain_295.jpg,left,mountain,bridge_62.jpg,badlands_60.jpg,playground_6.jpg,golf_course_33.jpg,mountain_156.jpg,highway_148.jpg,4
badlands_137.jpg,badlands_139.jpg,1,badlands_139.jpg,badlands_137.jpg,right,badlands,bridge_133.jpg,mountain_76.jpg,badlands_137.jpg,golf_course_297.jpg,highway_9.jpg,playground_42.jpg,2
golf_course_188.jpg,golf_course_157.jpg,0,golf_course_157.jpg,golf_course_188.jpg,right,golf,badlands_185.jpg,highway_413.jpg,golf_course_188.jpg,bridge_158.jpg,mountain_212.jpg,playground_173.jpg,2
badlands_184.jpg,badlands_103.jpg,1,badlands_103.jpg,badlands_184.jpg,right,badlands,bridge_35.jpg,badlands_184.jpg,golf_course_166.jpg,playground_258.jpg,highway_295.jpg,mountain_87.jpg,1
mountain_232.jpg,mountain_3.jpg,0,mountain_232.jpg,mountain_3.jpg,left,mountain,mountain_232.jpg,playground_235.jpg,golf_course_164.jpg,bridge_225.jpg,badlands_81.jpg,highway_3.jpg,0
highway_93.jpg,highway_85.jpg,0,highway_93.jpg,highway_85.jpg,left,highway,golf_course_265.jpg,badlands_30.jpg,bridge_147.jpg,mountain_45.jpg,highway_93.jpg,playground_165.jpg,4
highway_294.jpg,highway_368.jpg,1,highway_294.jpg,highway_368.jpg,left,highway,bridge_39.jpg,golf_course_72.jpg,playground_184.jpg,highway_294.jpg,badlands_85.jpg,mountain_307.jpg,3
golf_course_195.jpg,golf_course_25.jpg,0,golf_course_195.jpg,golf_course_25.jpg,left,golf,golf_course_195.jpg,mountain_120.jpg,playground_162.jpg,badlands_35.jpg,highway_319.jpg,bridge_22.jpg,0
mountain_57.jpg,mountain_138.jpg,1,mountain_57.jpg,mountain_138.jpg,left,mountain,golf_course_226.jpg,badlands_173.jpg,mountain_57.jpg,bridge_254.jpg,highway_76.jpg,playground_36.jpg,2
bridge_108.jpg,bridge_148.jpg,1,bridge_148.jpg,bridge_108.jpg,right,bridge,playground_54.jpg,golf_course_288.jpg,bridge_108.jpg,badlands_166.jpg,highway_288.jpg,mountain_180.jpg,2
golf_course_193.jpg,golf_course_123.jpg,1,golf_course_193.jpg,golf_course_123.jpg,left,golf,playground_204.jpg,highway_354.jpg,mountain_35.jpg,golf_course_193.jpg,bridge_228.jpg,badlands_80.jpg,3
bridge_65.jpg,bridge_181.jpg,0,bridge_65.jpg,bridge_181.jpg,left,bridge,golf_course_127.jpg,bridge_65.jpg,highway_305.jpg,badlands_219.jpg,mountain_190.jpg,playground_37.jpg,1
playground_76.jpg,playground_22.jpg,0,playground_76.jpg,playground_22.jpg,left,playground,playground_76.jpg,bridge_110.jpg,highway_17.jpg,badlands_128.jpg,golf_course_212.jpg,mountain_51.jpg,0
golf_course_15.jpg,golf_course_97.jpg,1,golf_course_15.jpg,golf_course_97.jpg,left,golf,badlands_46.jpg,golf_course_15.jpg,playground_63.jpg,highway_269.jpg,mountain_169.jpg,bridge_179.jpg,1
badlands_24.jpg,badlands_3.jpg,0,badlands_3.jpg,badlands_24.jpg,right,badlands,golf_course_116.jpg,highway_199.jpg,playground_154.jpg,badlands_24.jpg,bridge_74.jpg,mountain_29.jpg,3
mountain_123.jpg,mountain_189.jpg,1,mountain_189.jpg,mountain_123.jpg,right,mountain,highway_290.jpg,mountain_123.jpg,golf_course_199.jpg,playground_120.jpg,badlands_175.jpg,bridge_197.jpg,1
bridge_191.jpg,bridge_75.jpg,1,bridge_191.jpg,bridge_75.jpg,left,bridge,mountain_302.jpg,golf_course_128.jpg,badlands_211.jpg,bridge_191.jpg,playground_249.jpg,highway_365.jpg,3
golf_course_78.jpg,golf_course_134.jpg,0,golf_course_78.jpg,golf_course_134.jpg,left,golf,highway_101.jpg,golf_course_78.jpg,mountain_251.jpg,badlands_129.jpg,bridge_144.jpg,playground_74.jpg,1
playground_117.jpg,playground_127.jpg,1,playground_127.jpg,playground_117.jpg,right,playground,mountain_89.jpg,highway_172.jpg,bridge_87.jpg,badlands_105.jpg,playground_117.jpg,golf_course_194.jpg,4
highway_415.jpg,highway_174.jpg,1,highway_174.jpg,highway_415.jpg,right,highway,playground_7.jpg,golf_course_59.jpg,mountain_226.jpg,highway_415.jpg,badlands_200.jpg,bridge_190.jpg,3
