,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,demo_bar_2.response,subject
0,4,0.0,flower1.jpg,,,,12.0,left,1.0,3.6454,0.0,flower1.jpg,flower1_pair.jpg,left,8.0,A17K1CHOI773VZ
1,5,1.0,flower2.jpg,,,,13.0,left,0.0,2.5812,1.0,flower2_pair.jpg,flower2.jpg,right,5.0,A17K1CHOI773VZ
2,6,2.0,left.jpg,left,1.3138,left,14.0,left,1.0,4.699,2.0,flower3.jpg,flower3_pair.jpg,left,3.0,A17K1CHOI773VZ
3,7,3.0,flower3.jpg,,,,15.0,right,0.0,2.1714,3.0,flower4.jpg,flower4_pair.jpg,left,3.0,A17K1CHOI773VZ
4,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.4041,4.0,flower5_pair.jpg,flower5.jpg,right,5.0,A17K1CHOI773VZ
5,9,5.0,flower5.jpg,,,,17.0,left,1.0,3.6384,5.0,flower6.jpg,flower6_pair.jpg,left,5.0,A17K1CHOI773VZ
6,10,6.0,flower6.jpg,,,,,,,,,,,,,A17K1CHOI773VZ
7,4,0.0,flower1.jpg,,,,12.0,right,0.0,19.9775,0.0,flower1.jpg,flower1_pair.jpg,left,9.0,AZZ2C92JSZ5LZ
8,5,1.0,flower2.jpg,,,,13.0,right,1.0,19.5194,1.0,flower2_pair.jpg,flower2.jpg,right,9.0,AZZ2C92JSZ5LZ
9,6,2.0,left.jpg,left,1.4168,left,14.0,right,0.0,1.2538,2.0,flower3.jpg,flower3_pair.jpg,left,9.0,AZZ2C92JSZ5LZ
10,7,3.0,flower3.jpg,,,,15.0,right,0.0,6.883,3.0,flower4.jpg,flower4_pair.jpg,left,8.0,AZZ2C92JSZ5LZ
11,8,4.0,flower4.jpg,,,,16.0,right,1.0,4.1205,4.0,flower5_pair.jpg,flower5.jpg,right,8.0,AZZ2C92JSZ5LZ
12,9,5.0,flower5.jpg,,,,17.0,right,0.0,2.3498,5.0,flower6.jpg,flower6_pair.jpg,left,7.0,AZZ2C92JSZ5LZ
13,10,6.0,flower6.jpg,,,,,,,,,,,,,AZZ2C92JSZ5LZ
14,4,0.0,flower1.jpg,,,,12.0,right,0.0,1.4986,0.0,flower1.jpg,flower1_pair.jpg,left,9.0,AMHUDJ44HF1ZH
15,5,1.0,flower2.jpg,,,,13.0,left,0.0,4.4483,1.0,flower2_pair.jpg,flower2.jpg,right,1.0,AMHUDJ44HF1ZH
16,6,2.0,left.jpg,left,0.73,left,14.0,left,1.0,1.999,2.0,flower3.jpg,flower3_pair.jpg,left,1.0,AMHUDJ44HF1ZH
17,7,3.0,flower3.jpg,,,,15.0,right,0.0,2.9995,3.0,flower4.jpg,flower4_pair.jpg,left,9.0,AMHUDJ44HF1ZH
18,8,4.0,flower4.jpg,,,,16.0,right,1.0,3.2823,4.0,flower5_pair.jpg,flower5.jpg,right,9.0,AMHUDJ44HF1ZH
19,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.0493,5.0,flower6.jpg,flower6_pair.jpg,left,1.0,AMHUDJ44HF1ZH
20,10,6.0,flower6.jpg,,,,,,,,,,,,,AMHUDJ44HF1ZH
21,4,0.0,flower1.jpg,,,,12.0,right,0.0,1.8414,0.0,flower1.jpg,flower1_pair.jpg,left,8.0,AGOBQY50VQ7VX
22,5,1.0,flower2.jpg,,,,13.0,left,0.0,1.3807,1.0,flower2_pair.jpg,flower2.jpg,right,7.0,AGOBQY50VQ7VX
23,6,2.0,left.jpg,left,1.1111,left,14.0,left,1.0,11.8398,2.0,flower3.jpg,flower3_pair.jpg,left,7.0,AGOBQY50VQ7VX
24,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.5738,3.0,flower4.jpg,flower4_pair.jpg,left,7.0,AGOBQY50VQ7VX
25,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.4708,4.0,flower5_pair.jpg,flower5.jpg,right,8.0,AGOBQY50VQ7VX
26,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.9419,5.0,flower6.jpg,flower6_pair.jpg,left,7.0,AGOBQY50VQ7VX
27,10,6.0,flower6.jpg,,,,,,,,,,,,,AGOBQY50VQ7VX
28,4,0.0,flower1.jpg,,,,12.0,num_6,0.0,34.1349,0.0,flower1.jpg,flower1_pair.jpg,left,2.0,A23J0G72AUTS1I
29,5,1.0,flower2.jpg,,,,13.0,left,0.0,29.0103,1.0,flower2_pair.jpg,flower2.jpg,right,8.0,A23J0G72AUTS1I
30,6,2.0,left.jpg,left,1.329,left,14.0,left,1.0,2.1896,2.0,flower3.jpg,flower3_pair.jpg,left,7.0,A23J0G72AUTS1I
31,7,3.0,flower3.jpg,,,,15.0,left,1.0,3.6616,3.0,flower4.jpg,flower4_pair.jpg,left,7.0,A23J0G72AUTS1I
32,8,4.0,flower4.jpg,,,,16.0,left,0.0,1.6326,4.0,flower5_pair.jpg,flower5.jpg,right,4.0,A23J0G72AUTS1I
33,9,5.0,flower5.jpg,,,,17.0,right,0.0,1.3989,5.0,flower6.jpg,flower6_pair.jpg,left,4.0,A23J0G72AUTS1I
34,10,6.0,flower6.jpg,,,,,,,,,,,,,A23J0G72AUTS1I
35,4,0.0,flower1.jpg,,,,12.0,left,1.0,1.9072,0.0,flower1.jpg,flower1_pair.jpg,left,8.0,ATPW1MWLW7RBL
36,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.1521,1.0,flower2_pair.jpg,flower2.jpg,right,9.0,ATPW1MWLW7RBL
37,6,2.0,left.jpg,left,1.0961,left,14.0,left,1.0,3.3599,2.0,flower3.jpg,flower3_pair.jpg,left,5.0,ATPW1MWLW7RBL
38,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.9547,3.0,flower4.jpg,flower4_pair.jpg,left,6.0,ATPW1MWLW7RBL
39,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.022,4.0,flower5_pair.jpg,flower5.jpg,right,7.0,ATPW1MWLW7RBL
40,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.8489,5.0,flower6.jpg,flower6_pair.jpg,left,6.0,ATPW1MWLW7RBL
41,10,6.0,flower6.jpg,,,,,,,,,,,,,ATPW1MWLW7RBL
42,4,0.0,flower1.jpg,,,,12.0,left,1.0,1.5243,0.0,flower1.jpg,flower1_pair.jpg,left,6.0,A12B9W69X0BQBF
43,5,1.0,flower2.jpg,,,,13.0,right,1.0,6.75,1.0,flower2_pair.jpg,flower2.jpg,right,5.0,A12B9W69X0BQBF
44,6,2.0,left.jpg,left,0.9074,left,14.0,right,0.0,1.6713,2.0,flower3.jpg,flower3_pair.jpg,left,8.0,A12B9W69X0BQBF
45,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.162,3.0,flower4.jpg,flower4_pair.jpg,left,8.0,A12B9W69X0BQBF
46,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.9026,4.0,flower5_pair.jpg,flower5.jpg,right,6.0,A12B9W69X0BQBF
47,9,5.0,flower5.jpg,,,,17.0,left,1.0,3.4593,5.0,flower6.jpg,flower6_pair.jpg,left,7.0,A12B9W69X0BQBF
48,10,6.0,flower6.jpg,,,,,,,,,,,,,A12B9W69X0BQBF
49,4,0.0,flower1.jpg,,,,12.0,left,1.0,11.8164,0.0,flower1.jpg,flower1_pair.jpg,left,5.0,A2RSBH1E3TEESG
50,5,1.0,flower2.jpg,,,,13.0,right,1.0,6.634,1.0,flower2_pair.jpg,flower2.jpg,right,5.0,A2RSBH1E3TEESG
51,6,2.0,left.jpg,left,1.1898,left,14.0,left,1.0,7.4968,2.0,flower3.jpg,flower3_pair.jpg,left,8.0,A2RSBH1E3TEESG
52,7,3.0,flower3.jpg,,,,15.0,right,0.0,4.4049,3.0,flower4.jpg,flower4_pair.jpg,left,8.0,A2RSBH1E3TEESG
53,8,4.0,flower4.jpg,,,,16.0,right,1.0,3.3491,4.0,flower5_pair.jpg,flower5.jpg,right,9.0,A2RSBH1E3TEESG
54,9,5.0,flower5.jpg,,,,17.0,right,0.0,7.1752,5.0,flower6.jpg,flower6_pair.jpg,left,9.0,A2RSBH1E3TEESG
55,10,6.0,flower6.jpg,,,,,,,,,,,,,A2RSBH1E3TEESG
