,index,test_encoding_response.keys,test_encoding_response.corr,trials.thisTrialN,target,category,correct,test_encoding_response.rt,key_resp_end.keys,subject
0,20,,1.0,0.0,badlands_184.jpg,badlands,,,,A17K1CHOI773VZ
1,21,,1.0,1.0,badlands_23.jpg,badlands,,,,A17K1CHOI773VZ
2,22,,1.0,2.0,bridge_191.jpg,bridge,,,,A17K1CHOI773VZ
3,23,,1.0,3.0,badlands_113.jpg,badlands,,,,A17K1CHOI773VZ
4,24,,1.0,4.0,mountain_156.jpg,mountain,,,,A17K1CHOI773VZ
5,25,,1.0,5.0,mountain_222.jpg,mountain,,,,A17K1CHOI773VZ
6,26,,1.0,6.0,bridge_146.jpg,bridge,,,,A17K1CHOI773VZ
7,27,,1.0,7.0,playground_60.jpg,playground,,,,A17K1CHOI773VZ
8,28,,1.0,8.0,mountain_57.jpg,mountain,,,,A17K1CHOI773VZ
9,29,,1.0,9.0,highway_394.jpg,highway,,,,A17K1CHOI773VZ
10,30,,1.0,10.0,bridge_65.jpg,bridge,,,,A17K1CHOI773VZ
11,31,,1.0,11.0,playground_145.jpg,playground,,,,A17K1CHOI773VZ
12,32,right,1.0,12.0,right.jpg,,right,1.1474,,A17K1CHOI773VZ
13,33,,1.0,13.0,badlands_137.jpg,badlands,,,,A17K1CHOI773VZ
14,34,,1.0,14.0,bridge_256.jpg,bridge,,,,A17K1CHOI773VZ
15,35,,1.0,15.0,playground_76.jpg,playground,,,,A17K1CHOI773VZ
16,36,,1.0,16.0,golf_course_188.jpg,golf,,,,A17K1CHOI773VZ
17,37,,1.0,17.0,mountain_154.jpg,mountain,,,,A17K1CHOI773VZ
18,38,right,1.0,18.0,right.jpg,,right,1.1749,,A17K1CHOI773VZ
19,39,,1.0,19.0,bridge_91.jpg,bridge,,,,A17K1CHOI773VZ
20,40,,1.0,20.0,playground_219.jpg,playground,,,,A17K1CHOI773VZ
21,41,,1.0,21.0,playground_117.jpg,playground,,,,A17K1CHOI773VZ
22,42,,1.0,22.0,mountain_123.jpg,mountain,,,,A17K1CHOI773VZ
23,43,,1.0,23.0,golf_course_217.jpg,golf,,,,A17K1CHOI773VZ
24,44,,1.0,24.0,golf_course_15.jpg,golf,,,,A17K1CHOI773VZ
25,45,,1.0,25.0,mountain_101.jpg,mountain,,,,A17K1CHOI773VZ
26,46,,1.0,26.0,highway_359.jpg,highway,,,,A17K1CHOI773VZ
27,47,,1.0,27.0,golf_course_87.jpg,golf,,,,A17K1CHOI773VZ
28,48,,1.0,28.0,playground_240.jpg,playground,,,,A17K1CHOI773VZ
29,49,left,1.0,29.0,left.jpg,,left,1.2815,,A17K1CHOI773VZ
30,50,,1.0,30.0,playground_144.jpg,playground,,,,A17K1CHOI773VZ
31,51,,1.0,31.0,badlands_21.jpg,badlands,,,,A17K1CHOI773VZ
32,52,,1.0,32.0,bridge_250.jpg,bridge,,,,A17K1CHOI773VZ
33,53,,1.0,33.0,playground_257.jpg,playground,,,,A17K1CHOI773VZ
34,54,,1.0,34.0,highway_245.jpg,highway,,,,A17K1CHOI773VZ
35,55,,1.0,35.0,bridge_202.jpg,bridge,,,,A17K1CHOI773VZ
36,56,,1.0,36.0,golf_course_214.jpg,golf,,,,A17K1CHOI773VZ
37,57,,1.0,37.0,badlands_24.jpg,badlands,,,,A17K1CHOI773VZ
38,58,,1.0,38.0,mountain_230.jpg,mountain,,,,A17K1CHOI773VZ
39,59,,1.0,39.0,playground_10.jpg,playground,,,,A17K1CHOI773VZ
40,60,,1.0,40.0,golf_course_193.jpg,golf,,,,A17K1CHOI773VZ
41,61,,1.0,41.0,mountain_293.jpg,mountain,,,,A17K1CHOI773VZ
42,62,,1.0,42.0,golf_course_78.jpg,golf,,,,A17K1CHOI773VZ
43,63,,1.0,43.0,bridge_172.jpg,bridge,,,,A17K1CHOI773VZ
44,64,right,1.0,44.0,right.jpg,,right,1.4754,,A17K1CHOI773VZ
45,65,,1.0,45.0,highway_209.jpg,highway,,,,A17K1CHOI773VZ
46,66,,1.0,46.0,bridge_108.jpg,bridge,,,,A17K1CHOI773VZ
47,67,,1.0,47.0,highway_273.jpg,highway,,,,A17K1CHOI773VZ
48,68,,1.0,48.0,badlands_52.jpg,badlands,,,,A17K1CHOI773VZ
49,69,,1.0,49.0,badlands_221.jpg,badlands,,,,A17K1CHOI773VZ
50,70,,1.0,50.0,golf_course_309.jpg,golf,,,,A17K1CHOI773VZ
51,71,,1.0,51.0,badlands_222.jpg,badlands,,,,A17K1CHOI773VZ
52,72,,1.0,52.0,highway_156.jpg,highway,,,,A17K1CHOI773VZ
53,73,,1.0,53.0,highway_415.jpg,highway,,,,A17K1CHOI773VZ
54,74,left,1.0,54.0,left.jpg,,left,1.6218,,A17K1CHOI773VZ
55,75,,1.0,55.0,mountain_232.jpg,mountain,,,,A17K1CHOI773VZ
56,76,,1.0,56.0,highway_177.jpg,highway,,,,A17K1CHOI773VZ
57,77,,1.0,57.0,playground_131.jpg,playground,,,,A17K1CHOI773VZ
58,78,,1.0,58.0,mountain_110.jpg,mountain,,,,A17K1CHOI773VZ
59,79,,1.0,59.0,badlands_70.jpg,badlands,,,,A17K1CHOI773VZ
60,80,,1.0,60.0,highway_93.jpg,highway,,,,A17K1CHOI773VZ
61,81,,1.0,61.0,bridge_128.jpg,bridge,,,,A17K1CHOI773VZ
62,82,,1.0,62.0,highway_294.jpg,highway,,,,A17K1CHOI773VZ
63,83,,1.0,63.0,golf_course_195.jpg,golf,,,,A17K1CHOI773VZ
64,84,,1.0,64.0,golf_course_331.jpg,golf,,,,A17K1CHOI773VZ
65,20,,1.0,0.0,golf_course_15.jpg,golf,,,,AZZ2C92JSZ5LZ
66,21,,1.0,1.0,badlands_221.jpg,badlands,,,,AZZ2C92JSZ5LZ
67,22,,1.0,2.0,playground_76.jpg,playground,,,,AZZ2C92JSZ5LZ
68,23,,1.0,3.0,golf_course_87.jpg,golf,,,,AZZ2C92JSZ5LZ
69,24,,1.0,4.0,playground_257.jpg,playground,,,,AZZ2C92JSZ5LZ
70,25,,1.0,5.0,mountain_156.jpg,mountain,,,,AZZ2C92JSZ5LZ
71,26,,1.0,6.0,golf_course_193.jpg,golf,,,,AZZ2C92JSZ5LZ
72,27,,1.0,7.0,bridge_65.jpg,bridge,,,,AZZ2C92JSZ5LZ
73,28,,1.0,8.0,golf_course_309.jpg,golf,,,,AZZ2C92JSZ5LZ
74,29,right,1.0,9.0,right.jpg,,right,1.4925,,AZZ2C92JSZ5LZ
