,index,test_encoding_response.keys,test_encoding_response.corr,trials.thisTrialN,target,correct,test_encoding_response.rt,key_resp_end.keys,subject
0,20,,1.0,0.0,bridge_256.jpg,,,,A1ZFUHVIPQOVGK
1,21,,1.0,1.0,highway_359.jpg,,,,A1ZFUHVIPQOVGK
2,22,,1.0,2.0,badlands_70.jpg,,,,A1ZFUHVIPQOVGK
3,23,,1.0,3.0,mountain_222.jpg,,,,A1ZFUHVIPQOVGK
4,24,,1.0,4.0,playground_76.jpg,,,,A1ZFUHVIPQOVGK
5,25,,1.0,5.0,bridge_250.jpg,,,,A1ZFUHVIPQOVGK
6,26,,1.0,6.0,mountain_232.jpg,,,,A1ZFUHVIPQOVGK
7,27,,1.0,7.0,badlands_21.jpg,,,,A1ZFUHVIPQOVGK
8,28,,1.0,8.0,golf_course_309.jpg,,,,A1ZFUHVIPQOVGK
9,29,,1.0,9.0,highway_415.jpg,,,,A1ZFUHVIPQOVGK
10,30,,1.0,10.0,mountain_154.jpg,,,,A1ZFUHVIPQOVGK
11,31,,1.0,11.0,bridge_128.jpg,,,,A1ZFUHVIPQOVGK
12,32,,1.0,12.0,highway_273.jpg,,,,A1ZFUHVIPQOVGK
13,33,,1.0,13.0,bridge_202.jpg,,,,A1ZFUHVIPQOVGK
14,34,right,1.0,14.0,right.jpg,right,1.4302,,A1ZFUHVIPQOVGK
15,35,,1.0,15.0,mountain_110.jpg,,,,A1ZFUHVIPQOVGK
16,36,,1.0,16.0,bridge_191.jpg,,,,A1ZFUHVIPQOVGK
17,37,,1.0,17.0,badlands_113.jpg,,,,A1ZFUHVIPQOVGK
18,38,left,1.0,18.0,left.jpg,left,1.4184,,A1ZFUHVIPQOVGK
19,39,,1.0,19.0,golf_course_195.jpg,,,,A1ZFUHVIPQOVGK
20,40,,1.0,20.0,playground_60.jpg,,,,A1ZFUHVIPQOVGK
21,41,,1.0,21.0,mountain_101.jpg,,,,A1ZFUHVIPQOVGK
22,42,,1.0,22.0,golf_course_217.jpg,,,,A1ZFUHVIPQOVGK
