,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,demo_bar_2.response,subject
0,4,0.0,flower1.jpg,,,,12.0,left,1.0,8.4058,0.0,flower1.jpg,flower1_pair.jpg,left,7.0,A1ZFUHVIPQOVGK
1,5,1.0,flower2.jpg,,,,13.0,right,1.0,5.3223,1.0,flower2_pair.jpg,flower2.jpg,right,7.0,A1ZFUHVIPQOVGK
2,6,2.0,left.jpg,left,1.2268,left,14.0,left,1.0,2.6095,2.0,flower3.jpg,flower3_pair.jpg,left,6.0,A1ZFUHVIPQOVGK
3,7,3.0,flower3.jpg,,,,15.0,right,0.0,5.1168,3.0,flower4.jpg,flower4_pair.jpg,left,6.0,A1ZFUHVIPQOVGK
4,8,4.0,flower4.jpg,,,,16.0,right,1.0,21.3688,4.0,flower5_pair.jpg,flower5.jpg,right,6.0,A1ZFUHVIPQOVGK
5,9,5.0,flower5.jpg,,,,17.0,left,1.0,21.1543,5.0,flower6.jpg,flower6_pair.jpg,left,5.0,A1ZFUHVIPQOVGK
6,10,6.0,flower6.jpg,,,,,,,,,,,,,A1ZFUHVIPQOVGK
7,4,0.0,flower1.jpg,,,,12.0,right,0.0,10.9384,0.0,flower1.jpg,flower1_pair.jpg,left,7.0,A1AMGHYG5PT0L2
8,5,1.0,flower2.jpg,,,,13.0,right,1.0,1.9105,1.0,flower2_pair.jpg,flower2.jpg,right,7.0,A1AMGHYG5PT0L2
9,6,2.0,left.jpg,left,0.4311,left,14.0,right,0.0,1.0374,2.0,flower3.jpg,flower3_pair.jpg,left,5.0,A1AMGHYG5PT0L2
10,7,3.0,flower3.jpg,,,,15.0,right,0.0,0.9633,3.0,flower4.jpg,flower4_pair.jpg,left,4.0,A1AMGHYG5PT0L2
11,8,4.0,flower4.jpg,,,,16.0,right,1.0,0.7442,4.0,flower5_pair.jpg,flower5.jpg,right,6.0,A1AMGHYG5PT0L2
12,9,5.0,flower5.jpg,,,,17.0,right,0.0,0.598,5.0,flower6.jpg,flower6_pair.jpg,left,4.0,A1AMGHYG5PT0L2
13,10,6.0,flower6.jpg,,,,,,,,,,,,,A1AMGHYG5PT0L2
