image1,image2,level_0,level_1,level_2,level_3,level_4,level_5,level_6,distractor_level
AMERICAN_AVOCET_5.jpg,BREWERS_BLACKBIRD_3.jpg,0.2778278,0.2891752,0.22587281,0.2022359,0.22763094,0.1672873,0.17677468,1
AFRICAN_OYSTER_CATCHER_2.jpg,BREWERS_BLACKBIRD_3.jpg,0.24250892,0.2520208,0.18654305,0.17137122,0.34700796,0.42616642,0.40891775,2
BROWN_NOODY_3.jpg,PEACOCK_5.jpg,0.29353148,0.2737729,0.17102107,0.08328953,0.1003958,0.1683225,0.0976896,0
BROWN_NOODY_3.jpg,COMMON_IORA_3.jpg,0.31966776,0.33424664,0.29058036,0.30854294,0.32604954,0.27904978,0.2184886,1
BROWN_NOODY_3.jpg,UMBRELLA_BIRD_4.jpg,0.2553393,0.26727235,0.19128646,0.1421276,0.15556422,0.4025627,0.42642084,2
BROWN_THRASHER_3.jpg,RED_BEARDED_BEE_EATER_4.jpg,0.55614287,0.32590124,0.18358217,0.13136621,0.15626068,0.24047638,0.19747807,0
BROWN_THRASHER_3.jpg,RED_HEADED_WOODPECKER_2.jpg,0.28456587,0.30396298,0.24795552,0.27643323,0.25661713,0.21814016,0.21739765,1
BROWN_THRASHER_3.jpg,CRESTED_KINGFISHER_3.jpg,0.22862288,0.23726287,0.18174785,0.14682329,0.20599347,0.28679955,0.3308768,2
CASPIAN_TERN_1.jpg,COMMON_POORWILL_4.jpg,0.32947755,0.2783022,0.21210644,0.1377922,0.11536532,0.116100796,0.093644306,0
AMERICAN_GOLDFINCH_3.jpg,CASPIAN_TERN_1.jpg,0.28261763,0.29610163,0.24565694,0.23391916,0.2580938,0.2554444,0.17025848,1
CASPIAN_TERN_1.jpg,MASKED_BOOBY_1.jpg,0.2680329,0.2710786,0.2025362,0.1519223,0.2618331,0.39964688,0.4408312,2
CASSOWARY_1.jpg,CEDAR_WAXWING_4.jpg,0.5256608,0.3793577,0.2158335,0.1354979,0.09787105,0.14283164,0.095835805,0
CASSOWARY_1.jpg,EASTERN_ROSELLA_2.jpg,0.2680977,0.29244772,0.1996728,0.15193708,0.11737434,0.14415357,0.11985091,1
CASSOWARY_1.jpg,WHITE_NECKED_RAVEN_5.jpg,0.29073325,0.29441315,0.20385782,0.19269846,0.28405395,0.36646086,0.3245533,2
CERULEAN_WARBLER_1.jpg,DALMATIAN_PELICAN_5.jpg,0.3449564,0.28823656,0.196293,0.11245391,0.16440332,0.15309697,0.10396601,0
CERULEAN_WARBLER_1.jpg,COCK_OF_THE__ROCK_2.jpg,0.23765522,0.25135955,0.1923714,0.14880785,0.14000599,0.19327979,0.18455218,1
CERULEAN_WARBLER_1.jpg,CRESTED_OROPENDOLA_5.jpg,0.24061117,0.25149593,0.18111487,0.1543701,0.21205194,0.3581261,0.441069,2
CHUKAR_PARTRIDGE_5.jpg,EMU_1.jpg,0.35591695,0.29947045,0.18701783,0.10436744,0.07139396,0.11881057,0.110165164,0
ASIAN_DOLLARD_BIRD_4.jpg,CHUKAR_PARTRIDGE_5.jpg,0.2879869,0.28541097,0.24612403,0.26962167,0.26342747,0.27344978,0.2451281,1
CHUKAR_PARTRIDGE_5.jpg,PUFFIN_3.jpg,0.26041177,0.25181434,0.19477117,0.16584946,0.27450746,0.41254428,0.39551914,2
CRAB_PLOVER_5.jpg,CRESTED_CARACARA_4.jpg,0.42577326,0.33022967,0.23303531,0.20018375,0.2548506,0.22617257,0.19899887,0
CRESTED_CARACARA_4.jpg,PARADISE_TANAGER_1.jpg,0.24624644,0.27840808,0.22210889,0.22855368,0.27617377,0.2780872,0.21994655,1
CREAM_COLORED_WOODPECKER_1.jpg,CRESTED_CARACARA_4.jpg,0.26516867,0.27402133,0.2088258,0.1433796,0.25984517,0.35785064,0.42368925,2
CRESTED_NUTHATCH_2.jpg,DOUBLE_BRESTED_CORMARANT_4.jpg,0.52850115,0.34791276,0.22823757,0.1786856,0.19526424,0.21510395,0.20816197,0
CRESTED_NUTHATCH_2.jpg,GOLDEN_CHLOROPHONIA_1.jpg,0.32702422,0.36221334,0.28692213,0.32757682,0.42164367,0.4490143,0.3591229,1
CRESTED_NUTHATCH_2.jpg,VERMILION_FLYCATHER_4.jpg,0.20530817,0.27129018,0.20527087,0.15643618,0.23776996,0.35646155,0.40327132,2
DOUBLE_BRESTED_CORMARANT_5.jpg,SNOWY_OWL_3.jpg,0.46410853,0.32589713,0.22639656,0.17242095,0.15332235,0.19854093,0.23013575,0
DOUBLE_BRESTED_CORMARANT_5.jpg,PATAGONIAN_SIERRA_FINCH_2.jpg,0.34802163,0.36843303,0.3181349,0.29646185,0.24933906,0.23223762,0.20764244,1
ANHINGA_5.jpg,DOUBLE_BRESTED_CORMARANT_5.jpg,0.2782879,0.30046928,0.18884097,0.14378442,0.13547757,0.34496284,0.4269693,2
BLUE_HERON_3.jpg,EASTERN_TOWEE_2.jpg,0.35911918,0.30625,0.21127759,0.11888377,0.12732075,0.17131406,0.14359415,0
ANDEAN_GOOSE_3.jpg,EASTERN_TOWEE_2.jpg,0.27987146,0.2509995,0.20230585,0.17954424,0.18574303,0.16590595,0.1540951,1
EASTERN_TOWEE_2.jpg,GOLDEN_CHEEKED_WARBLER_1.jpg,0.24770263,0.24889854,0.21821648,0.16612253,0.256236,0.43141472,0.467423,2
AMERICAN_FLAMINGO_1.jpg,ECUADORIAN_HILLSTAR_5.jpg,0.34132093,0.26094672,0.16080755,0.12500694,0.100004606,0.114922695,0.13304058,0
CASSOWARY_2.jpg,ECUADORIAN_HILLSTAR_5.jpg,0.27724847,0.3165383,0.22757708,0.18953365,0.14483437,0.17916301,0.15637895,1
ECUADORIAN_HILLSTAR_5.jpg,GREEN_BROADBILL_4.jpg,0.1706543,0.28186834,0.19969633,0.16746439,0.22139685,0.36061472,0.39738113,2
EUROPEAN_TURTLE_DOVE_3.jpg,SNOWY_EGRET_3.jpg,0.41864997,0.30350676,0.20172963,0.119466506,0.10379208,0.23165181,0.24322815,0
CAPE_GLOSSY_STARLING_1.jpg,EUROPEAN_TURTLE_DOVE_3.jpg,0.33116722,0.30646673,0.21089774,0.2815363,0.30284506,0.24235688,0.23401557,1
BROWN_THRASHER_2.jpg,EUROPEAN_TURTLE_DOVE_3.jpg,0.29359373,0.28689235,0.22385499,0.17567918,0.24860188,0.3905706,0.44636014,2
FLAME_BOWERBIRD_3.jpg,SPOON_BILED_SANDPIPER_5.jpg,0.35429633,0.2944097,0.19232658,0.14193153,0.16710573,0.15863214,0.08858706,0
BLACK_THROATED_WARBLER_4.jpg,FLAME_BOWERBIRD_3.jpg,0.2505781,0.28121093,0.22671492,0.2443475,0.31843504,0.29209507,0.20651707,1
FLAME_BOWERBIRD_3.jpg,GOULDIAN_FINCH_1.jpg,0.24739367,0.27898914,0.18600129,0.14139453,0.24335526,0.41823295,0.4381604,2
EGYPTIAN_GOOSE_3.jpg,GILA_WOODPECKER_3.jpg,0.38009444,0.30363068,0.17987318,0.10633467,0.120754205,0.17377144,0.24608691,0
ALEXANDRINE_PARAKEET_2.jpg,GILA_WOODPECKER_3.jpg,0.30882308,0.3085605,0.24584031,0.25850174,0.2963476,0.25496054,0.26665166,1
AZURE_TANAGER_1.jpg,GILA_WOODPECKER_3.jpg,0.2629427,0.2645947,0.19721739,0.1426461,0.3010317,0.3764911,0.444038,2
GOLDEN_CHEEKED_WARBLER_2.jpg,RED_HEADED_DUCK_3.jpg,0.3472763,0.2761364,0.1912381,0.14201795,0.1494365,0.15012334,0.12528628,0
GOLDEN_CHEEKED_WARBLER_2.jpg,GUINEAFOWL_3.jpg,0.29506546,0.26267517,0.18620436,0.17671081,0.16770332,0.12330358,0.13044362,1
DARJEELING_WOODPECKER_1.jpg,GOLDEN_CHEEKED_WARBLER_2.jpg,0.23809263,0.22652675,0.17333113,0.1710482,0.3049152,0.43351996,0.4513424,2
GOLDEN_CHLOROPHONIA_5.jpg,WHIMBREL_1.jpg,0.4296281,0.3202405,0.20922744,0.12715216,0.11068879,0.16772453,0.09395063,0
GOLDEN_CHLOROPHONIA_5.jpg,INLAND_DOTTEREL_5.jpg,0.32767832,0.3352716,0.26296353,0.2911225,0.23074879,0.22487147,0.13327964,1
DARWINS_FLYCATCHER_3.jpg,GOLDEN_CHLOROPHONIA_5.jpg,0.23100479,0.32268324,0.22664277,0.17612125,0.3310153,0.5244214,0.47476202,2
GRAY_KINGBIRD_5.jpg,PEACOCK_1.jpg,0.37621415,0.29314283,0.18710777,0.09551898,0.082527354,0.17718747,0.11630877,0
BLACK_SWAN_5.jpg,GRAY_KINGBIRD_5.jpg,0.31711596,0.27894774,0.1982212,0.17097895,0.12900735,0.113799475,0.12316481,1
EVENING_GROSBEAK_4.jpg,GRAY_KINGBIRD_5.jpg,0.23634699,0.2883724,0.23197052,0.1777172,0.2699503,0.41370636,0.47443995,2
GREY_PLOVER_1.jpg,TURKEY_VULTURE_1.jpg,0.35937247,0.30415174,0.20325162,0.13554141,0.11654872,0.16049649,0.15754864,0
BORNEAN_LEAFBIRD_2.jpg,GREY_PLOVER_1.jpg,0.26721296,0.28140265,0.23157538,0.27919698,0.3074482,0.22738656,0.19296025,1
BURCHELLS_COURSER_5.jpg,GREY_PLOVER_1.jpg,0.26335713,0.24400502,0.18770632,0.15033014,0.18603598,0.37915248,0.4678574,2
GREY_PLOVER_3.jpg,GYRFALCON_1.jpg,0.43316168,0.3481541,0.21848401,0.12928551,0.13686398,0.21044971,0.21586123,0
CAPE_ROCK_THRUSH_2.jpg,GYRFALCON_1.jpg,0.35830712,0.34920353,0.2723442,0.30036643,0.32092592,0.22840343,0.16625111,1
GYRFALCON_1.jpg,YELLOW_HEADED_BLACKBIRD_3.jpg,0.26449013,0.28065106,0.18979563,0.1510196,0.27979398,0.35502133,0.37920898,2
DOUBLE_EYED_FIG_PARROT_1.jpg,HAWAIIAN_GOOSE_4.jpg,0.52235425,0.33059993,0.21979629,0.16284275,0.08136375,0.14145088,0.14016014,0
HAWAIIAN_GOOSE_4.jpg,NORTHERN_GANNET_1.jpg,0.26786146,0.30799404,0.25280648,0.22948058,0.2597882,0.24848713,0.26319885,1
BROWN_NOODY_5.jpg,HAWAIIAN_GOOSE_4.jpg,0.27807078,0.29951358,0.22456148,0.16191229,0.26484972,0.38698238,0.45554432,2
INCA_TERN_4.jpg,SNOWY_OWL_5.jpg,0.33261746,0.292829,0.21985435,0.16243288,0.11092879,0.11074148,0.08965962,0
FASCIATED_WREN_4.jpg,INCA_TERN_4.jpg,0.30356282,0.30075637,0.257254,0.24423325,0.1838657,0.13717452,0.14823866,1
INCA_TERN_4.jpg,WHITE_NECKED_RAVEN_4.jpg,0.27074257,0.27453884,0.19313589,0.14239706,0.15621418,0.3587877,0.44386807,2
