,target_image,layer1,layer2,layer3,layer1_2nd_best,layer2_2nd_best,layer3_2nd_best
47,NORTHERN_JACANA_3.jpg,BANANAQUIT_3.jpg,REGENT_BOWERBIRD_5.jpg,BAR-TAILED_GODWIT_3.jpg,BEARDED_BELLBIRD_3.jpg,ASHY_THRUSHBIRD_4.jpg,SHORT_BILLED_DOWITCHER_5.jpg
48,OCELLATED_TURKEY_1.jpg,CHIPPING_SPARROW_1.jpg,LARK_BUNTING_1.jpg,PURPLE_SWAMPHEN_4.jpg,KAKAPO_4.jpg,AMERICAN_KESTREL_2.jpg,GLOSSY_IBIS_2.jpg
49,OVENBIRD_5.jpg,JABIRU_4.jpg,FAIRY_PENGUIN_1.jpg,PURPLE_FINCH_5.jpg,TURQUOISE_MOTMOT_3.jpg,ABBOTTS_BOOBY_2.jpg,GILDED_FLICKER_1.jpg
50,PARUS_MAJOR_1.jpg,COMMON_POORWILL_1.jpg,CALIFORNIA_GULL_2.jpg,PINK_ROBIN_3.jpg,OSTRICH_4.jpg,BLACK_SWAN_4.jpg,FAIRY_BLUEBIRD_5.jpg
51,PEACOCK_3.jpg,ANIANIAU_2.jpg,STRAWBERRY_FINCH_4.jpg,IBERIAN_MAGPIE_2.jpg,ANDEAN_SISKIN_5.jpg,RED_FODY_5.jpg,CHATTERING_LORY_3.jpg
52,PINK_ROBIN_4.jpg,SPOONBILL_3.jpg,ALBATROSS_4.jpg,COMMON_IORA_4.jpg,BEARDED_BARBET_2.jpg,JACK_SNIPE_5.jpg,GREEN_MAGPIE_3.jpg
53,PYGMY_KINGFISHER_5.jpg,GRANDALA_2.jpg,GREAT_POTOO_3.jpg,NORTHERN_PARULA_5.jpg,MIKADO__PHEASANT_5.jpg,OYSTER_CATCHER_5.jpg,BLUE_THROATED_TOUCANET_3.jpg
54,RED_FACED_WARBLER_1.jpg,EMU_5.jpg,BLACK_VENTED_SHEARWATER_4.jpg,CAPE_GLOSSY_STARLING_2.jpg,SPOONBILL_4.jpg,COMMON_LOON_4.jpg,CRESTED_OROPENDOLA_4.jpg
55,RED_HEADED_WOODPECKER_5.jpg,GREAT_GRAY_OWL_5.jpg,CRIMSON_CHAT_3.jpg,COLLARED_ARACARI_1.jpg,KIWI_1.jpg,DAURIAN_REDSTART_5.jpg,BLACKBURNIAM_WARBLER_4.jpg
56,RUBY_THROATED_HUMMINGBIRD_1.jpg,EURASIAN_GOLDEN_ORIOLE_5.jpg,VULTURINE_GUINEAFOWL_4.jpg,FRIGATE_1.jpg,BROWN_THRASHER_1.jpg,BEARDED_REEDLING_3.jpg,NORTHERN_CARDINAL_1.jpg
