button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_bar_2.response,demo_bar_2.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target,category,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,bar_2.response,bar_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,layer,key_resp_end_2.keys,key_resp_end_2.rt
1,[60.363699999988086],[60.36379999998209],A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,space,10.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,1,0,0,0,0,1,flower1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,1,0,1,1,1,1,flower2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,left,1,0,2,2,2,1,left.jpg,left,0.8289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,1,0,3,3,3,1,flower3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,1,0,4,4,4,1,flower4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,1,0,5,5,5,1,flower5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,1,0,6,6,6,1,flower6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,,,,,,,,,,left,1,64.8006,8,10.4486,0,0,0,0,1,flower1.jpg,flower1_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,,,,,,,,,,left,0,8.9664,8,5.2758,0,1,1,1,1,flower2_pair.jpg,flower2.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,,,,,,,,,,left,1,3.6672,7,3.644,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,,,,,,,,,,left,1,7.7485,6,3.9265,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,,,,,,,,,,left,0,2.7142,6,3.5515,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,,,,,,,,,,right,0,3.6418,4,4.3915,0,5,5,5,1,flower6.jpg,flower6_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,space,8.4136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,bridge_91.jpg,bridge,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,playground_219.jpg,playground,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,1,mountain_110.jpg,mountain,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,3,3,1,golf_course_78.jpg,golf,,,,,,,,,,,,,,,,,,,
,,,A34A8MQJ7X1LCS,26,Male,8,2023-03-29_10h55.58.354,memory_pilot_most_recent,2022.2.4,Win32,10.75905105,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,4,1,golf_course_217.jpg,golf,,,,,,,,,,,,,,,,,,,
