target,selected_dist,distractor_level,image1,image2,correct,category,background_0,background_1,background_2,background_3,background_4,background_5,target_index
badlands_221.jpg,badlands_207.jpg,1,badlands_221.jpg,badlands_207.jpg,left,badlands,golf_course_297.jpg,playground_103.jpg,badlands_221.jpg,mountain_190.jpg,bridge_158.jpg,highway_404.jpg,2
badlands_70.jpg,badlands_102.jpg,0,badlands_70.jpg,badlands_102.jpg,left,badlands,bridge_180.jpg,mountain_166.jpg,playground_118.jpg,badlands_70.jpg,golf_course_196.jpg,highway_247.jpg,3
mountain_293.jpg,mountain_47.jpg,1,mountain_47.jpg,mountain_293.jpg,right,mountain,mountain_293.jpg,golf_course_179.jpg,badlands_215.jpg,bridge_52.jpg,highway_365.jpg,playground_78.jpg,0
highway_177.jpg,highway_278.jpg,1,highway_177.jpg,highway_278.jpg,left,highway,highway_177.jpg,badlands_219.jpg,golf_course_42.jpg,mountain_277.jpg,playground_256.jpg,bridge_167.jpg,0
golf_course_214.jpg,golf_course_312.jpg,0,golf_course_312.jpg,golf_course_214.jpg,right,golf,mountain_45.jpg,badlands_183.jpg,playground_124.jpg,golf_course_214.jpg,highway_154.jpg,bridge_62.jpg,3
badlands_52.jpg,badlands_63.jpg,1,badlands_52.jpg,badlands_63.jpg,left,badlands,badlands_52.jpg,highway_42.jpg,mountain_39.jpg,bridge_197.jpg,playground_173.jpg,golf_course_199.jpg,0
highway_93.jpg,highway_85.jpg,0,highway_85.jpg,highway_93.jpg,right,highway,bridge_79.jpg,highway_93.jpg,playground_248.jpg,mountain_62.jpg,golf_course_313.jpg,badlands_6.jpg,1
highway_294.jpg,highway_203.jpg,0,highway_203.jpg,highway_294.jpg,right,highway,playground_49.jpg,golf_course_0.jpg,badlands_16.jpg,bridge_20.jpg,highway_294.jpg,mountain_253.jpg,4
golf_course_195.jpg,golf_course_25.jpg,0,golf_course_195.jpg,golf_course_25.jpg,left,golf,bridge_126.jpg,highway_313.jpg,playground_54.jpg,badlands_72.jpg,golf_course_195.jpg,mountain_41.jpg,4
badlands_23.jpg,badlands_101.jpg,1,badlands_101.jpg,badlands_23.jpg,right,badlands,golf_course_241.jpg,badlands_23.jpg,bridge_224.jpg,playground_37.jpg,mountain_198.jpg,highway_308.jpg,1
highway_415.jpg,highway_60.jpg,0,highway_415.jpg,highway_60.jpg,left,highway,highway_415.jpg,playground_68.jpg,bridge_142.jpg,badlands_217.jpg,mountain_226.jpg,golf_course_102.jpg,0
playground_219.jpg,playground_205.jpg,1,playground_205.jpg,playground_219.jpg,right,playground,badlands_55.jpg,golf_course_219.jpg,bridge_254.jpg,highway_269.jpg,playground_219.jpg,mountain_249.jpg,4
badlands_184.jpg,badlands_103.jpg,1,badlands_184.jpg,badlands_103.jpg,left,badlands,badlands_184.jpg,golf_course_128.jpg,bridge_190.jpg,playground_258.jpg,mountain_87.jpg,highway_413.jpg,0
badlands_24.jpg,badlands_3.jpg,0,badlands_3.jpg,badlands_24.jpg,right,badlands,badlands_24.jpg,bridge_120.jpg,playground_162.jpg,mountain_251.jpg,golf_course_3.jpg,highway_53.jpg,0
playground_117.jpg,playground_127.jpg,1,playground_117.jpg,playground_127.jpg,left,playground,playground_117.jpg,bridge_225.jpg,golf_course_226.jpg,highway_287.jpg,mountain_33.jpg,badlands_122.jpg,0
golf_course_188.jpg,golf_course_160.jpg,1,golf_course_188.jpg,golf_course_160.jpg,left,golf,highway_257.jpg,golf_course_188.jpg,playground_6.jpg,mountain_88.jpg,bridge_155.jpg,badlands_59.jpg,1
bridge_250.jpg,bridge_134.jpg,0,bridge_250.jpg,bridge_134.jpg,left,bridge,bridge_250.jpg,mountain_233.jpg,golf_course_300.jpg,playground_55.jpg,badlands_54.jpg,highway_101.jpg,0
badlands_222.jpg,badlands_62.jpg,1,badlands_62.jpg,badlands_222.jpg,right,badlands,bridge_118.jpg,badlands_222.jpg,mountain_51.jpg,playground_204.jpg,golf_course_116.jpg,highway_335.jpg,1
playground_60.jpg,playground_268.jpg,0,playground_268.jpg,playground_60.jpg,right,playground,playground_60.jpg,mountain_40.jpg,bridge_193.jpg,highway_78.jpg,badlands_201.jpg,golf_course_72.jpg,0
golf_course_331.jpg,golf_course_26.jpg,1,golf_course_331.jpg,golf_course_26.jpg,left,golf,mountain_146.jpg,playground_33.jpg,highway_172.jpg,badlands_36.jpg,golf_course_331.jpg,bridge_76.jpg,4
bridge_146.jpg,bridge_121.jpg,1,bridge_121.jpg,bridge_146.jpg,right,bridge,golf_course_202.jpg,badlands_173.jpg,playground_140.jpg,highway_9.jpg,bridge_146.jpg,mountain_19.jpg,4
bridge_191.jpg,bridge_75.jpg,1,bridge_191.jpg,bridge_75.jpg,left,bridge,highway_147.jpg,mountain_228.jpg,bridge_191.jpg,playground_241.jpg,badlands_227.jpg,golf_course_71.jpg,2
mountain_154.jpg,mountain_95.jpg,1,mountain_154.jpg,mountain_95.jpg,left,mountain,badlands_166.jpg,golf_course_338.jpg,mountain_154.jpg,bridge_152.jpg,playground_154.jpg,highway_354.jpg,2
playground_131.jpg,playground_43.jpg,0,playground_131.jpg,playground_43.jpg,left,playground,mountain_192.jpg,playground_131.jpg,highway_251.jpg,golf_course_67.jpg,bridge_106.jpg,badlands_85.jpg,1
highway_394.jpg,highway_406.jpg,1,highway_406.jpg,highway_394.jpg,right,highway,bridge_1.jpg,highway_394.jpg,golf_course_333.jpg,mountain_152.jpg,playground_235.jpg,badlands_80.jpg,1
bridge_256.jpg,bridge_211.jpg,1,bridge_256.jpg,bridge_211.jpg,left,bridge,mountain_202.jpg,golf_course_269.jpg,highway_76.jpg,bridge_256.jpg,badlands_79.jpg,playground_196.jpg,3
bridge_91.jpg,bridge_82.jpg,1,bridge_82.jpg,bridge_91.jpg,right,bridge,golf_course_174.jpg,highway_83.jpg,mountain_91.jpg,bridge_91.jpg,playground_30.jpg,badlands_20.jpg,3
golf_course_193.jpg,golf_course_235.jpg,0,golf_course_193.jpg,golf_course_235.jpg,left,golf,mountain_92.jpg,badlands_211.jpg,golf_course_193.jpg,playground_251.jpg,bridge_68.jpg,highway_107.jpg,2
bridge_108.jpg,bridge_148.jpg,1,bridge_148.jpg,bridge_108.jpg,right,bridge,bridge_108.jpg,badlands_185.jpg,highway_29.jpg,playground_233.jpg,mountain_22.jpg,golf_course_181.jpg,0
mountain_123.jpg,mountain_94.jpg,0,mountain_94.jpg,mountain_123.jpg,right,mountain,golf_course_56.jpg,bridge_204.jpg,highway_138.jpg,playground_237.jpg,mountain_123.jpg,badlands_106.jpg,4
golf_course_78.jpg,golf_course_134.jpg,0,golf_course_78.jpg,golf_course_134.jpg,left,golf,golf_course_78.jpg,highway_36.jpg,bridge_218.jpg,badlands_216.jpg,mountain_169.jpg,playground_165.jpg,0
