,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,demo_bar_2.response,subject
42,4,0.0,flower1.jpg,,,,12.0,left,1.0,1.9049,0.0,flower1.jpg,flower1_pair.jpg,left,7.0,A8C3WNWRBWUXO
43,5,1.0,flower2.jpg,,,,13.0,right,1.0,4.5708,1.0,flower2_pair.jpg,flower2.jpg,right,5.0,A8C3WNWRBWUXO
44,6,2.0,left.jpg,left,0.5981,left,14.0,left,1.0,2.5557,2.0,flower3.jpg,flower3_pair.jpg,left,6.0,A8C3WNWRBWUXO
45,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.0384,3.0,flower4.jpg,flower4_pair.jpg,left,6.0,A8C3WNWRBWUXO
46,8,4.0,flower4.jpg,,,,16.0,left,0.0,2.0108,4.0,flower5_pair.jpg,flower5.jpg,right,5.0,A8C3WNWRBWUXO
47,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.9772,5.0,flower6.jpg,flower6_pair.jpg,left,5.0,A8C3WNWRBWUXO
48,10,6.0,flower6.jpg,,,,,,,,,,,,,A8C3WNWRBWUXO
49,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.8363,0.0,flower1.jpg,flower1_pair.jpg,left,4.0,A9HQ3E0F2AGVO
50,5,1.0,flower2.jpg,,,,13.0,left,0.0,4.6896,1.0,flower2_pair.jpg,flower2.jpg,right,4.0,A9HQ3E0F2AGVO
51,6,2.0,left.jpg,left,0.6803,left,14.0,left,1.0,2.2303,2.0,flower3.jpg,flower3_pair.jpg,left,3.0,A9HQ3E0F2AGVO
52,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.8345,3.0,flower4.jpg,flower4_pair.jpg,left,7.0,A9HQ3E0F2AGVO
53,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.8045,4.0,flower5_pair.jpg,flower5.jpg,right,5.0,A9HQ3E0F2AGVO
54,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.917,5.0,flower6.jpg,flower6_pair.jpg,left,3.0,A9HQ3E0F2AGVO
55,10,6.0,flower6.jpg,,,,,,,,,,,,,A9HQ3E0F2AGVO
56,4,0.0,flower1.jpg,,,,12.0,left,1.0,13.811,0.0,flower1.jpg,flower1_pair.jpg,left,2.0,A2LQO0696YYC1Q
57,5,1.0,flower2.jpg,,,,13.0,right,1.0,20.267,1.0,flower2_pair.jpg,flower2.jpg,right,5.0,A2LQO0696YYC1Q
58,6,2.0,left.jpg,left,2.341,left,14.0,right,0.0,3.227,2.0,flower3.jpg,flower3_pair.jpg,left,7.0,A2LQO0696YYC1Q
59,7,3.0,flower3.jpg,,,,15.0,right,0.0,8.279,3.0,flower4.jpg,flower4_pair.jpg,left,6.0,A2LQO0696YYC1Q
60,8,4.0,flower4.jpg,,,,16.0,left,0.0,5.192,4.0,flower5_pair.jpg,flower5.jpg,right,7.0,A2LQO0696YYC1Q
61,9,5.0,flower5.jpg,,,,17.0,right,0.0,2.777,5.0,flower6.jpg,flower6_pair.jpg,left,8.0,A2LQO0696YYC1Q
62,10,6.0,flower6.jpg,,,,,,,,,,,,,A2LQO0696YYC1Q
63,4,0.0,flower1.jpg,,,,12.0,right,0.0,12.466,0.0,flower1.jpg,flower1_pair.jpg,left,8.0,A1W7T8V97ZPUH0
64,5,1.0,flower2.jpg,,,,13.0,left,0.0,5.8,1.0,flower2_pair.jpg,flower2.jpg,right,8.0,A1W7T8V97ZPUH0
65,6,2.0,left.jpg,left,0.881,left,14.0,left,1.0,7.403,2.0,flower3.jpg,flower3_pair.jpg,left,7.0,A1W7T8V97ZPUH0
66,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.603,3.0,flower4.jpg,flower4_pair.jpg,left,8.0,A1W7T8V97ZPUH0
67,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.859,4.0,flower5_pair.jpg,flower5.jpg,right,8.0,A1W7T8V97ZPUH0
68,9,5.0,flower5.jpg,,,,17.0,left,1.0,5.168,5.0,flower6.jpg,flower6_pair.jpg,left,6.0,A1W7T8V97ZPUH0
69,10,6.0,flower6.jpg,,,,,,,,,,,,,A1W7T8V97ZPUH0
70,4,0.0,flower1.jpg,,,,12.0,right,0.0,14.0911,0.0,flower1.jpg,flower1_pair.jpg,left,8.0,A2OQ5LQ3YB4HX1
71,5,1.0,flower2.jpg,,,,13.0,right,1.0,44.5542,1.0,flower2_pair.jpg,flower2.jpg,right,7.0,A2OQ5LQ3YB4HX1
72,6,2.0,left.jpg,left,0.8852,left,14.0,right,0.0,10.1635,2.0,flower3.jpg,flower3_pair.jpg,left,8.0,A2OQ5LQ3YB4HX1
73,7,3.0,flower3.jpg,,,,15.0,right,0.0,5.1782,3.0,flower4.jpg,flower4_pair.jpg,left,7.0,A2OQ5LQ3YB4HX1
74,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.8895,4.0,flower5_pair.jpg,flower5.jpg,right,6.0,A2OQ5LQ3YB4HX1
75,9,5.0,flower5.jpg,,,,17.0,right,0.0,1.9175,5.0,flower6.jpg,flower6_pair.jpg,left,7.0,A2OQ5LQ3YB4HX1
76,10,6.0,flower6.jpg,,,,,,,,,,,,,A2OQ5LQ3YB4HX1
77,4,0.0,flower1.jpg,,,,12.0,right,0.0,2.6629,0.0,flower1.jpg,flower1_pair.jpg,left,7.0,A3G55RJTW3BSGM
78,5,1.0,flower2.jpg,,,,13.0,left,0.0,1.8791,1.0,flower2_pair.jpg,flower2.jpg,right,6.0,A3G55RJTW3BSGM
79,6,2.0,left.jpg,left,0.5922,left,14.0,right,0.0,3.3272,2.0,flower3.jpg,flower3_pair.jpg,left,5.0,A3G55RJTW3BSGM
80,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.928,3.0,flower4.jpg,flower4_pair.jpg,left,6.0,A3G55RJTW3BSGM
81,8,4.0,flower4.jpg,,,,16.0,left,0.0,2.354,4.0,flower5_pair.jpg,flower5.jpg,right,6.0,A3G55RJTW3BSGM
82,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.1298,5.0,flower6.jpg,flower6_pair.jpg,left,4.0,A3G55RJTW3BSGM
83,10,6.0,flower6.jpg,,,,,,,,,,,,,A3G55RJTW3BSGM
84,4,0.0,flower1.jpg,,,,12.0,right,0.0,3.033,0.0,flower1.jpg,flower1_pair.jpg,left,7.0,A2WHAIUPGYCFN6
85,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.561,1.0,flower2_pair.jpg,flower2.jpg,right,7.0,A2WHAIUPGYCFN6
86,6,2.0,left.jpg,left,1.128,left,14.0,left,1.0,2.178,2.0,flower3.jpg,flower3_pair.jpg,left,7.0,A2WHAIUPGYCFN6
87,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.917,3.0,flower4.jpg,flower4_pair.jpg,left,6.0,A2WHAIUPGYCFN6
88,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.805,4.0,flower5_pair.jpg,flower5.jpg,right,8.0,A2WHAIUPGYCFN6
89,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.152,5.0,flower6.jpg,flower6_pair.jpg,left,7.0,A2WHAIUPGYCFN6
90,10,6.0,flower6.jpg,,,,,,,,,,,,,A2WHAIUPGYCFN6
91,4,0.0,flower1.jpg,,,,12.0,right,0.0,3.7493,0.0,flower1.jpg,flower1_pair.jpg,left,7.0,A36U8EYFWM1EL5
92,5,1.0,flower2.jpg,,,,13.0,right,1.0,4.843,1.0,flower2_pair.jpg,flower2.jpg,right,7.0,A36U8EYFWM1EL5
93,6,2.0,left.jpg,left,1.7197,left,14.0,left,1.0,3.1329,2.0,flower3.jpg,flower3_pair.jpg,left,7.0,A36U8EYFWM1EL5
94,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.5108,3.0,flower4.jpg,flower4_pair.jpg,left,5.0,A36U8EYFWM1EL5
95,8,4.0,flower4.jpg,,,,16.0,right,1.0,3.3924,4.0,flower5_pair.jpg,flower5.jpg,right,6.0,A36U8EYFWM1EL5
96,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.9512,5.0,flower6.jpg,flower6_pair.jpg,left,7.0,A36U8EYFWM1EL5
97,10,6.0,flower6.jpg,,,,,,,,,,,,,A36U8EYFWM1EL5
98,4,0.0,flower1.jpg,,,,12.0,left,1.0,6.842,0.0,flower1.jpg,flower1_pair.jpg,left,8.0,A3V7HHS20YFRT4
99,5,1.0,flower2.jpg,,,,13.0,right,1.0,3.426,1.0,flower2_pair.jpg,flower2.jpg,right,6.0,A3V7HHS20YFRT4
100,6,2.0,left.jpg,left,1.433,left,14.0,left,1.0,4.645,2.0,flower3.jpg,flower3_pair.jpg,left,7.0,A3V7HHS20YFRT4
101,7,3.0,flower3.jpg,,,,15.0,right,0.0,10.246,3.0,flower4.jpg,flower4_pair.jpg,left,7.0,A3V7HHS20YFRT4
102,8,4.0,flower4.jpg,,,,16.0,right,1.0,7.194,4.0,flower5_pair.jpg,flower5.jpg,right,5.0,A3V7HHS20YFRT4
103,9,5.0,flower5.jpg,,,,17.0,right,0.0,3.287,5.0,flower6.jpg,flower6_pair.jpg,left,6.0,A3V7HHS20YFRT4
104,10,6.0,flower6.jpg,,,,,,,,,,,,,A3V7HHS20YFRT4
105,4,0.0,flower1.jpg,,,,12.0,left,1.0,4.9173,0.0,flower1.jpg,flower1_pair.jpg,left,8.0,AYECXBANNBYIL
106,5,1.0,flower2.jpg,,,,13.0,left,0.0,1.4132,1.0,flower2_pair.jpg,flower2.jpg,right,8.0,AYECXBANNBYIL
107,6,2.0,left.jpg,left,0.9195,left,14.0,left,1.0,1.6659,2.0,flower3.jpg,flower3_pair.jpg,left,7.0,AYECXBANNBYIL
108,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.5477,3.0,flower4.jpg,flower4_pair.jpg,left,4.0,AYECXBANNBYIL
109,8,4.0,flower4.jpg,,,,16.0,left,0.0,1.6516,4.0,flower5_pair.jpg,flower5.jpg,right,6.0,AYECXBANNBYIL
110,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.5755,5.0,flower6.jpg,flower6_pair.jpg,left,7.0,AYECXBANNBYIL
111,10,6.0,flower6.jpg,,,,,,,,,,,,,AYECXBANNBYIL
112,4,0.0,flower1.jpg,,,,12.0,left,1.0,4.0101,0.0,flower1.jpg,flower1_pair.jpg,left,8.0,A2LQSIUU2U0ZT2
113,5,1.0,flower2.jpg,,,,13.0,left,0.0,1.628,1.0,flower2_pair.jpg,flower2.jpg,right,7.0,A2LQSIUU2U0ZT2
114,6,2.0,left.jpg,left,0.9858,left,14.0,left,1.0,1.3345,2.0,flower3.jpg,flower3_pair.jpg,left,8.0,A2LQSIUU2U0ZT2
115,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.8775,3.0,flower4.jpg,flower4_pair.jpg,left,4.0,A2LQSIUU2U0ZT2
116,8,4.0,flower4.jpg,,,,16.0,left,0.0,1.3731,4.0,flower5_pair.jpg,flower5.jpg,right,5.0,A2LQSIUU2U0ZT2
117,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.362,5.0,flower6.jpg,flower6_pair.jpg,left,6.0,A2LQSIUU2U0ZT2
118,10,6.0,flower6.jpg,,,,,,,,,,,,,A2LQSIUU2U0ZT2
119,4,0.0,flower1.jpg,,,,12.0,right,0.0,11.534,0.0,flower1.jpg,flower1_pair.jpg,left,8.0,A1PS8FTSVOJ4PB
120,5,1.0,flower2.jpg,,,,13.0,right,1.0,13.202,1.0,flower2_pair.jpg,flower2.jpg,right,7.0,A1PS8FTSVOJ4PB
121,6,2.0,left.jpg,left,1.511,left,14.0,left,1.0,6.11,2.0,flower3.jpg,flower3_pair.jpg,left,7.0,A1PS8FTSVOJ4PB
122,7,3.0,flower3.jpg,,,,15.0,right,0.0,5.806,3.0,flower4.jpg,flower4_pair.jpg,left,7.0,A1PS8FTSVOJ4PB
123,8,4.0,flower4.jpg,,,,16.0,right,1.0,5.156,4.0,flower5_pair.jpg,flower5.jpg,right,5.0,A1PS8FTSVOJ4PB
124,9,5.0,flower5.jpg,,,,17.0,right,0.0,7.367,5.0,flower6.jpg,flower6_pair.jpg,left,6.0,A1PS8FTSVOJ4PB
125,10,6.0,flower6.jpg,,,,,,,,,,,,,A1PS8FTSVOJ4PB
126,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.4318,0.0,flower1.jpg,flower1_pair.jpg,left,9.0,A2IQ0QCTQ3KWLT
127,5,1.0,flower2.jpg,,,,13.0,right,1.0,3.0559,1.0,flower2_pair.jpg,flower2.jpg,right,7.0,A2IQ0QCTQ3KWLT
128,6,2.0,left.jpg,left,0.6233,left,14.0,left,1.0,2.0693,2.0,flower3.jpg,flower3_pair.jpg,left,6.0,A2IQ0QCTQ3KWLT
129,7,3.0,flower3.jpg,,,,15.0,right,0.0,2.2857,3.0,flower4.jpg,flower4_pair.jpg,left,8.0,A2IQ0QCTQ3KWLT
130,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.4379,4.0,flower5_pair.jpg,flower5.jpg,right,7.0,A2IQ0QCTQ3KWLT
131,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.2142,5.0,flower6.jpg,flower6_pair.jpg,left,6.0,A2IQ0QCTQ3KWLT
132,10,6.0,flower6.jpg,,,,,,,,,,,,,A2IQ0QCTQ3KWLT
133,4,0.0,flower1.jpg,,,,12.0,left,1.0,1.7172,0.0,flower1.jpg,flower1_pair.jpg,left,7.0,A5P12YJP805RG
134,5,1.0,flower2.jpg,,,,13.0,right,1.0,1.555,1.0,flower2_pair.jpg,flower2.jpg,right,5.0,A5P12YJP805RG
135,6,2.0,left.jpg,left,0.517,left,14.0,left,1.0,1.3509,2.0,flower3.jpg,flower3_pair.jpg,left,2.0,A5P12YJP805RG
136,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.6,3.0,flower4.jpg,flower4_pair.jpg,left,4.0,A5P12YJP805RG
137,8,4.0,flower4.jpg,,,,16.0,left,0.0,2.5526,4.0,flower5_pair.jpg,flower5.jpg,right,5.0,A5P12YJP805RG
138,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.6299,5.0,flower6.jpg,flower6_pair.jpg,left,2.0,A5P12YJP805RG
139,10,6.0,flower6.jpg,,,,,,,,,,,,,A5P12YJP805RG
140,4,0.0,flower1.jpg,,,,12.0,right,0.0,10.313,0.0,flower1.jpg,flower1_pair.jpg,left,6.0,A1R8Q9KXX4Q5T6
141,5,1.0,flower2.jpg,,,,13.0,left,0.0,4.431,1.0,flower2_pair.jpg,flower2.jpg,right,7.0,A1R8Q9KXX4Q5T6
142,6,2.0,left.jpg,left,1.651,left,14.0,right,0.0,3.775,2.0,flower3.jpg,flower3_pair.jpg,left,7.0,A1R8Q9KXX4Q5T6
143,7,3.0,flower3.jpg,,,,15.0,right,0.0,2.716,3.0,flower4.jpg,flower4_pair.jpg,left,7.0,A1R8Q9KXX4Q5T6
144,8,4.0,flower4.jpg,,,,16.0,left,0.0,2.817,4.0,flower5_pair.jpg,flower5.jpg,right,8.0,A1R8Q9KXX4Q5T6
145,9,5.0,flower5.jpg,,,,17.0,right,0.0,2.715,5.0,flower6.jpg,flower6_pair.jpg,left,7.0,A1R8Q9KXX4Q5T6
146,10,6.0,flower6.jpg,,,,,,,,,,,,,A1R8Q9KXX4Q5T6
147,4,0.0,flower1.jpg,,,,12.0,left,1.0,4.286,0.0,flower1.jpg,flower1_pair.jpg,left,3.0,A2Z2WC3DJQ38RH
148,5,1.0,flower2.jpg,,,,13.0,left,0.0,7.686,1.0,flower2_pair.jpg,flower2.jpg,right,2.0,A2Z2WC3DJQ38RH
149,6,2.0,left.jpg,left,0.81,left,14.0,left,1.0,2.569,2.0,flower3.jpg,flower3_pair.jpg,left,8.0,A2Z2WC3DJQ38RH
150,7,3.0,flower3.jpg,,,,15.0,right,0.0,4.144,3.0,flower4.jpg,flower4_pair.jpg,left,7.0,A2Z2WC3DJQ38RH
151,8,4.0,flower4.jpg,,,,16.0,right,1.0,5.59,4.0,flower5_pair.jpg,flower5.jpg,right,6.0,A2Z2WC3DJQ38RH
152,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.381,5.0,flower6.jpg,flower6_pair.jpg,left,8.0,A2Z2WC3DJQ38RH
153,10,6.0,flower6.jpg,,,,,,,,,,,,,A2Z2WC3DJQ38RH
154,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.034,0.0,flower1.jpg,flower1_pair.jpg,left,8.0,A3UA50A6GKNAMR
155,5,1.0,flower2.jpg,,,,13.0,left,0.0,3.037,1.0,flower2_pair.jpg,flower2.jpg,right,7.0,A3UA50A6GKNAMR
156,6,2.0,left.jpg,left,1.508,left,14.0,right,0.0,2.094,2.0,flower3.jpg,flower3_pair.jpg,left,7.0,A3UA50A6GKNAMR
157,7,3.0,flower3.jpg,,,,15.0,right,0.0,2.419,3.0,flower4.jpg,flower4_pair.jpg,left,8.0,A3UA50A6GKNAMR
158,8,4.0,flower4.jpg,,,,16.0,left,0.0,3.335,4.0,flower5_pair.jpg,flower5.jpg,right,8.0,A3UA50A6GKNAMR
159,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.8,5.0,flower6.jpg,flower6_pair.jpg,left,8.0,A3UA50A6GKNAMR
160,10,6.0,flower6.jpg,,,,,,,,,,,,,A3UA50A6GKNAMR
161,4,0.0,flower1.jpg,,,,12.0,left,1.0,1.7357,0.0,flower1.jpg,flower1_pair.jpg,left,7.0,A3HQXCWOIQKT4F
162,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.5327,1.0,flower2_pair.jpg,flower2.jpg,right,6.0,A3HQXCWOIQKT4F
163,6,2.0,left.jpg,left,0.604,left,14.0,left,1.0,1.6351,2.0,flower3.jpg,flower3_pair.jpg,left,5.0,A3HQXCWOIQKT4F
