,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,demo_bar_2.response,subject
0,4,0.0,flower1.jpg,,,,12.0,left,1.0,3.4449,0.0,flower1.jpg,flower1_pair.jpg,left,6.0,AC5PVOOS79W2B
1,5,1.0,flower2.jpg,,,,13.0,left,0.0,4.3817,1.0,flower2_pair.jpg,flower2.jpg,right,4.0,AC5PVOOS79W2B
2,6,2.0,left.jpg,left,0.4256,left,14.0,left,1.0,2.3502,2.0,flower3.jpg,flower3_pair.jpg,left,7.0,AC5PVOOS79W2B
3,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.1779,3.0,flower4.jpg,flower4_pair.jpg,left,3.0,AC5PVOOS79W2B
4,8,4.0,flower4.jpg,,,,16.0,left,0.0,1.5932,4.0,flower5_pair.jpg,flower5.jpg,right,6.0,AC5PVOOS79W2B
5,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.0149,5.0,flower6.jpg,flower6_pair.jpg,left,2.0,AC5PVOOS79W2B
6,10,6.0,flower6.jpg,,,,,,,,,,,,,AC5PVOOS79W2B
7,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.392,0.0,flower1.jpg,flower1_pair.jpg,left,8.0,A1KRXY4629AK58
8,5,1.0,flower2.jpg,,,,13.0,left,0.0,4.169,1.0,flower2_pair.jpg,flower2.jpg,right,8.0,A1KRXY4629AK58
9,6,2.0,left.jpg,left,1.789,left,14.0,left,1.0,2.402,2.0,flower3.jpg,flower3_pair.jpg,left,9.0,A1KRXY4629AK58
10,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.415,3.0,flower4.jpg,flower4_pair.jpg,left,9.0,A1KRXY4629AK58
11,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.938,4.0,flower5_pair.jpg,flower5.jpg,right,9.0,A1KRXY4629AK58
12,9,5.0,flower5.jpg,,,,17.0,right,0.0,3.187,5.0,flower6.jpg,flower6_pair.jpg,left,8.0,A1KRXY4629AK58
13,10,6.0,flower6.jpg,,,,,,,,,,,,,A1KRXY4629AK58
14,4,0.0,flower1.jpg,,,,12.0,right,0.0,470.2811,0.0,flower1.jpg,flower1_pair.jpg,left,3.0,A3C5TMQP0L94K4
15,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.3383,1.0,flower2_pair.jpg,flower2.jpg,right,3.0,A3C5TMQP0L94K4
16,6,2.0,left.jpg,left,0.859,left,14.0,right,0.0,2.3094,2.0,flower3.jpg,flower3_pair.jpg,left,4.0,A3C5TMQP0L94K4
17,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.1737,3.0,flower4.jpg,flower4_pair.jpg,left,4.0,A3C5TMQP0L94K4
18,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.0976,4.0,flower5_pair.jpg,flower5.jpg,right,5.0,A3C5TMQP0L94K4
19,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.2224,5.0,flower6.jpg,flower6_pair.jpg,left,3.0,A3C5TMQP0L94K4
20,10,6.0,flower6.jpg,,,,,,,,,,,,,A3C5TMQP0L94K4
21,4,0.0,flower1.jpg,,,,12.0,left,1.0,3.522,0.0,flower1.jpg,flower1_pair.jpg,left,9.0,A1I7H6RDJS4EKN
22,5,1.0,flower2.jpg,,,,13.0,left,0.0,10.205,1.0,flower2_pair.jpg,flower2.jpg,right,8.0,A1I7H6RDJS4EKN
23,6,2.0,left.jpg,left,0.86,left,14.0,left,1.0,5.51,2.0,flower3.jpg,flower3_pair.jpg,left,6.0,A1I7H6RDJS4EKN
24,7,3.0,flower3.jpg,,,,15.0,right,0.0,6.151,3.0,flower4.jpg,flower4_pair.jpg,left,7.0,A1I7H6RDJS4EKN
25,8,4.0,flower4.jpg,,,,16.0,right,1.0,4.411,4.0,flower5_pair.jpg,flower5.jpg,right,7.0,A1I7H6RDJS4EKN
26,9,5.0,flower5.jpg,,,,17.0,right,0.0,6.511,5.0,flower6.jpg,flower6_pair.jpg,left,7.0,A1I7H6RDJS4EKN
27,10,6.0,flower6.jpg,,,,,,,,,,,,,A1I7H6RDJS4EKN
28,4,0.0,flower1.jpg,,,,12.0,left,1.0,5.9023,0.0,flower1.jpg,flower1_pair.jpg,left,7.0,A2PBFKNWWIIAO8
