,index,test_encoding_response.keys,test_encoding_response.corr,trials.thisTrialN,target,category,correct,test_encoding_response.rt,key_resp_end.keys,subject
180,70,,1.0,50.0,playground_76.jpg,playground,,,,A3C5TMQP0L94K4
181,71,,1.0,51.0,playground_117.jpg,playground,,,,A3C5TMQP0L94K4
182,72,right,1.0,52.0,right.jpg,,right,1.0785,,A3C5TMQP0L94K4
183,73,,1.0,53.0,badlands_70.jpg,badlands,,,,A3C5TMQP0L94K4
184,74,,1.0,54.0,highway_394.jpg,highway,,,,A3C5TMQP0L94K4
185,75,,1.0,55.0,badlands_184.jpg,badlands,,,,A3C5TMQP0L94K4
186,76,,1.0,56.0,playground_144.jpg,playground,,,,A3C5TMQP0L94K4
187,77,,1.0,57.0,mountain_57.jpg,mountain,,,,A3C5TMQP0L94K4
188,78,,1.0,58.0,highway_359.jpg,highway,,,,A3C5TMQP0L94K4
189,79,,1.0,59.0,mountain_123.jpg,mountain,,,,A3C5TMQP0L94K4
190,80,,1.0,60.0,mountain_230.jpg,mountain,,,,A3C5TMQP0L94K4
191,81,,1.0,61.0,badlands_137.jpg,badlands,,,,A3C5TMQP0L94K4
192,82,,1.0,62.0,bridge_202.jpg,bridge,,,,A3C5TMQP0L94K4
193,83,,1.0,63.0,golf_course_217.jpg,golf,,,,A3C5TMQP0L94K4
194,84,,1.0,64.0,bridge_250.jpg,bridge,,,,A3C5TMQP0L94K4
195,20,,1.0,0.0,bridge_256.jpg,bridge,,,,A1I7H6RDJS4EKN
196,21,,1.0,1.0,highway_359.jpg,highway,,,,A1I7H6RDJS4EKN
197,22,,1.0,2.0,badlands_70.jpg,badlands,,,,A1I7H6RDJS4EKN
198,23,,1.0,3.0,mountain_222.jpg,mountain,,,,A1I7H6RDJS4EKN
199,24,,1.0,4.0,playground_76.jpg,playground,,,,A1I7H6RDJS4EKN
200,25,,1.0,5.0,bridge_250.jpg,bridge,,,,A1I7H6RDJS4EKN
201,26,,1.0,6.0,mountain_232.jpg,mountain,,,,A1I7H6RDJS4EKN
202,27,,1.0,7.0,badlands_21.jpg,badlands,,,,A1I7H6RDJS4EKN
203,28,,1.0,8.0,golf_course_309.jpg,golf,,,,A1I7H6RDJS4EKN
204,29,,1.0,9.0,highway_415.jpg,highway,,,,A1I7H6RDJS4EKN
205,30,,1.0,10.0,mountain_154.jpg,mountain,,,,A1I7H6RDJS4EKN
206,31,,1.0,11.0,bridge_128.jpg,bridge,,,,A1I7H6RDJS4EKN
207,32,,1.0,12.0,highway_273.jpg,highway,,,,A1I7H6RDJS4EKN
208,33,,1.0,13.0,bridge_202.jpg,bridge,,,,A1I7H6RDJS4EKN
209,34,right,1.0,14.0,right.jpg,,right,0.922,,A1I7H6RDJS4EKN
210,35,,1.0,15.0,mountain_110.jpg,mountain,,,,A1I7H6RDJS4EKN
211,36,,1.0,16.0,bridge_191.jpg,bridge,,,,A1I7H6RDJS4EKN
212,37,,1.0,17.0,badlands_113.jpg,badlands,,,,A1I7H6RDJS4EKN
213,38,left,1.0,18.0,left.jpg,,left,0.771,,A1I7H6RDJS4EKN
214,39,,1.0,19.0,golf_course_195.jpg,golf,,,,A1I7H6RDJS4EKN
215,40,,1.0,20.0,playground_60.jpg,playground,,,,A1I7H6RDJS4EKN
216,41,,1.0,21.0,mountain_101.jpg,mountain,,,,A1I7H6RDJS4EKN
217,42,,1.0,22.0,golf_course_217.jpg,golf,,,,A1I7H6RDJS4EKN
218,43,,1.0,23.0,golf_course_331.jpg,golf,,,,A1I7H6RDJS4EKN
219,44,,1.0,24.0,mountain_123.jpg,mountain,,,,A1I7H6RDJS4EKN
220,45,,1.0,25.0,playground_145.jpg,playground,,,,A1I7H6RDJS4EKN
221,46,,1.0,26.0,highway_245.jpg,highway,,,,A1I7H6RDJS4EKN
222,47,,1.0,27.0,mountain_57.jpg,mountain,,,,A1I7H6RDJS4EKN
223,48,,1.0,28.0,playground_131.jpg,playground,,,,A1I7H6RDJS4EKN
224,49,,1.0,29.0,highway_177.jpg,highway,,,,A1I7H6RDJS4EKN
225,50,right,1.0,30.0,right.jpg,,right,0.782,,A1I7H6RDJS4EKN
226,51,,1.0,31.0,badlands_23.jpg,badlands,,,,A1I7H6RDJS4EKN
227,52,,1.0,32.0,highway_294.jpg,highway,,,,A1I7H6RDJS4EKN
228,53,,1.0,33.0,highway_156.jpg,highway,,,,A1I7H6RDJS4EKN
229,54,,1.0,34.0,highway_394.jpg,highway,,,,A1I7H6RDJS4EKN
230,55,,1.0,35.0,bridge_91.jpg,bridge,,,,A1I7H6RDJS4EKN
231,56,left,1.0,36.0,left.jpg,,left,0.819,,A1I7H6RDJS4EKN
232,57,,1.0,37.0,bridge_172.jpg,bridge,,,,A1I7H6RDJS4EKN
233,58,,1.0,38.0,golf_course_78.jpg,golf,,,,A1I7H6RDJS4EKN
234,59,,1.0,39.0,mountain_293.jpg,mountain,,,,A1I7H6RDJS4EKN
235,60,,1.0,40.0,playground_144.jpg,playground,,,,A1I7H6RDJS4EKN
236,61,,1.0,41.0,bridge_65.jpg,bridge,,,,A1I7H6RDJS4EKN
237,62,,1.0,42.0,badlands_52.jpg,badlands,,,,A1I7H6RDJS4EKN
238,63,,1.0,43.0,highway_209.jpg,highway,,,,A1I7H6RDJS4EKN
239,64,,1.0,44.0,golf_course_188.jpg,golf,,,,A1I7H6RDJS4EKN
240,65,,1.0,45.0,golf_course_214.jpg,golf,,,,A1I7H6RDJS4EKN
241,66,,1.0,46.0,bridge_108.jpg,bridge,,,,A1I7H6RDJS4EKN
242,67,,1.0,47.0,mountain_230.jpg,mountain,,,,A1I7H6RDJS4EKN
243,68,,1.0,48.0,playground_219.jpg,playground,,,,A1I7H6RDJS4EKN
244,69,,1.0,49.0,bridge_146.jpg,bridge,,,,A1I7H6RDJS4EKN
245,70,,1.0,50.0,badlands_137.jpg,badlands,,,,A1I7H6RDJS4EKN
246,71,,1.0,51.0,playground_257.jpg,playground,,,,A1I7H6RDJS4EKN
247,72,,1.0,52.0,mountain_156.jpg,mountain,,,,A1I7H6RDJS4EKN
248,73,,1.0,53.0,golf_course_15.jpg,golf,,,,A1I7H6RDJS4EKN
249,74,right,1.0,54.0,right.jpg,,right,0.729,,A1I7H6RDJS4EKN
