,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,subject
44,6,2.0,left.jpg,left,0.7489,left,14.0,left,1.0,1.7941,2.0,flower3.jpg,flower3_pair.jpg,left,A2T5CROJ0FWIJY
45,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.794,3.0,flower4.jpg,flower4_pair.jpg,left,A2T5CROJ0FWIJY
46,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.8928,4.0,flower5_pair.jpg,flower5.jpg,right,A2T5CROJ0FWIJY
47,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.6611,5.0,flower6.jpg,flower6_pair.jpg,left,A2T5CROJ0FWIJY
48,10,6.0,flower6.jpg,,,,,,,,,,,,A2T5CROJ0FWIJY
49,4,0.0,flower1.jpg,,,,12.0,left,1.0,5.1411,0.0,flower1.jpg,flower1_pair.jpg,left,A387FNIV21H4T2
50,5,1.0,flower2.jpg,,,,13.0,left,0.0,3.391,1.0,flower2_pair.jpg,flower2.jpg,right,A387FNIV21H4T2
51,6,2.0,left.jpg,left,1.0552,left,14.0,left,1.0,2.5772,2.0,flower3.jpg,flower3_pair.jpg,left,A387FNIV21H4T2
52,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.9457,3.0,flower4.jpg,flower4_pair.jpg,left,A387FNIV21H4T2
53,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.5825,4.0,flower5_pair.jpg,flower5.jpg,right,A387FNIV21H4T2
54,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.8061,5.0,flower6.jpg,flower6_pair.jpg,left,A387FNIV21H4T2
55,10,6.0,flower6.jpg,,,,,,,,,,,,A387FNIV21H4T2
56,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.0571,0.0,flower1.jpg,flower1_pair.jpg,left,A3BM2QI9E6G3KS
57,5,1.0,flower2.jpg,,,,13.0,left,0.0,2.0056,1.0,flower2_pair.jpg,flower2.jpg,right,A3BM2QI9E6G3KS
58,6,2.0,left.jpg,left,0.9805,left,14.0,left,1.0,1.6841,2.0,flower3.jpg,flower3_pair.jpg,left,A3BM2QI9E6G3KS
59,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.2695,3.0,flower4.jpg,flower4_pair.jpg,left,A3BM2QI9E6G3KS
60,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.6655,4.0,flower5_pair.jpg,flower5.jpg,right,A3BM2QI9E6G3KS
61,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.4397,5.0,flower6.jpg,flower6_pair.jpg,left,A3BM2QI9E6G3KS
62,10,6.0,flower6.jpg,,,,,,,,,,,,A3BM2QI9E6G3KS
63,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.361,0.0,flower1.jpg,flower1_pair.jpg,left,A3EVLXA6P3XRBU
64,5,1.0,flower2.jpg,,,,13.0,right,1.0,3.287,1.0,flower2_pair.jpg,flower2.jpg,right,A3EVLXA6P3XRBU
65,6,2.0,left.jpg,left,1.244,left,14.0,left,1.0,2.131,2.0,flower3.jpg,flower3_pair.jpg,left,A3EVLXA6P3XRBU
66,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.019,3.0,flower4.jpg,flower4_pair.jpg,left,A3EVLXA6P3XRBU
67,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.496,4.0,flower5_pair.jpg,flower5.jpg,right,A3EVLXA6P3XRBU
68,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.868,5.0,flower6.jpg,flower6_pair.jpg,left,A3EVLXA6P3XRBU
69,10,6.0,flower6.jpg,,,,,,,,,,,,A3EVLXA6P3XRBU
70,4,0.0,flower1.jpg,,,,12.0,left,1.0,3.3203,0.0,flower1.jpg,flower1_pair.jpg,left,A3TI4G63J6VCKV
71,5,1.0,flower2.jpg,,,,13.0,right,1.0,1.8955,1.0,flower2_pair.jpg,flower2.jpg,right,A3TI4G63J6VCKV
72,6,2.0,left.jpg,left,1.0748,left,14.0,left,1.0,2.8798,2.0,flower3.jpg,flower3_pair.jpg,left,A3TI4G63J6VCKV
73,7,3.0,flower3.jpg,,,,15.0,right,0.0,4.0659,3.0,flower4.jpg,flower4_pair.jpg,left,A3TI4G63J6VCKV
74,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.8709,4.0,flower5_pair.jpg,flower5.jpg,right,A3TI4G63J6VCKV
75,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.2026,5.0,flower6.jpg,flower6_pair.jpg,left,A3TI4G63J6VCKV
76,10,6.0,flower6.jpg,,,,,,,,,,,,A3TI4G63J6VCKV
77,4,0.0,flower1.jpg,,,,12.0,left,1.0,12.1498,0.0,flower1.jpg,flower1_pair.jpg,left,A6IKEWK6FWOLC
78,5,1.0,flower2.jpg,,,,13.0,left,0.0,17.7155,1.0,flower2_pair.jpg,flower2.jpg,right,A6IKEWK6FWOLC
79,6,2.0,left.jpg,left,1.5479,left,14.0,left,1.0,20.7723,2.0,flower3.jpg,flower3_pair.jpg,left,A6IKEWK6FWOLC
80,7,3.0,flower3.jpg,,,,15.0,left,1.0,30.3251,3.0,flower4.jpg,flower4_pair.jpg,left,A6IKEWK6FWOLC
81,8,4.0,flower4.jpg,,,,16.0,right,1.0,14.2697,4.0,flower5_pair.jpg,flower5.jpg,right,A6IKEWK6FWOLC
82,9,5.0,flower5.jpg,,,,17.0,left,1.0,12.6906,5.0,flower6.jpg,flower6_pair.jpg,left,A6IKEWK6FWOLC
83,10,6.0,flower6.jpg,,,,,,,,,,,,A6IKEWK6FWOLC
84,4,0.0,flower1.jpg,,,,12.0,left,1.0,3.3482,0.0,flower1.jpg,flower1_pair.jpg,left,AG053ALQ5ZNCU
85,5,1.0,flower2.jpg,,,,13.0,right,1.0,0.8216,1.0,flower2_pair.jpg,flower2.jpg,right,AG053ALQ5ZNCU
86,6,2.0,left.jpg,left,1.044,left,14.0,left,1.0,0.4903,2.0,flower3.jpg,flower3_pair.jpg,left,AG053ALQ5ZNCU
87,7,3.0,flower3.jpg,,,,15.0,right,0.0,0.011,3.0,flower4.jpg,flower4_pair.jpg,left,AG053ALQ5ZNCU
88,8,4.0,flower4.jpg,,,,16.0,left,0.0,0.0129,4.0,flower5_pair.jpg,flower5.jpg,right,AG053ALQ5ZNCU
89,9,5.0,flower5.jpg,,,,17.0,right,0.0,0.1944,5.0,flower6.jpg,flower6_pair.jpg,left,AG053ALQ5ZNCU
90,10,6.0,flower6.jpg,,,,,,,,,,,,AG053ALQ5ZNCU
91,4,0.0,flower1.jpg,,,,12.0,left,1.0,4.167,0.0,flower1.jpg,flower1_pair.jpg,left,AJZRDVBZ6TKGH
92,5,1.0,flower2.jpg,,,,13.0,left,0.0,3.826,1.0,flower2_pair.jpg,flower2.jpg,right,AJZRDVBZ6TKGH
93,6,2.0,left.jpg,left,1.087,left,14.0,left,1.0,1.61,2.0,flower3.jpg,flower3_pair.jpg,left,AJZRDVBZ6TKGH
94,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.899,3.0,flower4.jpg,flower4_pair.jpg,left,AJZRDVBZ6TKGH
95,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.513,4.0,flower5_pair.jpg,flower5.jpg,right,AJZRDVBZ6TKGH
96,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.947,5.0,flower6.jpg,flower6_pair.jpg,left,AJZRDVBZ6TKGH
97,10,6.0,flower6.jpg,,,,,,,,,,,,AJZRDVBZ6TKGH
98,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.3243,0.0,flower1.jpg,flower1_pair.jpg,left,AK8ONB60Q4RJ5
99,5,1.0,flower2.jpg,,,,13.0,left,0.0,2.3128,1.0,flower2_pair.jpg,flower2.jpg,right,AK8ONB60Q4RJ5
100,6,2.0,left.jpg,left,0.532,left,14.0,left,1.0,2.2035,2.0,flower3.jpg,flower3_pair.jpg,left,AK8ONB60Q4RJ5
101,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.7729,3.0,flower4.jpg,flower4_pair.jpg,left,AK8ONB60Q4RJ5
