target_image,pair,layer,correct
GOLDEN_CHEEKED_WARBLER_2.jpg,WHITE_THROATED_BEE_EATER_1.jpg,3,
BROWN_THRASHER_3.jpg,OYSTER_CATCHER_4.jpg,2,
RUBY_THROATED_HUMMINGBIRD_3.jpg,MALAGASY_WHITE_EYE_2.jpg,1,
EASTERN_TOWEE_2.jpg,GOLDEN_CHLOROPHONIA_1.jpg,2,
CRESTED_CARACARA_4.jpg,FAIRY_PENGUIN_5.jpg,1,
LARK_BUNTING_2.jpg,CACTUS_WREN_3.jpg,3,
ALPINE_CHOUGH_4.jpg,SNOWY_EGRET_2.jpg,1,
INCA_TERN_4.jpg,SMITHS_LONGSPUR_5.jpg,2,
SCARLET_TANAGER_2.jpg,NORTHERN_GANNET_2.jpg,2,
WHITE_CHEEKED_TURACO_5.jpg,NORTHERN_MOCKINGBIRD_4.jpg,1,
RUBY_THROATED_HUMMINGBIRD_2.jpg,APAPANE_4.jpg,2,
right.jpg,,,right
AMERICAN_PIPIT_5.jpg,EMU_2.jpg,1,
PARUS_MAJOR_1.jpg,SANDHILL_CRANE_4.jpg,1,
PINK_ROBIN_4.jpg,ALBATROSS_4.jpg,2,
INLAND_DOTTEREL_4.jpg,NICOBAR_PIGEON_4.jpg,2,
CERULEAN_WARBLER_1.jpg,AMERICAN_FLAMINGO_2.jpg,1,
STRIPPED_SWALLOW_1.jpg,DOUBLE_BRESTED_CORMARANT_4.jpg,1,
ASIAN_CRESTED_IBIS_4.jpg,IVORY_GULL_2.jpg,3,
SHOEBILL_3.jpg,GILDED_FLICKER_5.jpg,2,
ECUADORIAN_HILLSTAR_5.jpg,CRIMSON_SUNBIRD_5.jpg,3,
PEACOCK_3.jpg,STRAWBERRY_FINCH_4.jpg,2,
GREY_PLOVER_1.jpg,GOULDIAN_FINCH_4.jpg,2,
CASPIAN_TERN_1.jpg,EUROPEAN_GOLDFINCH_4.jpg,2,
left.jpg,,,left
RED_HEADED_WOODPECKER_5.jpg,COLLARED_ARACARI_1.jpg,3,
CHUKAR_PARTRIDGE_5.jpg,RAZORBILL_1.jpg,2,
IVORY_GULL_3.jpg,FLAME_TANAGER_3.jpg,2,
LESSER_ADJUTANT_5.jpg,GREEN_BROADBILL_4.jpg,1,
ASIAN_DOLLARD_BIRD_2.jpg,ALBATROSS_2.jpg,1,
LESSER_ADJUTANT_4.jpg,FAIRY_TERN_3.jpg,3,
MYNA_1.jpg,GREY_PLOVER_4.jpg,2,
RUBY_THROATED_HUMMINGBIRD_1.jpg,BANANAQUIT_2.jpg,1,
MALACHITE_KINGFISHER_2.jpg,GREEN_BROADBILL_5.jpg,3,
left.jpg,,,left
GOLDEN_CHLOROPHONIA_5.jpg,VERMILION_FLYCATHER_5.jpg,3,
AFRICAN_PIED_HORNBILL_5.jpg,CAPUCHINBIRD_2.jpg,3,
INDIGO_BUNTING_1.jpg,FRIGATE_4.jpg,1,
TASMANIAN_HEN_5.jpg,GREEN_BROADBILL_1.jpg,1,
FLAME_BOWERBIRD_3.jpg,QUETZAL_3.jpg,3,
OCELLATED_TURKEY_1.jpg,CHIPPING_SPARROW_1.jpg,1,
right.jpg,,,right
KILLDEAR_2.jpg,PEACOCK_5.jpg,1,
EUROPEAN_TURTLE_DOVE_3.jpg,TEAL_DUCK_2.jpg,1,
ARARIPE_MANAKIN_4.jpg,BLACK_VULTURE_1.jpg,2,
MAGPIE_GOOSE_5.jpg,OYSTER_CATCHER_3.jpg,3,
CASSOWARY_1.jpg,AFRICAN_OYSTER_CATCHER_2.jpg,3,
left.jpg,,,left
IVORY_GULL_1.jpg,FAIRY_TERN_4.jpg,3,
CRESTED_NUTHATCH_2.jpg,AFRICAN_FIREFINCH_1.jpg,2,
BALI_STARLING_1.jpg,PURPLE_FINCH_2.jpg,2,
NORTHERN_JACANA_3.jpg,SCARLET_IBIS_4.jpg,3,
BREWERS_BLACKBIRD_3.jpg,CAPE_LONGCLAW_2.jpg,3,
HAWAIIAN_GOOSE_4.jpg,WATTLED_LAPWING_3.jpg,3,
SPLENDID_WREN_1.jpg,DOUBLE_BRESTED_CORMARANT_1.jpg,2,
DOUBLE_BRESTED_CORMARANT_5.jpg,CHINESE_POND_HERON_2.jpg,3,
BROWN_NOODY_3.jpg,PEACOCK_2.jpg,1,
PYGMY_KINGFISHER_5.jpg,DOUBLE_EYED_FIG_PARROT_4.jpg,3,
RUFOUS_KINGFISHER_1.jpg,MAGPIE_GOOSE_3.jpg,2,
KAGU_5.jpg,RED_BEARDED_BEE_EATER_3.jpg,1,
GRAY_KINGBIRD_5.jpg,BALD_EAGLE_2.jpg,1,
VERMILION_FLYCATHER_3.jpg,RED_BEARDED_BEE_EATER_1.jpg,3,
GYRFALCON_1.jpg,OSTRICH_1.jpg,1,
OVENBIRD_5.jpg,FAIRY_PENGUIN_1.jpg,2,
LITTLE_AUK_5.jpg,BEARDED_BELLBIRD_1.jpg,3,
