target_image,pair,layer,correct
ECUADORIAN_HILLSTAR_5.jpg,CRIMSON_SUNBIRD_5.jpg,3,
ARARIPE_MANAKIN_4.jpg,KIWI_3.jpg,1,
CRESTED_NUTHATCH_2.jpg,SCARLET_IBIS_3.jpg,1,
OCELLATED_TURKEY_1.jpg,AMERICAN_PIPIT_1.jpg,2,
GYRFALCON_1.jpg,FAIRY_TERN_1.jpg,3,
CRESTED_CARACARA_4.jpg,TOUCHAN_4.jpg,3,
left.jpg,,,left
INCA_TERN_4.jpg,SMITHS_LONGSPUR_5.jpg,2,
BROWN_NOODY_3.jpg,GUINEA_TURACO_5.jpg,3,
DOUBLE_BRESTED_CORMARANT_5.jpg,GILDED_FLICKER_2.jpg,1,
PINK_ROBIN_4.jpg,ALBATROSS_4.jpg,2,
RED_HEADED_WOODPECKER_5.jpg,COLLARED_ARACARI_1.jpg,3,
OVENBIRD_5.jpg,SHORT_BILLED_DOWITCHER_5.jpg,3,
AFRICAN_PIED_HORNBILL_5.jpg,KIWI_4.jpg,1,
INDIGO_BUNTING_1.jpg,DARWINS_FLYCATCHER_2.jpg,3,
KAGU_5.jpg,DEMOISELLE_CRANE_1.jpg,3,
HAWAIIAN_GOOSE_4.jpg,CUBAN_TODY_3.jpg,1,
AMERICAN_PIPIT_5.jpg,EMU_2.jpg,1,
SHOEBILL_3.jpg,BALD_EAGLE_5.jpg,3,
LESSER_ADJUTANT_4.jpg,ALTAMIRA_YELLOWTHROAT_5.jpg,1,
left.jpg,,,left
GOLDEN_CHEEKED_WARBLER_2.jpg,WHITE_THROATED_BEE_EATER_1.jpg,3,
LARK_BUNTING_2.jpg,KING_VULTURE_3.jpg,2,
CHUKAR_PARTRIDGE_5.jpg,RAZORBILL_1.jpg,2,
LESSER_ADJUTANT_5.jpg,RED_HEADED_WOODPECKER_1.jpg,3,
LITTLE_AUK_5.jpg,BEARDED_BELLBIRD_1.jpg,3,
BREWERS_BLACKBIRD_3.jpg,CAPE_LONGCLAW_2.jpg,3,
right.jpg,,,right
RUFOUS_KINGFISHER_1.jpg,SNOWY_OWL_5.jpg,1,
RUBY_THROATED_HUMMINGBIRD_1.jpg,BANANAQUIT_2.jpg,1,
STRIPPED_SWALLOW_1.jpg,MAGPIE_GOOSE_4.jpg,2,
ASIAN_DOLLARD_BIRD_2.jpg,VIOLET_GREEN_SWALLOW_4.jpg,3,
FLAME_BOWERBIRD_3.jpg,INDIAN_BUSTARD_2.jpg,1,
SPLENDID_WREN_1.jpg,POMARINE_JAEGER_5.jpg,1,
RUBY_THROATED_HUMMINGBIRD_2.jpg,GOLDEN_CHLOROPHONIA_2.jpg,1,
CASPIAN_TERN_1.jpg,GREAT_GRAY_OWL_4.jpg,1,
GREY_PLOVER_1.jpg,ECUADORIAN_HILLSTAR_3.jpg,3,
BALI_STARLING_1.jpg,PURPLE_FINCH_2.jpg,2,
WHITE_CHEEKED_TURACO_5.jpg,GREAT_POTOO_3.jpg,2,
left.jpg,,,left
INLAND_DOTTEREL_4.jpg,NICOBAR_PIGEON_4.jpg,2,
ALPINE_CHOUGH_4.jpg,EUROPEAN_GOLDFINCH_3.jpg,2,
EUROPEAN_TURTLE_DOVE_3.jpg,PAINTED_BUNTING_3.jpg,2,
PARUS_MAJOR_1.jpg,CALIFORNIA_GULL_2.jpg,2,
IVORY_GULL_3.jpg,INDIGO_FLYCATCHER_2.jpg,1,
ASIAN_CRESTED_IBIS_4.jpg,IVORY_GULL_2.jpg,3,
CERULEAN_WARBLER_1.jpg,AMERICAN_FLAMINGO_5.jpg,2,
NORTHERN_JACANA_3.jpg,SCARLET_IBIS_4.jpg,3,
VERMILION_FLYCATHER_3.jpg,CALIFORNIA_GULL_1.jpg,2,
CASSOWARY_1.jpg,SCARLET_MACAW_1.jpg,2,
MALACHITE_KINGFISHER_2.jpg,INCA_TERN_2.jpg,2,
RUBY_THROATED_HUMMINGBIRD_3.jpg,MALAGASY_WHITE_EYE_2.jpg,1,
right.jpg,,,right
TASMANIAN_HEN_5.jpg,GREEN_BROADBILL_1.jpg,1,
GRAY_KINGBIRD_5.jpg,BALD_EAGLE_2.jpg,1,
MYNA_1.jpg,GREY_PLOVER_4.jpg,2,
PEACOCK_3.jpg,ANIANIAU_2.jpg,1,
KILLDEAR_2.jpg,PEACOCK_5.jpg,1,
BROWN_THRASHER_3.jpg,BLACK_BAZA_4.jpg,3,
EASTERN_TOWEE_2.jpg,GOLDEN_CHLOROPHONIA_1.jpg,2,
IVORY_GULL_1.jpg,EASTERN_GOLDEN_WEAVER_5.jpg,2,
GOLDEN_CHLOROPHONIA_5.jpg,ROADRUNNER_2.jpg,1,
PYGMY_KINGFISHER_5.jpg,DOUBLE_EYED_FIG_PARROT_4.jpg,3,
MAGPIE_GOOSE_5.jpg,OYSTER_CATCHER_3.jpg,3,
SCARLET_TANAGER_2.jpg,NORTHERN_GANNET_2.jpg,2,
