,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,demo_bar_2.response,subject
0,4,0.0,flower1.jpg,,,,12.0,left,1.0,3.0075,0.0,flower1.jpg,flower1_pair.jpg,left,6.0,A105M4JOZSR7E6
1,5,1.0,flower2.jpg,,,,13.0,left,0.0,2.2469,1.0,flower2_pair.jpg,flower2.jpg,right,7.0,A105M4JOZSR7E6
2,6,2.0,left.jpg,left,0.911,left,14.0,right,0.0,7.7231,2.0,flower3.jpg,flower3_pair.jpg,left,7.0,A105M4JOZSR7E6
3,7,3.0,flower3.jpg,,,,15.0,left,1.0,20.735,3.0,flower4.jpg,flower4_pair.jpg,left,5.0,A105M4JOZSR7E6
4,8,4.0,flower4.jpg,,,,16.0,right,1.0,3.3213,4.0,flower5_pair.jpg,flower5.jpg,right,4.0,A105M4JOZSR7E6
5,9,5.0,flower5.jpg,,,,17.0,right,0.0,2.1782,5.0,flower6.jpg,flower6_pair.jpg,left,5.0,A105M4JOZSR7E6
6,10,6.0,flower6.jpg,,,,,,,,,,,,,A105M4JOZSR7E6
7,4,0.0,flower1.jpg,,,,12.0,left,1.0,8.743,0.0,flower1.jpg,flower1_pair.jpg,left,8.0,A151XA53WYXVD7
8,5,1.0,flower2.jpg,,,,13.0,left,0.0,3.566,1.0,flower2_pair.jpg,flower2.jpg,right,8.0,A151XA53WYXVD7
9,6,2.0,left.jpg,left,1.164,left,14.0,left,1.0,2.182,2.0,flower3.jpg,flower3_pair.jpg,left,8.0,A151XA53WYXVD7
10,7,3.0,flower3.jpg,,,,15.0,right,0.0,3.315,3.0,flower4.jpg,flower4_pair.jpg,left,8.0,A151XA53WYXVD7
11,8,4.0,flower4.jpg,,,,16.0,right,1.0,3.601,4.0,flower5_pair.jpg,flower5.jpg,right,7.0,A151XA53WYXVD7
12,9,5.0,flower5.jpg,,,,17.0,left,1.0,4.281,5.0,flower6.jpg,flower6_pair.jpg,left,7.0,A151XA53WYXVD7
13,10,6.0,flower6.jpg,,,,,,,,,,,,,A151XA53WYXVD7
14,4,0.0,flower1.jpg,,,,12.0,right,0.0,2.278,0.0,flower1.jpg,flower1_pair.jpg,left,8.0,A1969Q0R4Y0E3J
15,5,1.0,flower2.jpg,,,,13.0,left,0.0,5.6342,1.0,flower2_pair.jpg,flower2.jpg,right,7.0,A1969Q0R4Y0E3J
16,6,2.0,left.jpg,left,0.6609,left,14.0,left,1.0,2.7912,2.0,flower3.jpg,flower3_pair.jpg,left,3.0,A1969Q0R4Y0E3J
17,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.9785,3.0,flower4.jpg,flower4_pair.jpg,left,6.0,A1969Q0R4Y0E3J
