target,selected_dist,distractor_level,image1,image2,correct,category,background_0,background_1,background_2,background_3,background_4,target_index,background_5
mountain_123.jpg,mountain_94.jpg,0,mountain_123.jpg,mountain_94.jpg,left,mountain,golf_course_55.jpg,mountain_123.jpg,bridge_252.jpg,playground_45.jpg,highway_69.jpg,1,highway_69.jpg
mountain_154.jpg,mountain_95.jpg,1,mountain_95.jpg,mountain_154.jpg,right,mountain,playground_212.jpg,mountain_154.jpg,golf_course_148.jpg,highway_330.jpg,bridge_104.jpg,1,bridge_104.jpg
badlands_21.jpg,badlands_1.jpg,0,badlands_21.jpg,badlands_1.jpg,left,badlands,badlands_21.jpg,bridge_136.jpg,mountain_90.jpg,playground_153.jpg,golf_course_274.jpg,0,golf_course_274.jpg
mountain_110.jpg,mountain_223.jpg,1,mountain_110.jpg,mountain_223.jpg,left,mountain,highway_303.jpg,badlands_226.jpg,mountain_110.jpg,playground_96.jpg,golf_course_240.jpg,2,golf_course_240.jpg
highway_415.jpg,highway_174.jpg,1,highway_415.jpg,highway_174.jpg,left,highway,bridge_183.jpg,golf_course_119.jpg,highway_415.jpg,playground_159.jpg,badlands_86.jpg,2,badlands_86.jpg
golf_course_195.jpg,golf_course_25.jpg,0,golf_course_25.jpg,golf_course_195.jpg,right,golf,mountain_10.jpg,playground_11.jpg,bridge_76.jpg,golf_course_195.jpg,badlands_109.jpg,3,badlands_109.jpg
badlands_222.jpg,badlands_34.jpg,0,badlands_222.jpg,badlands_34.jpg,left,badlands,playground_78.jpg,badlands_222.jpg,bridge_6.jpg,golf_course_88.jpg,mountain_181.jpg,1,mountain_181.jpg
mountain_293.jpg,mountain_47.jpg,1,mountain_47.jpg,mountain_293.jpg,right,mountain,mountain_293.jpg,highway_141.jpg,bridge_120.jpg,playground_252.jpg,badlands_168.jpg,0,badlands_168.jpg
bridge_172.jpg,bridge_163.jpg,1,bridge_172.jpg,bridge_163.jpg,left,bridge,badlands_209.jpg,bridge_172.jpg,highway_348.jpg,mountain_298.jpg,playground_255.jpg,1,playground_255.jpg
golf_course_309.jpg,golf_course_209.jpg,1,golf_course_309.jpg,golf_course_209.jpg,left,golf,mountain_306.jpg,playground_126.jpg,golf_course_309.jpg,badlands_16.jpg,highway_302.jpg,2,highway_302.jpg
bridge_108.jpg,bridge_116.jpg,0,bridge_116.jpg,bridge_108.jpg,right,bridge,badlands_227.jpg,bridge_108.jpg,highway_103.jpg,mountain_59.jpg,playground_152.jpg,1,playground_152.jpg
golf_course_217.jpg,golf_course_262.jpg,1,golf_course_217.jpg,golf_course_262.jpg,left,golf,mountain_126.jpg,highway_382.jpg,golf_course_217.jpg,bridge_156.jpg,badlands_140.jpg,2,badlands_140.jpg
mountain_57.jpg,mountain_193.jpg,0,mountain_57.jpg,mountain_193.jpg,left,mountain,mountain_57.jpg,golf_course_213.jpg,highway_340.jpg,badlands_50.jpg,bridge_173.jpg,0,bridge_173.jpg
badlands_221.jpg,badlands_207.jpg,1,badlands_207.jpg,badlands_221.jpg,right,badlands,bridge_21.jpg,badlands_221.jpg,golf_course_221.jpg,playground_105.jpg,mountain_210.jpg,1,mountain_210.jpg
highway_93.jpg,highway_85.jpg,0,highway_85.jpg,highway_93.jpg,right,highway,playground_207.jpg,badlands_132.jpg,highway_93.jpg,bridge_166.jpg,golf_course_205.jpg,2,golf_course_205.jpg
mountain_222.jpg,mountain_244.jpg,0,mountain_222.jpg,mountain_244.jpg,left,mountain,golf_course_1.jpg,mountain_222.jpg,playground_168.jpg,highway_88.jpg,bridge_114.jpg,1,bridge_114.jpg
