,workID,Age,Gender,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,test_key_resp.keys,test_key_resp.rt,distractor_level,category,selected_dist,slider_part2.response,slider_part2.rt,subject
19,AFOEARBOY26DU,35,Male,highway_245.jpg,highway_206.jpg,highway_245.jpg,right,bridge_96.jpg,highway_245.jpg,mountain_212.jpg,playground_248.jpg,badlands_59.jpg,golf_course_3.jpg,1.0,right,1.6973,1.0,highway,highway_206.jpg,6.108066971,1.0984,AFOEARBOY26DU
20,AFOEARBOY26DU,35,Male,playground_240.jpg,playground_240.jpg,playground_40.jpg,left,bridge_254.jpg,mountain_89.jpg,playground_240.jpg,badlands_150.jpg,golf_course_33.jpg,highway_251.jpg,2.0,left,1.2574,1.0,playground,playground_40.jpg,6.923896499,1.3463,AFOEARBOY26DU
21,AFOEARBOY26DU,35,Male,bridge_256.jpg,bridge_54.jpg,bridge_256.jpg,right,highway_313.jpg,bridge_256.jpg,mountain_92.jpg,golf_course_71.jpg,badlands_156.jpg,playground_68.jpg,1.0,right,3.0526,0.0,bridge,bridge_54.jpg,5.937595129,1.7336,AFOEARBOY26DU
22,AFOEARBOY26DU,35,Male,highway_294.jpg,highway_294.jpg,highway_368.jpg,left,playground_165.jpg,highway_294.jpg,bridge_204.jpg,badlands_185.jpg,golf_course_202.jpg,mountain_51.jpg,1.0,right,4.5167,1.0,highway,highway_368.jpg,6.911719939,1.4105,AFOEARBOY26DU
23,AFOEARBOY26DU,35,Male,playground_257.jpg,playground_257.jpg,playground_214.jpg,left,badlands_120.jpg,playground_257.jpg,golf_course_328.jpg,bridge_234.jpg,mountain_206.jpg,highway_268.jpg,1.0,left,4.7363,0.0,playground,playground_214.jpg,6.911719939,1.4313,AFOEARBOY26DU
24,AFOEARBOY26DU,35,Male,badlands_23.jpg,badlands_23.jpg,badlands_114.jpg,left,badlands_23.jpg,highway_154.jpg,mountain_190.jpg,bridge_63.jpg,playground_49.jpg,golf_course_221.jpg,0.0,right,10.2191,0.0,badlands,badlands_114.jpg,6.911719939,1.0579,AFOEARBOY26DU
25,AFOEARBOY26DU,35,Male,highway_177.jpg,highway_87.jpg,highway_177.jpg,right,badlands_152.jpg,bridge_169.jpg,playground_176.jpg,mountain_199.jpg,highway_177.jpg,golf_course_67.jpg,4.0,left,2.6088,0.0,highway,highway_87.jpg,6.01065449,0.9808,AFOEARBOY26DU
26,AFOEARBOY26DU,35,Male,bridge_108.jpg,bridge_108.jpg,bridge_116.jpg,left,mountain_180.jpg,golf_course_305.jpg,playground_85.jpg,bridge_108.jpg,badlands_106.jpg,highway_172.jpg,3.0,right,6.0729,0.0,bridge,bridge_116.jpg,6.911719939,1.4743,AFOEARBOY26DU
27,AFOEARBOY26DU,35,Male,bridge_172.jpg,bridge_172.jpg,bridge_17.jpg,left,playground_141.jpg,golf_course_133.jpg,bridge_172.jpg,badlands_122.jpg,highway_274.jpg,mountain_62.jpg,2.0,left,1.391,0.0,bridge,bridge_17.jpg,6.899543379,2.6236,AFOEARBOY26DU
28,AFOEARBOY26DU,35,Male,golf_course_331.jpg,golf_course_26.jpg,golf_course_331.jpg,right,highway_36.jpg,playground_249.jpg,badlands_217.jpg,golf_course_331.jpg,mountain_102.jpg,bridge_193.jpg,3.0,left,4.2632,1.0,golf,golf_course_26.jpg,6.02283105,1.2394,AFOEARBOY26DU
29,AFOEARBOY26DU,35,Male,golf_course_15.jpg,golf_course_15.jpg,golf_course_97.jpg,left,playground_63.jpg,bridge_52.jpg,golf_course_15.jpg,highway_30.jpg,mountain_126.jpg,badlands_36.jpg,2.0,right,1.3852,1.0,golf,golf_course_97.jpg,6.03500761,1.4065,AFOEARBOY26DU
30,AFOEARBOY26DU,35,Male,badlands_24.jpg,badlands_53.jpg,badlands_24.jpg,right,mountain_192.jpg,bridge_20.jpg,badlands_24.jpg,highway_315.jpg,playground_237.jpg,golf_course_241.jpg,2.0,left,2.3134,1.0,badlands,badlands_53.jpg,5.98630137,1.2534,AFOEARBOY26DU
31,AFOEARBOY26DU,35,Male,mountain_293.jpg,mountain_72.jpg,mountain_293.jpg,right,highway_413.jpg,golf_course_0.jpg,playground_50.jpg,mountain_293.jpg,bridge_126.jpg,badlands_81.jpg,3.0,right,2.6854,0.0,mountain,mountain_72.jpg,6.97260274,0.8608,AFOEARBOY26DU
32,AFOEARBOY26DU,35,Male,playground_219.jpg,playground_219.jpg,playground_205.jpg,left,golf_course_56.jpg,mountain_249.jpg,playground_219.jpg,bridge_228.jpg,highway_288.jpg,badlands_183.jpg,2.0,left,2.2877,1.0,playground,playground_205.jpg,6.97260274,1.2682,AFOEARBOY26DU
33,AFOEARBOY26DU,35,Male,badlands_184.jpg,badlands_184.jpg,badlands_103.jpg,left,badlands_184.jpg,playground_126.jpg,mountain_290.jpg,bridge_212.jpg,highway_81.jpg,golf_course_265.jpg,0.0,right,1.7452,1.0,badlands,badlands_103.jpg,6.04718417,0.9456,AFOEARBOY26DU
34,AFOEARBOY26DU,35,Male,bridge_202.jpg,bridge_38.jpg,bridge_202.jpg,right,highway_319.jpg,golf_course_252.jpg,playground_26.jpg,badlands_20.jpg,bridge_202.jpg,mountain_250.jpg,4.0,right,4.8996,1.0,bridge,bridge_38.jpg,6.948249619,1.725,AFOEARBOY26DU
35,AFOEARBOY26DU,35,Male,highway_209.jpg,highway_314.jpg,highway_209.jpg,right,badlands_216.jpg,playground_7.jpg,mountain_306.jpg,bridge_110.jpg,highway_209.jpg,golf_course_291.jpg,4.0,left,4.1114,0.0,highway,highway_314.jpg,5.99847793,2.1153,AFOEARBOY26DU
36,AFOEARBOY26DU,35,Male,mountain_101.jpg,mountain_221.jpg,mountain_101.jpg,right,mountain_101.jpg,bridge_173.jpg,badlands_211.jpg,playground_54.jpg,golf_course_253.jpg,highway_107.jpg,0.0,right,3.3259,1.0,mountain,mountain_221.jpg,6.99695586,1.6005,AFOEARBOY26DU
