,demo_loops.thisTrialN,target,image1,image2,correct,demo_test_key_resp.rt,demo_test_key_resp.keys,subject
0,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,863.5755,left,AFOEARBOY26DU
1,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,1.254,right,AFOEARBOY26DU
2,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,1.3957,left,AFOEARBOY26DU
3,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,11.961,right,ATW1TNWB1PVDQ
4,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,1.8227,left,ATW1TNWB1PVDQ
5,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,3.2059,left,ATW1TNWB1PVDQ
6,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,3.2189,right,A2JDYN6QM8M5UN
7,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,2.8832,left,A2JDYN6QM8M5UN
8,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,1.6993,right,A2JDYN6QM8M5UN
9,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,116.3493,left,A2Y69684WT44XU
10,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,1.6385,right,A2Y69684WT44XU
11,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,1.4592,right,A2Y69684WT44XU
12,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,15.5996,left,A3DW6KSQPG6GVQ
13,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,5.9491,right,A3DW6KSQPG6GVQ
14,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,5.6232,left,A3DW6KSQPG6GVQ
15,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,2.2554,left,A1LI3JQS2VBOXC
16,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,2.8637,left,A1LI3JQS2VBOXC
17,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,1.3252,right,A1LI3JQS2VBOXC
