key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
space,2.2538,space,2.8083,left,2.406,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A34Z9LMI089LMT,35,Female,9,2023-06-26_08h13.20.096,working,2022.2.4,Win32,9.531434672,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,3.4572,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A34Z9LMI089LMT,35,Female,9,2023-06-26_08h13.20.096,working,2022.2.4,Win32,9.531434672,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1.9517,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A34Z9LMI089LMT,35,Female,9,2023-06-26_08h13.20.096,working,2022.2.4,Win32,9.531434672,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,bridge_191.jpg,bridge_184.jpg,bridge_191.jpg,right,playground_251.jpg,badlands_9.jpg,mountain_309.jpg,highway_76.jpg,bridge_191.jpg,golf_course_0.jpg,4,A34Z9LMI089LMT,35,Female,9,2023-06-26_08h13.20.096,working,2022.2.4,Win32,9.531434672,space,70.621,right,3.836,0,0,0,0,1,bridge_184.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,,golf_course_78.jpg,golf_course_78.jpg,golf_course_134.jpg,left,highway_308.jpg,bridge_102.jpg,mountain_29.jpg,golf_course_78.jpg,badlands_59.jpg,playground_195.jpg,3,A34Z9LMI089LMT,35,Female,9,2023-06-26_08h13.20.096,working,2022.2.4,Win32,9.531434672,,,left,4.0575,0,1,1,1,1,golf_course_134.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,,mountain_123.jpg,mountain_123.jpg,mountain_189.jpg,left,golf_course_269.jpg,badlands_174.jpg,bridge_118.jpg,highway_404.jpg,mountain_123.jpg,playground_84.jpg,4,A34Z9LMI089LMT,35,Female,9,2023-06-26_08h13.20.096,working,2022.2.4,Win32,9.531434672,,,right,2.4123,0,2,2,2,1,mountain_189.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,,badlands_52.jpg,badlands_52.jpg,badlands_63.jpg,left,golf_course_56.jpg,badlands_52.jpg,highway_3.jpg,mountain_166.jpg,playground_181.jpg,bridge_212.jpg,1,A34Z9LMI089LMT,35,Female,9,2023-06-26_08h13.20.096,working,2022.2.4,Win32,9.531434672,,,left,3.1342,0,3,3,3,1,badlands_63.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,,highway_245.jpg,highway_245.jpg,highway_206.jpg,left,highway_245.jpg,playground_132.jpg,bridge_120.jpg,badlands_88.jpg,mountain_180.jpg,golf_course_212.jpg,0,A34Z9LMI089LMT,35,Female,9,2023-06-26_08h13.20.096,working,2022.2.4,Win32,9.531434672,,,left,2.6869,0,4,4,4,1,highway_206.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,,mountain_293.jpg,mountain_47.jpg,mountain_293.jpg,right,playground_26.jpg,golf_course_137.jpg,mountain_293.jpg,highway_319.jpg,badlands_44.jpg,bridge_79.jpg,2,A34Z9LMI089LMT,35,Female,9,2023-06-26_08h13.20.096,working,2022.2.4,Win32,9.531434672,,,left,3.1836,0,5,5,5,1,mountain_47.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,,badlands_137.jpg,badlands_194.jpg,badlands_137.jpg,right,playground_126.jpg,highway_413.jpg,badlands_137.jpg,mountain_19.jpg,golf_course_219.jpg,bridge_124.jpg,2,A34Z9LMI089LMT,35,Female,9,2023-06-26_08h13.20.096,working,2022.2.4,Win32,9.531434672,,,left,3.4356,0,6,6,6,1,badlands_194.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,,mountain_230.jpg,mountain_184.jpg,mountain_230.jpg,right,badlands_105.jpg,golf_course_162.jpg,mountain_230.jpg,bridge_197.jpg,highway_246.jpg,playground_120.jpg,2,A34Z9LMI089LMT,35,Female,9,2023-06-26_08h13.20.096,working,2022.2.4,Win32,9.531434672,,,right,4.769,0,7,7,7,1,mountain_184.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,,highway_415.jpg,highway_415.jpg,highway_174.jpg,left,playground_15.jpg,badlands_47.jpg,highway_415.jpg,golf_course_128.jpg,mountain_87.jpg,bridge_126.jpg,2,A34Z9LMI089LMT,35,Female,9,2023-06-26_08h13.20.096,working,2022.2.4,Win32,9.531434672,,,left,3.2696,0,8,8,8,1,highway_174.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,,golf_course_217.jpg,golf_course_217.jpg,golf_course_262.jpg,left,mountain_137.jpg,playground_141.jpg,golf_course_217.jpg,bridge_72.jpg,highway_178.jpg,badlands_30.jpg,2,A34Z9LMI089LMT,35,Female,9,2023-06-26_08h13.20.096,working,2022.2.4,Win32,9.531434672,,,left,1.8901,0,9,9,9,1,golf_course_262.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,,badlands_222.jpg,badlands_222.jpg,badlands_34.jpg,left,golf_course_164.jpg,badlands_222.jpg,bridge_204.jpg,mountain_302.jpg,playground_110.jpg,highway_399.jpg,1,A34Z9LMI089LMT,35,Female,9,2023-06-26_08h13.20.096,working,2022.2.4,Win32,9.531434672,,,right,1.7991,0,10,10,10,1,badlands_34.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,,golf_course_87.jpg,golf_course_130.jpg,golf_course_87.jpg,right,badlands_152.jpg,mountain_152.jpg,highway_31.jpg,playground_16.jpg,golf_course_87.jpg,bridge_63.jpg,4,A34Z9LMI089LMT,35,Female,9,2023-06-26_08h13.20.096,working,2022.2.4,Win32,9.531434672,,,right,2.0185,0,11,11,11,1,golf_course_130.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,,highway_294.jpg,highway_368.jpg,highway_294.jpg,right,golf_course_265.jpg,playground_14.jpg,highway_294.jpg,bridge_39.jpg,badlands_200.jpg,mountain_206.jpg,2,A34Z9LMI089LMT,35,Female,9,2023-06-26_08h13.20.096,working,2022.2.4,Win32,9.531434672,,,left,2.3052,0,12,12,12,1,highway_368.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,,bridge_256.jpg,bridge_256.jpg,bridge_54.jpg,left,golf_course_33.jpg,bridge_256.jpg,badlands_183.jpg,highway_107.jpg,playground_30.jpg,mountain_204.jpg,1,A34Z9LMI089LMT,35,Female,9,2023-06-26_08h13.20.096,working,2022.2.4,Win32,9.531434672,,,left,1.9262,0,13,13,13,1,bridge_54.jpg,0,bridge,,,,,,,,,,,
